case,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,71.4,,,
base,,61.9,,
base,,,66.9,
base,,,,81.9
base,71.7,,,
base,,59.6,,
base,,,66.7,
base,,,,83.1
base,73.5,,,
base,,62.3,,
base,,,68.6,
base,,,,87.2
base,66.1,,,
base,,73.2,,
base,,,64.3,
base,,,,86.3
base,58.9,,,
base,,62.0,,
base,,,74.6,
base,,,,86.6
base,63.8,,,
base,,67.2,,
base,,,62.8,
base,,,,79.8
base,69.3,,,
base,,63.1,,
base,,,64.0,
base,,,,84.5
base,62.7,,,
base,,66.5,,
base,,,74.7,
base,,,,83.3
base,70.8,,,
base,,63.0,,
base,,,74.4,
base,,,,84.5
base,68.1,,,
base,,69.9,,
base,,,66.8,
base,,,,87.9
base,69.9,,,
base,,61.8,,
base,,,74.2,
base,,,,87.2
base,72.4,,,
base,,73.5,,
base,,,67.1,
base,,,,84.7
base,71.2,,,
base,,60.4,,
base,,,66.4,
base,,,,81.0
base,66.8,,,
base,,61.1,,
base,,,65.6,
base,,,,83.2
base,75.8,,,
base,,70.3,,
base,,,71.6,
base,,,,82.1
base,76.6,,,
base,,68.0,,
base,,,62.7,
base,,,,88.6
base,71.0,,,
base,,72.6,,
base,,,73.2,
base,,,,83.7
base,79.4,,,
base,,72.5,,
base,,,62.3,
base,,,,88.7
base,65.3,,,
base,,56.7,,
base,,,63.7,
base,,,,83.6
base,63.8,,,
base,,64.2,,
base,,,65.1,
base,,,,89.2
base,78.5,,,
base,,63.5,,
base,,,77.7,
base,,,,80.8
base,63.8,,,
base,,59.6,,
base,,,73.7,
base,,,,81.6
base,59.6,,,
base,,72.2,,
base,,,71.9,
base,,,,84.0
base,65.9,,,
base,,61.6,,
base,,,66.6,
base,,,,88.8
base,65.0,,,
base,,61.6,,
base,,,64.4,
base,,,,89.7
base,74.0,,,
base,,68.8,,
base,,,70.2,
base,,,,82.1
base,64.9,,,
base,,71.4,,
base,,,76.8,
base,,,,83.3
base,65.1,,,
base,,62.0,,
base,,,77.4,
base,,,,83.3
base,60.3,,,
base,,58.6,,
base,,,70.0,
base,,,,84.5
base,63.8,,,
base,,64.6,,
base,,,65.5,
base,,,,83.6
base,72.7,,,
base,,64.1,,
base,,,71.7,
base,,,,84.3
base,75.0,,,
base,,56.6,,
base,,,64.5,
base,,,,82.0
base,61.5,,,
base,,69.4,,
base,,,62.9,
base,,,,82.5
base,66.5,,,
base,,64.8,,
base,,,64.4,
base,,,,81.7
base,66.1,,,
base,,63.9,,
base,,,72.6,
base,,,,83.8
base,63.0,,,
base,,68.4,,
base,,,67.6,
base,,,,81.5
base,66.9,,,
base,,64.2,,
base,,,67.9,
base,,,,84.6
base,68.7,,,
base,,64.0,,
base,,,69.5,
base,,,,87.1
base,65.6,,,
base,,60.8,,
base,,,64.7,
base,,,,81.7
base,62.9,,,
base,,60.6,,
base,,,69.7,
base,,,,80.1
base,72.0,,,
base,,59.6,,
base,,,64.5,
base,,,,82.1
base,64.2,,,
base,,53.9,,
base,,,73.5,
base,,,,83.9
base,66.9,,,
base,,68.8,,
base,,,60.4,
base,,,,90.2
base,77.6,,,
base,,72.2,,
base,,,61.7,
base,,,,80.5
base,67.9,,,
base,,78.3,,
base,,,64.8,
base,,,,86.8
base,66.3,,,
base,,60.7,,
base,,,67.2,
base,,,,83.7
base,61.5,,,
base,,69.4,,
base,,,63.8,
base,,,,85.5
base,60.5,,,
base,,59.3,,
base,,,67.9,
base,,,,83.8
base,61.2,,,
base,,71.7,,
base,,,66.9,
base,,,,83.3
base,62.0,,,
base,,61.1,,
base,,,68.8,
base,,,,83.9
base,69.6,,,
base,,62.4,,
base,,,72.3,
base,,,,82.6
base,60.5,,,
base,,61.5,,
base,,,62.6,
base,,,,84.5
base,67.7,,,
base,,55.6,,
base,,,70.2,
base,,,,81.5
base,64.6,,,
base,,58.5,,
base,,,69.6,
base,,,,81.9
base,70.9,,,
base,,57.9,,
base,,,67.4,
base,,,,83.5
base,62.4,,,
base,,75.8,,
base,,,62.7,
base,,,,79.7
base,65.1,,,
base,,68.1,,
base,,,78.5,
base,,,,83.2
base,60.1,,,
base,,52.9,,
base,,,65.8,
base,,,,88.4
base,62.9,,,
base,,68.5,,
base,,,70.3,
base,,,,84.2
base,71.9,,,
base,,65.2,,
base,,,67.9,
base,,,,81.3
base,63.3,,,
base,,58.8,,
base,,,63.0,
base,,,,85.2
base,63.8,,,
base,,60.9,,
base,,,69.1,
base,,,,86.4
base,62.4,,,
base,,64.0,,
base,,,76.3,
base,,,,83.8
base,77.2,,,
base,,63.3,,
base,,,64.9,
base,,,,85.0
base,66.7,,,
base,,64.9,,
base,,,73.7,
base,,,,81.5
base,71.8,,,
base,,58.6,,
base,,,59.7,
base,,,,89.5
base,62.7,,,
base,,70.5,,
base,,,55.2,
base,,,,81.9
base,67.5,,,
base,,62.8,,
base,,,69.5,
base,,,,85.1
base,68.2,,,
base,,64.6,,
base,,,69.1,
base,,,,86.4
base,75.1,,,
base,,72.2,,
base,,,72.8,
base,,,,85.0
base,69.7,,,
base,,74.0,,
base,,,66.6,
base,,,,89.7
base,72.8,,,
base,,62.7,,
base,,,62.8,
base,,,,83.7
base,69.2,,,
base,,72.3,,
base,,,64.5,
base,,,,90.9
base,62.3,,,
base,,71.9,,
base,,,69.4,
base,,,,81.7
base,68.0,,,
base,,62.5,,
