case/step,DAC-MACS min,DAC-MACS max,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE amount,TAAC min,TAAC max,TAAC amount
keygen,42.9921875,42.9921875,8,,,,,,,,,
authsetup,42.98828125,72.86328125,6,,,,,,,,,
setup,72.86328125,72.86328125,6,,,,,,,,,
decrypt,53.12109375,81.23046875,9,,,,,,,,,
register,42.98828125,42.9921875,10,,,,,,,,,
encrypt,43.0,72.17578125,16,,,,,,,,,
keygen,,,,52.75390625,52.75390625,8,,,,,,
authsetup,,,,52.75390625,52.75390625,6,,,,,,
setup,,,,52.75390625,52.75390625,5,,,,,,
decrypt,,,,52.828125,82.4609375,7,,,,,,
register,,,,52.75390625,52.75390625,11,,,,,,
encrypt,,,,52.75390625,59.05859375,14,,,,,,
keygen,,,,,,,72.9453125,72.9453125,10,,,
authsetup,,,,,,,72.9453125,72.9453125,9,,,
setup,,,,,,,72.9453125,72.9453125,6,,,
decrypt,,,,,,,73.22265625,101.265625,10,,,
register,,,,,,,72.9453125,72.9453125,5,,,
encrypt,,,,,,,72.953125,82.109375,17,,,
keygen,,,,,,,,,,53.8984375,53.8984375,21
authsetup,,,,,,,,,,53.86328125,53.86328125,29
setup,,,,,,,,,,53.86328125,53.86328125,5
decrypt,,,,,,,,,,53.98046875,83.44140625,15
register,,,,,,,,,,53.8984375,53.8984375,8
encrypt,,,,,,,,,,53.91796875,63.578125,17
keygen,43.078125,43.078125,9,,,,,,,,,
authsetup,63.0625,63.0625,6,,,,,,,,,
setup,63.0625,63.0625,6,,,,,,,,,
decrypt,53.19921875,81.234375,8,,,,,,,,,
register,43.07421875,43.078125,9,,,,,,,,,
encrypt,43.0859375,63.0859375,17,,,,,,,,,
keygen,,,,52.7265625,52.7265625,8,,,,,,
authsetup,,,,52.7265625,52.7265625,7,,,,,,
setup,,,,52.7265625,52.7265625,6,,,,,,
decrypt,,,,52.8046875,79.05859375,8,,,,,,
register,,,,52.7265625,52.7265625,5,,,,,,
encrypt,,,,52.7265625,61.80078125,12,,,,,,
keygen,,,,,,,72.9296875,72.9296875,10,,,
authsetup,,,,,,,72.9296875,72.9296875,9,,,
setup,,,,,,,72.9296875,72.9296875,6,,,
decrypt,,,,,,,73.21484375,111.28515625,9,,,
register,,,,,,,72.9296875,72.9296875,5,,,
encrypt,,,,,,,72.94140625,81.39453125,16,,,
keygen,,,,,,,,,,53.8828125,53.8828125,25
authsetup,,,,,,,,,,53.8828125,53.8828125,28
setup,,,,,,,,,,53.8828125,53.8828125,5
decrypt,,,,,,,,,,53.95703125,79.48828125,13
register,,,,,,,,,,53.8828125,53.8828125,5
encrypt,,,,,,,,,,53.8828125,73.72265625,19
keygen,52.93359375,52.93359375,8,,,,,,,,,
authsetup,72.8046875,72.8046875,6,,,,,,,,,
setup,72.8046875,72.8046875,6,,,,,,,,,
decrypt,53.046875,78.9921875,8,,,,,,,,,
register,52.9296875,52.93359375,9,,,,,,,,,
encrypt,52.9453125,59.05078125,13,,,,,,,,,
keygen,,,,52.6640625,52.6640625,8,,,,,,
authsetup,,,,52.6640625,52.6640625,6,,,,,,
setup,,,,52.6640625,52.6640625,5,,,,,,
decrypt,,,,72.77734375,100.87109375,8,,,,,,
register,,,,52.6640625,52.6640625,12,,,,,,
encrypt,,,,52.6640625,78.92578125,12,,,,,,
keygen,,,,,,,53.13671875,53.13671875,11,,,
authsetup,,,,,,,53.13671875,53.13671875,9,,,
setup,,,,,,,53.13671875,53.13671875,6,,,
decrypt,,,,,,,73.296875,113.34765625,9,,,
register,,,,,,,53.13671875,53.13671875,5,,,
encrypt,,,,,,,53.1484375,83.23828125,16,,,
keygen,,,,,,,,,,53.93359375,53.93359375,21
authsetup,,,,,,,,,,53.93359375,53.93359375,27
setup,,,,,,,,,,53.93359375,53.93359375,5
decrypt,,,,,,,,,,54.015625,81.52734375,11
register,,,,,,,,,,53.93359375,53.93359375,9
encrypt,,,,,,,,,,53.94140625,63.578125,16
keygen,42.90625,42.90625,10,,,,,,,,,
authsetup,72.77734375,72.77734375,6,,,,,,,,,
setup,72.77734375,72.77734375,6,,,,,,,,,
decrypt,53.0234375,81.0078125,9,,,,,,,,,
register,42.90234375,42.90625,10,,,,,,,,,
encrypt,42.9140625,61.9453125,13,,,,,,,,,
