case/step,DAC-MACS min,DAC-MACS max,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE amount,TAAC min,TAAC max,TAAC amount
base,42.98828125,72.86328125,6,,,,,,,,,
base,,,,52.75390625,52.75390625,6,,,,,,
base,,,,,,,72.9453125,72.9453125,9,,,
base,,,,,,,,,,53.86328125,53.86328125,29
base,63.0625,63.0625,6,,,,,,,,,
base,,,,52.7265625,52.7265625,7,,,,,,
base,,,,,,,72.9296875,72.9296875,9,,,
base,,,,,,,,,,53.8828125,53.8828125,28
base,72.8046875,72.8046875,6,,,,,,,,,
base,,,,52.6640625,52.6640625,6,,,,,,
base,,,,,,,53.13671875,53.13671875,9,,,
base,,,,,,,,,,53.93359375,53.93359375,27
base,72.77734375,72.77734375,6,,,,,,,,,
base,,,,52.70703125,52.70703125,6,,,,,,
base,,,,,,,72.859375,72.859375,9,,,
base,,,,,,,,,,43.875,43.875,27
base,63.04296875,63.04296875,6,,,,,,,,,
base,,,,52.6953125,52.6953125,7,,,,,,
base,,,,,,,72.8984375,72.8984375,9,,,
base,,,,,,,,,,53.87109375,53.87109375,27
base,63.04296875,63.04296875,7,,,,,,,,,
base,,,,52.6953125,52.6953125,6,,,,,,
base,,,,,,,72.91015625,72.91015625,10,,,
base,,,,,,,,,,53.8671875,53.8671875,27
base,63.03515625,63.03515625,6,,,,,,,,,
base,,,,42.921875,42.921875,9,,,,,,
base,,,,,,,72.89453125,72.89453125,9,,,
base,,,,,,,,,,43.859375,43.859375,29
base,63.046875,63.046875,8,,,,,,,,,
base,,,,52.72265625,52.72265625,7,,,,,,
base,,,,,,,72.890625,72.890625,9,,,
base,,,,,,,,,,53.86328125,53.86328125,28
base,63.04296875,63.04296875,6,,,,,,,,,
base,,,,52.69921875,52.69921875,6,,,,,,
base,,,,,,,72.921875,72.921875,9,,,
base,,,,,,,,,,53.859375,53.859375,28
base,63.04296875,63.04296875,6,,,,,,,,,
base,,,,52.7109375,52.7109375,6,,,,,,
base,,,,,,,72.89453125,72.89453125,9,,,
base,,,,,,,,,,53.90625,53.90625,28
base,63.03515625,63.03515625,6,,,,,,,,,
base,,,,52.68359375,52.68359375,7,,,,,,
base,,,,,,,72.921875,72.921875,9,,,
base,,,,,,,,,,53.88671875,53.88671875,28
base,63.046875,63.046875,8,,,,,,,,,
base,,,,52.67578125,52.67578125,6,,,,,,
base,,,,,,,72.90625,72.90625,9,,,
base,,,,,,,,,,53.86328125,53.86328125,27
base,63.03515625,63.03515625,6,,,,,,,,,
base,,,,52.6953125,52.6953125,7,,,,,,
base,,,,,,,72.93359375,72.93359375,9,,,
base,,,,,,,,,,53.859375,53.859375,29
base,63.0390625,63.0390625,6,,,,,,,,,
base,,,,52.69140625,52.69140625,6,,,,,,
base,,,,,,,72.91015625,72.91015625,9,,,
base,,,,,,,,,,53.89453125,53.89453125,27
base,63.06640625,63.06640625,6,,,,,,,,,
base,,,,52.69921875,52.69921875,7,,,,,,
base,,,,,,,72.9375,72.9375,9,,,
base,,,,,,,,,,53.90234375,53.90234375,27
base,63.046875,63.046875,6,,,,,,,,,
base,,,,52.69140625,52.69140625,6,,,,,,
base,,,,,,,72.90234375,72.90234375,10,,,
base,,,,,,,,,,43.87890625,43.87890625,29
base,63.0390625,63.0390625,6,,,,,,,,,
base,,,,52.71484375,52.71484375,6,,,,,,
base,,,,,,,72.91796875,72.91796875,9,,,
base,,,,,,,,,,43.87890625,43.87890625,28
base,63.05078125,63.05078125,7,,,,,,,,,
base,,,,52.71875,52.71875,6,,,,,,
base,,,,,,,72.890625,72.890625,10,,,
base,,,,,,,,,,43.90234375,43.90234375,30
base,63.03515625,63.03515625,6,,,,,,,,,
base,,,,52.703125,52.703125,7,,,,,,
base,,,,,,,72.9140625,72.9140625,10,,,
base,,,,,,,,,,43.859375,43.859375,27
base,63.03515625,63.03515625,6,,,,,,,,,
base,,,,52.703125,52.703125,6,,,,,,
base,,,,,,,72.89453125,72.89453125,9,,,
base,,,,,,,,,,53.86328125,53.86328125,27
base,63.04296875,63.04296875,6,,,,,,,,,
base,,,,52.703125,52.703125,7,,,,,,
base,,,,,,,72.89453125,72.89453125,9,,,
base,,,,,,,,,,53.890625,53.890625,27
base,63.04296875,63.04296875,6,,,,,,,,,
base,,,,52.7109375,52.7109375,6,,,,,,
base,,,,,,,72.89453125,72.89453125,10,,,
base,,,,,,,,,,43.8671875,43.8671875,28
base,63.046875,63.046875,6,,,,,,,,,
base,,,,52.70703125,52.70703125,6,,,,,,
base,,,,,,,72.9375,72.9375,10,,,
base,,,,,,,,,,53.8828125,53.8828125,28
base,72.78125,72.78125,6,,,,,,,,,
base,,,,42.93359375,42.93359375,7,,,,,,
base,,,,,,,72.890625,72.890625,9,,,
base,,,,,,,,,,53.87890625,53.87890625,27
base,63.04296875,63.04296875,8,,,,,,,,,
base,,,,52.6875,52.6875,7,,,,,,
base,,,,,,,72.91015625,72.91015625,9,,,
base,,,,,,,,,,53.890625,53.890625,27
base,63.0390625,63.0390625,6,,,,,,,,,
base,,,,52.71484375,52.71484375,6,,,,,,
base,,,,,,,72.9296875,72.9296875,22,,,
base,,,,,,,,,,53.86328125,53.86328125,28
base,63.04296875,63.04296875,7,,,,,,,,,
base,,,,52.6875,52.6875,6,,,,,,
base,,,,,,,72.90625,72.90625,9,,,
base,,,,,,,,,,43.87890625,43.87890625,27
base,63.0546875,63.0546875,6,,,,,,,,,
base,,,,52.6875,52.6875,7,,,,,,
base,,,,,,,72.91015625,72.91015625,9,,,
base,,,,,,,,,,53.86328125,53.86328125,28
base,63.04296875,63.04296875,6,,,,,,,,,
base,,,,52.70703125,52.70703125,6,,,,,,
base,,,,,,,72.9453125,72.9453125,9,,,
base,,,,,,,,,,53.8671875,53.8671875,29
base,63.04296875,63.04296875,6,,,,,,,,,
base,,,,52.69921875,52.69921875,6,,,,,,
base,,,,,,,72.90234375,72.90234375,9,,,
base,,,,,,,,,,53.8515625,53.8515625,28
base,63.0390625,63.0390625,6,,,,,,,,,
base,,,,42.92578125,42.92578125,6,,,,,,
base,,,,,,,72.90625,72.90625,11,,,
base,,,,,,,,,,53.8671875,53.8671875,28
base,63.0390625,63.0390625,6,,,,,,,,,
base,,,,42.9453125,42.9453125,6,,,,,,
base,,,,,,,72.9140625,72.9140625,9,,,
base,,,,,,,,,,43.8984375,43.8984375,28
base,72.80078125,72.80078125,6,,,,,,,,,
base,,,,52.6875,52.6875,6,,,,,,
base,,,,,,,72.90625,72.90625,19,,,
base,,,,,,,,,,53.87109375,53.87109375,27
base,63.046875,63.046875,6,,,,,,,,,
base,,,,52.68359375,52.68359375,9,,,,,,
base,,,,,,,72.89453125,72.89453125,21,,,
base,,,,,,,,,,53.8828125,53.8828125,27
base,63.0390625,63.0390625,6,,,,,,,,,
base,,,,42.9609375,42.9609375,6,,,,,,
base,,,,,,,72.890625,72.890625,9,,,
base,,,,,,,,,,53.86328125,53.86328125,26
base,63.046875,63.046875,6,,,,,,,,,
base,,,,52.69921875,52.69921875,6,,,,,,
base,,,,,,,72.88671875,72.88671875,5,,,
base,,,,,,,,,,53.859375,53.859375,27
base,63.04296875,63.04296875,7,,,,,,,,,
base,,,,52.6953125,52.6953125,7,,,,,,
base,,,,,,,72.90625,72.90625,5,,,
base,,,,,,,,,,43.890625,43.890625,29
base,63.046875,63.046875,6,,,,,,,,,
base,,,,52.68359375,52.68359375,6,,,,,,
base,,,,,,,72.90234375,72.90234375,9,,,
base,,,,,,,,,,53.87890625,53.87890625,27
base,63.04296875,63.04296875,8,,,,,,,,,
base,,,,52.6796875,52.6796875,6,,,,,,
base,,,,,,,72.90234375,72.90234375,9,,,
base,,,,,,,,,,53.87109375,53.87109375,26
base,63.0546875,63.0546875,6,,,,,,,,,
base,,,,52.703125,52.703125,6,,,,,,
base,,,,,,,72.890625,72.890625,9,,,
base,,,,,,,,,,53.8671875,53.8671875,26
base,63.05078125,63.05078125,6,,,,,,,,,
base,,,,52.6953125,52.6953125,6,,,,,,
base,,,,,,,72.9296875,72.9296875,9,,,
base,,,,,,,,,,53.875,53.875,28
base,63.05859375,63.05859375,6,,,,,,,,,
base,,,,52.68359375,52.68359375,6,,,,,,
base,,,,,,,72.94140625,72.94140625,9,,,
base,,,,,,,,,,53.859375,53.859375,27
base,63.0390625,63.0390625,6,,,,,,,,,
base,,,,52.69921875,52.69921875,6,,,,,,
base,,,,,,,72.890625,72.890625,21,,,
base,,,,,,,,,,43.875,43.875,28
base,63.0390625,63.0390625,6,,,,,,,,,
base,,,,52.71484375,52.71484375,6,,,,,,
base,,,,,,,72.9375,72.9375,9,,,
base,,,,,,,,,,53.8828125,53.8828125,28
base,63.04296875,63.04296875,6,,,,,,,,,
base,,,,52.68359375,52.68359375,6,,,,,,
base,,,,,,,72.91796875,72.91796875,9,,,
base,,,,,,,,,,43.87890625,43.87890625,27
base,63.04296875,63.04296875,6,,,,,,,,,
base,,,,52.6796875,52.6796875,6,,,,,,
base,,,,,,,72.93359375,72.93359375,10,,,
base,,,,,,,,,,43.890625,43.890625,26
base,63.03515625,63.03515625,8,,,,,,,,,
base,,,,52.6875,52.6875,6,,,,,,
base,,,,,,,72.921875,72.921875,10,,,
base,,,,,,,,,,53.86328125,53.86328125,27
base,63.0546875,63.0546875,6,,,,,,,,,
base,,,,52.68359375,52.68359375,6,,,,,,
base,,,,,,,72.94140625,72.94140625,9,,,
base,,,,,,,,,,43.87109375,43.87109375,29
base,63.04296875,63.04296875,6,,,,,,,,,
base,,,,52.6953125,52.6953125,6,,,,,,
base,,,,,,,72.9140625,72.9140625,9,,,
base,,,,,,,,,,53.890625,53.890625,27
base,63.05078125,63.05078125,6,,,,,,,,,
base,,,,52.6796875,52.6796875,6,,,,,,
base,,,,,,,72.91015625,72.91015625,20,,,
base,,,,,,,,,,43.87109375,43.87109375,27
base,63.046875,63.046875,6,,,,,,,,,
base,,,,52.703125,52.703125,7,,,,,,
base,,,,,,,72.91796875,72.91796875,9,,,
base,,,,,,,,,,43.87890625,43.87890625,27
base,63.0390625,63.0390625,6,,,,,,,,,
base,,,,52.703125,52.703125,6,,,,,,
base,,,,,,,72.88671875,72.88671875,10,,,
base,,,,,,,,,,43.84765625,43.84765625,28
base,72.7890625,72.7890625,6,,,,,,,,,
base,,,,52.68359375,52.68359375,7,,,,,,
base,,,,,,,72.91796875,72.91796875,9,,,
base,,,,,,,,,,53.86328125,53.86328125,28
base,63.0546875,63.0546875,6,,,,,,,,,
base,,,,52.68359375,52.68359375,6,,,,,,
base,,,,,,,72.94140625,72.94140625,9,,,
base,,,,,,,,,,43.875,43.875,28
base,63.05078125,63.05078125,6,,,,,,,,,
base,,,,52.69140625,52.69140625,6,,,,,,
base,,,,,,,72.9296875,72.9296875,9,,,
