case/step,DAC-MACS min,DAC-MACS max,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE amount,TAAC min,TAAC max,TAAC amount
base,53.12109375,81.23046875,9,,,,,,,,,
base,,,,52.828125,82.4609375,7,,,,,,
base,,,,,,,73.22265625,101.265625,10,,,
base,,,,,,,,,,53.98046875,83.44140625,15
base,53.19921875,81.234375,8,,,,,,,,,
base,,,,52.8046875,79.05859375,8,,,,,,
base,,,,,,,73.21484375,111.28515625,9,,,
base,,,,,,,,,,53.95703125,79.48828125,13
base,53.046875,78.9921875,8,,,,,,,,,
base,,,,72.77734375,100.87109375,8,,,,,,
base,,,,,,,73.296875,113.34765625,9,,,
base,,,,,,,,,,54.015625,81.52734375,11
base,53.0234375,81.0078125,9,,,,,,,,,
base,,,,52.7890625,78.8515625,7,,,,,,
base,,,,,,,73.140625,99.15625,9,,,
base,,,,,,,,,,53.9296875,81.47265625,13
base,43.28125,69.171875,8,,,,,,,,,
base,,,,52.76953125,81.30859375,9,,,,,,
base,,,,,,,73.18359375,102.94921875,8,,,
base,,,,,,,,,,53.87109375,73.78125,14
base,43.3203125,71.12890625,9,,,,,,,,,
base,,,,52.77734375,81.05859375,7,,,,,,
base,,,,,,,73.1953125,99.1484375,9,,,
base,,,,,,,,,,53.8671875,69.58203125,13
base,43.28515625,71.11328125,9,,,,,,,,,
base,,,,52.9921875,79.03125,8,,,,,,
base,,,,,,,73.1796875,99.12109375,11,,,
base,,,,,,,,,,53.859375,71.36328125,14
base,43.33984375,71.15234375,9,,,,,,,,,
base,,,,52.796875,86.8671875,7,,,,,,
base,,,,,,,73.1796875,101.14453125,8,,,
base,,,,,,,,,,53.86328125,69.390625,14
base,43.28125,73.140625,10,,,,,,,,,
base,,,,52.77734375,84.35546875,8,,,,,,
base,,,,,,,73.203125,99.1484375,9,,,
base,,,,,,,,,,53.859375,79.4765625,14
base,43.3359375,71.1328125,9,,,,,,,,,
base,,,,52.78515625,79.06640625,7,,,,,,
base,,,,,,,73.1796875,101.18359375,10,,,
base,,,,,,,,,,53.90625,73.81640625,13
base,43.30859375,69.09765625,8,,,,,,,,,
base,,,,52.7578125,81.02734375,8,,,,,,
base,,,,,,,73.20703125,102.15625,8,,,
base,,,,,,,,,,53.88671875,71.39453125,11
base,43.27734375,69.12109375,7,,,,,,,,,
base,,,,52.75390625,91.8359375,7,,,,,,
base,,,,,,,73.20703125,105.26171875,9,,,
base,,,,,,,,,,53.86328125,73.59375,14
base,43.2578125,69.1328125,9,,,,,,,,,
base,,,,52.77734375,79.04296875,8,,,,,,
base,,,,,,,73.21875,101.8828125,11,,,
base,,,,,,,,,,53.859375,83.63671875,13
base,53.1796875,81.2109375,8,,,,,,,,,
base,,,,52.7734375,81.05078125,8,,,,,,
base,,,,,,,73.19140625,102.44921875,9,,,
base,,,,,,,,,,53.89453125,73.828125,13
base,43.3828125,69.14453125,9,,,,,,,,,
base,,,,52.77734375,79.0703125,8,,,,,,
base,,,,,,,73.23046875,107.24609375,11,,,
base,,,,,,,,,,53.90234375,73.80859375,14
base,43.3203125,73.140625,8,,,,,,,,,
base,,,,52.76953125,80.82421875,8,,,,,,
base,,,,,,,73.1875,99.203125,9,,,
base,,,,,,,,,,53.87890625,73.78125,12
base,43.29296875,71.0703125,9,,,,,,,,,
base,,,,52.796875,79.08203125,7,,,,,,
base,,,,,,,73.203125,102.1484375,8,,,
base,,,,,,,,,,53.87890625,71.58984375,13
base,43.34375,79.23046875,8,,,,,,,,,
base,,,,52.8046875,78.859375,7,,,,,,
base,,,,,,,73.18359375,102.67578125,10,,,
base,,,,,,,,,,53.90234375,73.80859375,12
base,43.28125,69.12109375,10,,,,,,,,,
base,,,,52.7890625,81.07421875,8,,,,,,
base,,,,,,,73.203125,101.6328125,10,,,
base,,,,,,,,,,53.859375,73.765625,13
base,43.28515625,71.0625,9,,,,,,,,,
base,,,,52.77734375,78.8671875,8,,,,,,
base,,,,,,,73.1796875,101.171875,10,,,
base,,,,,,,,,,53.86328125,69.38671875,12
base,53.17578125,81.21484375,8,,,,,,,,,
base,,,,52.78515625,79.0546875,8,,,,,,
base,,,,,,,73.18359375,101.15625,8,,,
base,,,,,,,,,,53.890625,73.390625,14
base,43.2890625,69.109375,8,,,,,,,,,
base,,,,52.7890625,81.07421875,8,,,,,,
base,,,,,,,73.17578125,101.3984375,8,,,
base,,,,,,,,,,53.8671875,77.42578125,13
base,43.328125,71.12890625,9,,,,,,,,,
base,,,,52.796875,79.08203125,7,,,,,,
base,,,,,,,73.23046875,101.92578125,9,,,
base,,,,,,,,,,53.8828125,73.4375,14
base,53.03125,92.3125,8,,,,,,,,,
base,,,,53.015625,79.0703125,8,,,,,,
base,,,,,,,73.1875,101.16796875,11,,,
base,,,,,,,,,,53.87890625,71.4140625,14
base,43.31640625,71.109375,9,,,,,,,,,
base,,,,52.76171875,79.04296875,8,,,,,,
