case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
base,,,,3198
base,1724,,,
base,,3137,,
base,,,360,
