case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
base,,,,10494662
base,10493465,,,
base,,10490976,,
base,,,10494992,
