case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,0.144793,,,
base,,0.105251,,
base,,,0.20388599999999998,
base,,,,0.27217199999999997
base,0.13186299999999998,,,
base,,0.097171,,
base,,,0.174094,
base,,,,0.277127
base,0.139506,,,
base,,0.09432199999999999,,
base,,,0.174653,
base,,,,0.27519
base,0.13544699999999998,,,
base,,0.115807,,
base,,,0.17989,
base,,,,0.265695
base,0.136414,,,
base,,0.096133,,
base,,,0.16103699999999999,
base,,,,0.296163
base,0.130889,,,
base,,0.09539,,
base,,,0.19225199999999998,
base,,,,0.27499999999999997
base,0.146922,,,
base,,0.096991,,
base,,,0.184994,
base,,,,0.302184
base,0.144652,,,
base,,0.121234,,
base,,,0.17471699999999998,
base,,,,0.297831
base,0.153173,,,
base,,0.09741699999999999,,
base,,,0.229176,
base,,,,0.277295
base,0.1392,,,
base,,0.09590599999999999,,
base,,,0.194568,
base,,,,0.281493
base,0.136292,,,
base,,0.111888,,
base,,,0.178313,
base,,,,0.279369
base,0.13095199999999999,,,
base,,0.098648,,
base,,,0.164928,
base,,,,0.283309
base,0.156392,,,
base,,0.096354,,
base,,,0.182633,
base,,,,0.28768499999999997
base,0.133591,,,
base,,0.09475299999999999,,
base,,,0.174914,
base,,,,0.28318499999999996
base,0.14648899999999998,,,
base,,0.096386,,
base,,,0.163996,
base,,,,0.27791899999999997
base,0.160056,,,
base,,0.09579399999999999,,
base,,,0.184968,
base,,,,0.28182399999999996
base,0.135288,,,
base,,0.09553299999999999,,
base,,,0.18462499999999998,
base,,,,0.280016
base,0.13683599999999999,,,
base,,0.10933699999999999,,
base,,,0.184331,
base,,,,0.291413
base,0.145813,,,
base,,0.098508,,
base,,,0.18841,
base,,,,0.28078
base,0.13976,,,
base,,0.098489,,
base,,,0.188963,
base,,,,0.29939
base,0.135981,,,
base,,0.09767999999999999,,
base,,,0.170751,
base,,,,0.285485
base,0.131902,,,
base,,0.136844,,
base,,,0.175456,
base,,,,0.313836
base,0.152909,,,
base,,0.095594,,
base,,,0.178313,
base,,,,0.308506
base,0.145017,,,
base,,0.10872,,
base,,,0.182686,
base,,,,0.279665
base,0.135464,,,
base,,0.11720799999999999,,
base,,,0.18543199999999999,
base,,,,0.287213
base,0.179771,,,
base,,0.095897,,
base,,,0.17933,
base,,,,0.280783
base,0.13809,,,
base,,0.09548999999999999,,
base,,,0.178264,
base,,,,0.295166
base,0.142479,,,
base,,0.095325,,
base,,,0.16252899999999998,
base,,,,0.27563
base,0.138449,,,
base,,0.09430999999999999,,
base,,,0.177843,
base,,,,0.299043
base,0.16347299999999998,,,
base,,0.097007,,
base,,,0.18479199999999998,
base,,,,0.281327
base,0.144231,,,
base,,0.095971,,
base,,,0.16411199999999998,
base,,,,0.28157899999999997
base,0.13241799999999998,,,
base,,0.095812,,
base,,,0.165177,
base,,,,0.287941
base,0.15920099999999998,,,
base,,0.106263,,
base,,,0.20590699999999998,
base,,,,0.26309499999999997
base,0.139709,,,
base,,0.09614099999999999,,
base,,,0.189891,
base,,,,0.27471
base,0.15651199999999998,,,
base,,0.103513,,
base,,,0.15961899999999998,
base,,,,0.291144
base,0.136539,,,
base,,0.093722,,
base,,,0.171515,
base,,,,0.280375
base,0.151082,,,
base,,0.09495999999999999,,
base,,,0.20090999999999998,
base,,,,0.28099199999999996
base,0.138796,,,
base,,0.098622,,
base,,,0.15969999999999998,
base,,,,0.276667
base,0.136792,,,
base,,0.092828,,
base,,,0.16425199999999998,
base,,,,0.274267
base,0.13763,,,
base,,0.091947,,
base,,,0.172878,
base,,,,0.300374
base,0.136403,,,
base,,0.096316,,
base,,,0.174446,
base,,,,0.277113
base,0.136521,,,
base,,0.09568199999999999,,
base,,,0.18042999999999998,
base,,,,0.27577
base,0.129162,,,
base,,0.093538,,
base,,,0.177589,
base,,,,0.27416599999999997
base,0.14317,,,
base,,0.096689,,
base,,,0.17435,
base,,,,0.265843
base,0.134983,,,
base,,0.096189,,
base,,,0.173894,
base,,,,0.293529
base,0.13448,,,
base,,0.095318,,
base,,,0.185747,
base,,,,0.27352499999999996
base,0.13855199999999998,,,
base,,0.093438,,
base,,,0.16736299999999998,
base,,,,0.287398
base,0.139252,,,
base,,0.106246,,
base,,,0.20993099999999998,
base,,,,0.277798
base,0.145888,,,
base,,0.09393499999999999,,
base,,,0.181805,
base,,,,0.300828
base,0.13741899999999999,,,
base,,0.09372599999999999,,
base,,,0.178259,
base,,,,0.267438
base,0.145583,,,
base,,0.095164,,
base,,,0.179855,
base,,,,0.276255
base,0.131315,,,
base,,0.094341,,
base,,,0.18748499999999998,
base,,,,0.275572
base,0.139709,,,
base,,0.09739199999999999,,
base,,,0.174527,
base,,,,0.297089
base,0.132651,,,
base,,0.094581,,
base,,,0.198676,
base,,,,0.264648
base,0.150277,,,
base,,0.096729,,
base,,,0.161687,
base,,,,0.267547
base,0.138106,,,
base,,0.094959,,
base,,,0.18251599999999998,
base,,,,0.271669
base,0.148901,,,
base,,0.10488299999999999,,
base,,,0.17724499999999999,
base,,,,0.276744
base,0.132081,,,
base,,0.097411,,
base,,,0.170815,
base,,,,0.286039
base,0.137272,,,
base,,0.095052,,
base,,,0.16500299999999998,
base,,,,0.276506
base,0.151048,,,
base,,0.09700399999999999,,
base,,,0.16050899999999999,
base,,,,0.282265
base,0.138769,,,
base,,0.09507499999999999,,
base,,,0.19369599999999998,
base,,,,0.273457
base,0.135327,,,
base,,0.095147,,
base,,,0.18459399999999998,
base,,,,0.273066
base,0.135682,,,
base,,0.094785,,
base,,,0.188084,
base,,,,0.276364
base,0.144026,,,
base,,0.09786199999999999,,
base,,,0.182034,
base,,,,0.274851
base,0.13659,,,
base,,0.13892,,
base,,,0.191685,
base,,,,0.287024
base,0.134847,,,
base,,0.095457,,
base,,,0.177843,
base,,,,0.26993
base,0.141175,,,
base,,0.094092,,
base,,,0.17351,
base,,,,0.293313
base,0.160185,,,
base,,0.094703,,
base,,,0.176559,
base,,,,0.29301299999999997
base,0.14296799999999998,,,
base,,0.095245,,
base,,,0.171956,
base,,,,0.26849
base,0.144371,,,
base,,0.097548,,
base,,,0.162878,
base,,,,0.27566999999999997
base,0.14327299999999998,,,
base,,0.095495,,
base,,,0.220208,
base,,,,0.285949
base,0.143614,,,
base,,0.098906,,
base,,,0.21700599999999998,
base,,,,0.313279
base,0.169622,,,
base,,0.094163,,
base,,,0.17429599999999998,
base,,,,0.271167
base,0.14929399999999998,,,
base,,0.10188499999999999,,
base,,,0.206837,
base,,,,0.282455
base,0.174294,,,
base,,0.095853,,
base,,,0.217335,
base,,,,0.267436
base,0.140088,,,
base,,0.094205,,
base,,,0.18429199999999998,
base,,,,0.303814
base,0.140565,,,
base,,0.09473999999999999,,
base,,,0.19769899999999999,
base,,,,0.28040899999999996
base,0.148221,,,
base,,0.101144,,
base,,,0.18539,
base,,,,0.280093
base,0.157164,,,
base,,0.1012,,
base,,,0.17485799999999999,
base,,,,0.279478
base,0.150287,,,
base,,0.10013599999999999,,
base,,,0.200984,
base,,,,0.290798
base,0.15473499999999998,,,
base,,0.095361,,
base,,,0.186059,
base,,,,0.280217
base,0.15506399999999998,,,
base,,0.111728,,
base,,,0.206359,
base,,,,0.27944599999999997
base,0.236415,,,
base,,0.099433,,
base,,,0.181244,
base,,,,0.279458
base,0.141682,,,
base,,0.103182,,
base,,,0.16419399999999998,
base,,,,0.364062
base,0.167051,,,
base,,0.109682,,
base,,,0.20576799999999998,
base,,,,0.315531
base,0.157718,,,
base,,0.10026199999999999,,
base,,,0.216113,
base,,,,0.280182
base,0.13406099999999999,,,
base,,0.096636,,
base,,,0.17879499999999998,
base,,,,0.286452
base,0.157328,,,
base,,0.09967799999999999,,
base,,,0.174125,
base,,,,0.275348
base,0.138877,,,
base,,0.105915,,
base,,,0.179281,
base,,,,0.270175
base,0.145469,,,
base,,0.095888,,
base,,,0.17501,
base,,,,0.302041
base,0.133356,,,
base,,0.094054,,
base,,,0.218392,
base,,,,0.27319899999999997
base,0.198794,,,
base,,0.09408799999999999,,
base,,,0.175898,
base,,,,0.27846499999999996
base,0.136175,,,
base,,0.09489099999999999,,
base,,,0.18009,
base,,,,0.273508
base,0.1614,,,
base,,0.09532099999999999,,
base,,,0.187548,
base,,,,0.27350199999999997
base,0.15542699999999998,,,
base,,0.10318,,
base,,,0.17319299999999999,
base,,,,0.302355
base,0.152139,,,
base,,0.1313,,
base,,,0.189556,
base,,,,0.284339
base,0.13575099999999998,,,
base,,0.09725299999999999,,
base,,,0.19572299999999998,
base,,,,0.285193
base,0.14158199999999999,,,
base,,0.101162,,
base,,,0.187544,
base,,,,0.314513
base,0.143906,,,
base,,0.118613,,
base,,,0.18184499999999998,
base,,,,0.276943
base,0.132177,,,
base,,0.12128499999999999,,
base,,,0.174648,
base,,,,0.281843
