case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,0.051781,,,
base,,1e-06,,
base,,,0.0,
base,,,,0.139311
base,0.041524,,,
base,,1e-06,,
base,,,1e-06,
base,,,,0.137183
base,0.048832,,,
base,,1e-06,,
base,,,0.0,
base,,,,0.134553
base,0.046404,,,
base,,1e-06,,
base,,,0.0,
base,,,,0.132594
base,0.046773999999999996,,,
base,,0.0,,
base,,,0.0,
base,,,,0.134741
base,0.041749999999999995,,,
base,,0.0,,
base,,,1e-06,
base,,,,0.135903
base,0.052006,,,
base,,0.0,,
base,,,0.0,
base,,,,0.149502
base,0.053114999999999996,,,
base,,1e-06,,
base,,,1e-06,
base,,,,0.138651
base,0.055116,,,
base,,0.0,,
base,,,0.0,
base,,,,0.139479
base,0.049776,,,
base,,0.0,,
base,,,0.0,
base,,,,0.13691399999999998
base,0.045273,,,
base,,1e-06,,
base,,,0.0,
base,,,,0.13686299999999998
base,0.040716999999999996,,,
base,,1e-06,,
base,,,0.0,
base,,,,0.13880299999999998
base,0.056782,,,
base,,1e-06,,
base,,,0.0,
base,,,,0.144057
base,0.042709,,,
base,,1e-06,,
base,,,0.0,
base,,,,0.140558
base,0.050852999999999995,,,
base,,0.0,,
base,,,1e-06,
base,,,,0.140948
base,0.06745999999999999,,,
base,,0.0,,
base,,,1e-06,
base,,,,0.138176
base,0.042053,,,
base,,0.0,,
base,,,1e-06,
base,,,,0.136575
base,0.044784,,,
base,,0.0,,
base,,,0.0,
base,,,,0.137412
base,0.051758,,,
base,,0.0,,
base,,,0.0,
base,,,,0.13814099999999999
base,0.049357,,,
base,,0.0,,
base,,,0.0,
base,,,,0.137483
base,0.045599999999999995,,,
base,,0.0,,
base,,,0.0,
base,,,,0.141112
base,0.041261,,,
base,,0.0,,
base,,,0.0,
base,,,,0.14676
base,0.061558999999999996,,,
base,,1e-06,,
base,,,0.0,
base,,,,0.14166399999999998
base,0.047635,,,
base,,0.0,,
base,,,0.0,
base,,,,0.140307
base,0.04586,,,
base,,0.0,,
base,,,1e-06,
base,,,,0.139585
base,0.060506,,,
base,,0.0,,
base,,,0.0,
base,,,,0.139964
base,0.049435,,,
base,,0.0,,
base,,,0.0,
base,,,,0.14238299999999998
base,0.046601,,,
base,,0.0,,
base,,,0.0,
base,,,,0.136393
base,0.048165,,,
base,,0.0,,
base,,,1e-06,
base,,,,0.14635199999999998
base,0.059184999999999995,,,
base,,1e-06,,
base,,,0.0,
base,,,,0.137535
base,0.050487,,,
base,,0.0,,
base,,,0.0,
base,,,,0.13594499999999998
base,0.042450999999999996,,,
base,,0.0,,
base,,,0.0,
base,,,,0.15240599999999999
base,0.051924,,,
base,,0.0,,
base,,,0.0,
base,,,,0.133214
base,0.048101,,,
base,,0.0,,
base,,,0.0,
base,,,,0.136067
base,0.058488,,,
base,,0.0,,
base,,,1e-06,
base,,,,0.135619
base,0.04825,,,
base,,0.0,,
base,,,0.0,
base,,,,0.136296
base,0.048943,,,
base,,0.0,,
base,,,0.0,
base,,,,0.13757
base,0.047471,,,
base,,0.0,,
base,,,0.0,
base,,,,0.13858299999999998
base,0.048031,,,
base,,0.0,,
base,,,1e-06,
base,,,,0.132789
base,0.049585,,,
base,,0.0,,
base,,,0.0,
base,,,,0.143029
base,0.046543,,,
base,,0.0,,
base,,,0.0,
base,,,,0.13568
base,0.047858,,,
base,,1e-06,,
base,,,0.0,
base,,,,0.13543
base,0.039788,,,
base,,0.0,,
base,,,0.0,
base,,,,0.13836199999999999
base,0.049222999999999996,,,
base,,0.0,,
base,,,0.0,
base,,,,0.134553
base,0.045544,,,
base,,1e-06,,
base,,,1e-06,
base,,,,0.13469799999999998
base,0.047736,,,
base,,1e-06,,
base,,,0.0,
base,,,,0.13441999999999998
base,0.048528999999999996,,,
base,,1e-06,,
base,,,0.0,
base,,,,0.140506
base,0.047347,,,
base,,1e-06,,
base,,,0.0,
base,,,,0.134829
base,0.048739,,,
base,,0.0,,
base,,,0.0,
base,,,,0.14751899999999998
base,0.047980999999999996,,,
base,,0.0,,
base,,,1e-06,
base,,,,0.13408699999999998
base,0.048865,,,
base,,0.0,,
base,,,0.0,
base,,,,0.135879
base,0.041876,,,
base,,0.0,,
base,,,0.0,
base,,,,0.135284
base,0.046147,,,
base,,0.0,,
base,,,0.0,
base,,,,0.151699
base,0.042785,,,
base,,0.0,,
base,,,0.0,
base,,,,0.132159
base,0.047843,,,
base,,1e-06,,
base,,,0.0,
base,,,,0.13530999999999999
base,0.040959999999999996,,,
base,,0.0,,
base,,,0.0,
base,,,,0.134844
base,0.046411,,,
base,,0.0,,
base,,,0.0,
base,,,,0.13634
base,0.042199,,,
base,,1e-06,,
base,,,0.0,
base,,,,0.143473
base,0.04822,,,
base,,0.0,,
base,,,0.0,
base,,,,0.136035
base,0.048549999999999996,,,
base,,0.0,,
base,,,0.0,
base,,,,0.137492
base,0.048343,,,
base,,1e-06,,
base,,,1e-06,
base,,,,0.133127
base,0.046512,,,
base,,0.0,,
base,,,0.0,
base,,,,0.131916
base,0.047206,,,
base,,0.0,,
base,,,0.0,
base,,,,0.134036
base,0.046543999999999995,,,
base,,0.0,,
base,,,1e-06,
base,,,,0.13552699999999998
base,0.047635,,,
base,,0.0,,
base,,,1e-06,
base,,,,0.14782399999999998
base,0.047105999999999995,,,
base,,1e-06,,
base,,,0.0,
base,,,,0.134693
base,0.047028,,,
base,,1e-06,,
base,,,0.0,
base,,,,0.139765
base,0.051357,,,
base,,0.0,,
base,,,0.0,
base,,,,0.14196499999999998
base,0.051112,,,
base,,1e-06,,
base,,,0.0,
base,,,,0.134657
base,0.052905999999999995,,,
base,,0.0,,
base,,,0.0,
base,,,,0.14146899999999998
base,0.049294,,,
base,,0.0,,
base,,,1e-06,
base,,,,0.141392
base,0.047901,,,
base,,0.0,,
base,,,1e-06,
base,,,,0.15442
base,0.062229,,,
base,,0.0,,
base,,,1e-06,
base,,,,0.133178
base,0.053387,,,
base,,0.0,,
base,,,0.0,
base,,,,0.138731
base,0.048683,,,
base,,0.0,,
base,,,1e-06,
base,,,,0.133871
base,0.051720999999999996,,,
base,,0.0,,
base,,,0.0,
base,,,,0.137793
base,0.048792999999999996,,,
base,,0.0,,
base,,,0.0,
base,,,,0.137815
base,0.048344,,,
base,,1e-06,,
base,,,0.0,
base,,,,0.137212
base,0.049888999999999996,,,
base,,0.0,,
base,,,1e-06,
base,,,,0.136241
base,0.058818999999999996,,,
base,,1e-06,,
base,,,1e-06,
base,,,,0.145236
base,0.054592999999999996,,,
base,,0.0,,
base,,,0.0,
base,,,,0.136265
base,0.05574,,,
base,,0.0,,
base,,,0.0,
base,,,,0.135964
base,0.079446,,,
base,,0.0,,
base,,,1e-06,
base,,,,0.138371
base,0.04797,,,
base,,1e-06,,
base,,,0.0,
base,,,,0.18950799999999998
base,0.048968,,,
base,,1e-06,,
base,,,0.0,
base,,,,0.167012
base,0.066298,,,
base,,1e-06,,
base,,,0.0,
base,,,,0.13991499999999998
base,0.041808,,,
base,,1e-06,,
base,,,0.0,
base,,,,0.146567
base,0.060198999999999996,,,
base,,1e-06,,
base,,,0.0,
base,,,,0.13278299999999998
base,0.048546,,,
base,,0.0,,
base,,,1e-06,
base,,,,0.133714
base,0.055874999999999994,,,
base,,1e-06,,
base,,,1e-06,
base,,,,0.146223
base,0.043821,,,
base,,0.0,,
base,,,0.0,
base,,,,0.13471
base,0.067621,,,
base,,0.0,,
base,,,1e-06,
