case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,0.691242,,,
base,,0.52733,,
base,,,0.686823,
base,,,,0.5342859999999999
base,0.45146,,,
base,,0.39470099999999997,,
base,,,0.490882,
base,,,,0.404194
base,0.44306599999999996,,,
base,,0.250071,,
base,,,0.460003,
base,,,,0.813612
base,0.44536499999999996,,,
base,,0.394223,,
base,,,0.475827,
base,,,,0.404999
base,0.385204,,,
base,,0.368645,,
base,,,0.46121799999999996,
base,,,,0.462053
base,0.35442999999999997,,,
base,,0.32319899999999996,,
base,,,0.524766,
base,,,,0.401968
base,0.407599,,,
base,,0.34129,,
base,,,0.503719,
base,,,,0.45156999999999997
base,0.467115,,,
base,,0.3858,,
base,,,0.494481,
base,,,,0.412282
base,0.44026899999999997,,,
base,,0.315197,,
base,,,0.47065999999999997,
base,,,,0.44217399999999996
base,0.39500399999999997,,,
base,,0.454767,,
base,,,0.45849199999999996,
base,,,,0.675632
base,0.40116199999999996,,,
base,,0.282782,,
base,,,0.49748099999999995,
base,,,,0.507468
base,0.485871,,,
base,,0.242638,,
base,,,0.5228539999999999,
base,,,,0.41835999999999995
base,0.449882,,,
base,,0.354862,,
base,,,0.504195,
base,,,,0.406497
base,0.438988,,,
base,,0.32814,,
base,,,0.550558,
base,,,,0.63076
base,0.696367,,,
base,,0.34319,,
base,,,0.575769,
base,,,,0.699568
base,0.468639,,,
base,,0.34463699999999997,,
base,,,0.5270549999999999,
base,,,,0.543373
base,0.42995099999999997,,,
base,,0.45408,,
base,,,0.426878,
base,,,,0.482354
base,0.566045,,,
base,,0.5969479999999999,,
base,,,0.46758,
base,,,,0.6855
base,0.46514099999999997,,,
base,,0.404783,,
base,,,0.426403,
base,,,,0.403381
base,0.411663,,,
base,,0.377889,,
base,,,0.46823099999999995,
base,,,,0.40271399999999996
base,0.44959099999999996,,,
base,,0.35833299999999996,,
base,,,0.446422,
base,,,,0.530685
base,0.410635,,,
base,,0.53557,,
base,,,0.478618,
base,,,,0.377143
base,0.46685,,,
base,,0.38053499999999996,,
base,,,0.5037349999999999,
base,,,,0.514238
base,0.46521999999999997,,,
base,,0.387301,,
base,,,0.42879999999999996,
base,,,,0.5425789999999999
base,0.384714,,,
base,,0.352066,,
base,,,0.534361,
base,,,,0.586071
base,0.39188999999999996,,,
base,,0.47145099999999995,,
base,,,0.500062,
base,,,,0.41947999999999996
base,0.450088,,,
base,,0.30397599999999997,,
base,,,0.5468109999999999,
base,,,,0.549535
base,0.47004199999999996,,,
base,,0.298498,,
base,,,0.555441,
base,,,,0.423886
base,0.41095,,,
base,,0.42478899999999997,,
base,,,0.5156959999999999,
base,,,,0.466879
base,0.427023,,,
base,,0.39475699999999997,,
base,,,0.549285,
base,,,,0.415415
base,0.42957799999999996,,,
base,,0.316643,,
base,,,0.502482,
base,,,,0.439457
base,0.38127099999999997,,,
base,,0.446683,,
base,,,0.45206799999999997,
base,,,,0.5710729999999999
base,0.569442,,,
base,,0.322577,,
base,,,0.534822,
base,,,,0.39336
base,0.431963,,,
base,,0.278113,,
base,,,0.494397,
base,,,,0.530689
base,0.440801,,,
base,,0.33350599999999997,,
base,,,0.443754,
base,,,,0.398095
base,0.46774299999999996,,,
base,,0.328519,,
base,,,0.43822099999999997,
base,,,,0.381816
base,0.467863,,,
base,,0.36799499999999996,,
base,,,0.5100279999999999,
base,,,,0.5431819999999999
base,0.448337,,,
base,,0.25762399999999996,,
base,,,0.444156,
base,,,,0.492627
base,0.42988499999999996,,,
base,,0.265223,,
base,,,0.45236099999999996,
base,,,,0.435538
base,0.5167269999999999,,,
base,,0.389158,,
base,,,0.42506499999999997,
base,,,,0.438525
base,0.56962,,,
base,,0.363706,,
base,,,0.48984,
base,,,,0.439239
base,0.404943,,,
base,,0.278395,,
base,,,0.789291,
base,,,,0.360963
base,0.36943299999999996,,,
base,,0.382386,,
base,,,0.478023,
base,,,,0.44780499999999995
base,0.433668,,,
base,,0.48191799999999996,,
base,,,0.709066,
base,,,,0.534643
base,0.454105,,,
base,,0.305216,,
base,,,0.410444,
base,,,,0.500053
base,0.390051,,,
base,,0.266997,,
base,,,0.5343629999999999,
base,,,,0.616561
base,0.371579,,,
base,,0.300668,,
base,,,0.681743,
base,,,,0.440005
base,0.581712,,,
base,,0.294878,,
base,,,0.6111519999999999,
base,,,,0.46486099999999997
base,0.371756,,,
base,,0.38258,,
base,,,0.589034,
base,,,,0.6474829999999999
base,0.557323,,,
base,,0.241025,,
base,,,0.5619529999999999,
base,,,,0.427318
base,0.421083,,,
base,,0.43619199999999997,,
base,,,0.418074,
base,,,,0.470219
base,0.388943,,,
base,,0.371403,,
base,,,0.43266499999999997,
base,,,,0.36818
base,0.5198079999999999,,,
base,,0.311529,,
base,,,0.568224,
base,,,,0.389408
base,0.469599,,,
base,,0.29762099999999997,,
base,,,0.542123,
base,,,,0.437779
base,0.506576,,,
base,,0.31776099999999996,,
base,,,0.392086,
base,,,,0.449684
base,0.539261,,,
base,,0.391594,,
base,,,0.5579069999999999,
base,,,,0.430064
base,0.539061,,,
base,,0.472881,,
base,,,0.429089,
base,,,,0.487041
base,0.43526099999999995,,,
base,,0.362728,,
base,,,0.47361499999999995,
base,,,,0.553063
base,0.5252629999999999,,,
base,,0.293246,,
base,,,0.42680199999999996,
base,,,,0.493438
base,0.458785,,,
base,,0.557411,,
base,,,0.5136919999999999,
base,,,,0.40077999999999997
base,0.412406,,,
base,,0.28191,,
base,,,0.45911399999999997,
base,,,,0.37478999999999996
base,0.419294,,,
base,,0.45354999999999995,,
base,,,0.543025,
base,,,,0.390621
base,0.45480299999999996,,,
base,,0.357433,,
base,,,0.478301,
base,,,,0.46290499999999996
base,0.45386899999999997,,,
base,,0.341283,,
base,,,0.508688,
base,,,,0.483734
base,0.43933999999999995,,,
base,,0.3503,,
base,,,0.43701199999999996,
base,,,,0.40734
base,0.385664,,,
base,,0.325604,,
base,,,0.486909,
base,,,,0.589729
base,0.393723,,,
base,,0.575136,,
base,,,0.450133,
base,,,,0.46205999999999997
base,0.442861,,,
base,,0.306274,,
base,,,0.576504,
base,,,,0.42172099999999996
base,0.414916,,,
base,,0.33277599999999996,,
base,,,0.501015,
base,,,,0.444519
base,0.413106,,,
base,,0.417807,,
base,,,0.470593,
base,,,,0.45468699999999995
base,0.522614,,,
base,,0.323136,,
base,,,0.517755,
base,,,,0.440162
base,0.599529,,,
base,,0.36127,,
base,,,0.520045,
base,,,,0.364489
base,0.45649,,,
base,,0.5372049999999999,,
base,,,0.441809,
base,,,,0.371745
base,0.439951,,,
base,,0.290809,,
base,,,0.5022559999999999,
base,,,,0.423624
base,0.366208,,,
base,,0.284022,,
base,,,0.420627,
base,,,,0.42865
base,0.421871,,,
base,,0.42509399999999997,,
base,,,0.602746,
base,,,,0.525953
base,0.45772599999999997,,,
base,,0.35994899999999996,,
base,,,0.466182,
base,,,,0.40330299999999997
base,0.496869,,,
base,,0.36799299999999996,,
base,,,0.449059,
base,,,,0.4516
base,0.7175539999999999,,,
base,,0.24639699999999998,,
base,,,0.481765,
base,,,,0.442057
base,0.726908,,,
base,,0.28901099999999996,,
base,,,0.596513,
base,,,,0.448152
base,0.492459,,,
base,,0.358587,,
base,,,0.602811,
base,,,,0.36803199999999997
base,0.48309599999999997,,,
base,,0.311951,,
base,,,0.568967,
base,,,,0.494643
base,0.564854,,,
base,,0.364704,,
base,,,0.483326,
base,,,,0.522427
base,0.43782299999999996,,,
base,,0.338566,,
base,,,0.7505729999999999,
base,,,,0.525135
base,0.6665099999999999,,,
base,,0.271493,,
base,,,0.410545,
base,,,,0.414301
base,0.49049099999999995,,,
base,,0.271099,,
base,,,0.449752,
base,,,,0.45349999999999996
base,0.43806799999999996,,,
base,,0.634903,,
base,,,0.6681619999999999,
base,,,,0.48375599999999996
base,0.492382,,,
base,,0.398611,,
base,,,0.43554699999999996,
base,,,,0.7123619999999999
base,0.42916299999999996,,,
base,,0.515652,,
base,,,0.6059169999999999,
base,,,,0.436699
base,0.454214,,,
base,,0.25967,,
base,,,0.504015,
base,,,,0.407585
base,0.439679,,,
base,,0.29824999999999996,,
base,,,0.5406679999999999,
base,,,,0.565573
base,1.1068559999999998,,,
base,,0.30374799999999996,,
base,,,0.465086,
base,,,,0.512519
base,0.52233,,,
base,,0.387489,,
base,,,0.46684,
base,,,,0.41889699999999996
base,0.537314,,,
base,,0.31330399999999997,,
base,,,0.7045859999999999,
base,,,,0.46840099999999996
base,0.635751,,,
base,,0.294461,,
base,,,0.443631,
base,,,,0.41594699999999996
base,0.485255,,,
base,,0.230375,,
base,,,0.5553739999999999,
base,,,,0.44603099999999996
base,0.45947299999999996,,,
base,,0.379739,,
base,,,0.5441309999999999,
base,,,,0.547943
base,0.51645,,,
base,,0.45791,,
base,,,0.464074,
base,,,,0.431983
base,0.364193,,,
base,,0.329967,,
base,,,0.612958,
base,,,,0.422135
base,0.380891,,,
base,,0.5100859999999999,,
base,,,0.490181,
base,,,,0.39569299999999996
