case/step,DAC-MACS min,DAC-MACS max,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE amount,TAAC min,TAAC max,TAAC amount
base,53.3515625,62.9609375,19,,,,,,,,,
base,,,,53.05078125,60.47265625,12,,,,,,
base,,,,,,,53.36328125,58.60546875,13,,,
base,,,,,,,,,,43.953125,63.62890625,15
base,43.44140625,53.41796875,14,,,,,,,,,
base,,,,52.9921875,60.5234375,14,,,,,,
base,,,,,,,53.421875,60.51171875,16,,,
base,,,,,,,,,,44.08203125,62.9453125,19
base,53.31640625,60.671875,14,,,,,,,,,
base,,,,52.99609375,58.40625,13,,,,,,
base,,,,,,,53.33984375,64.64453125,16,,,
base,,,,,,,,,,44.04296875,60.91015625,18
base,53.33984375,62.5390625,16,,,,,,,,,
base,,,,53.03515625,72.5703125,14,,,,,,
base,,,,,,,53.375,62.640625,25,,,
base,,,,,,,,,,44.0,62.95703125,16
base,53.30078125,58.4921875,15,,,,,,,,,
base,,,,52.99609375,62.4609375,13,,,,,,
base,,,,,,,53.41015625,58.6171875,19,,,
base,,,,,,,,,,44.015625,66.93359375,17
base,53.28125,62.63671875,15,,,,,,,,,
base,,,,52.984375,58.375,11,,,,,,
base,,,,,,,53.375,62.65234375,15,,,
base,,,,,,,,,,44.0078125,58.96875,17
base,53.2890625,60.4609375,13,,,,,,,,,
base,,,,52.9609375,60.51171875,14,,,,,,
base,,,,,,,53.36328125,60.5546875,17,,,
base,,,,,,,,,,44.015625,62.99609375,14
base,53.28125,62.95703125,12,,,,,,,,,
base,,,,52.99609375,60.3984375,15,,,,,,
base,,,,,,,53.359375,62.66796875,17,,,
base,,,,,,,,,,43.96875,66.9921875,17
base,53.29296875,62.796875,14,,,,,,,,,
base,,,,52.98828125,60.609375,13,,,,,,
base,,,,,,,53.359375,60.52734375,20,,,
base,,,,,,,,,,43.98046875,58.9921875,15
base,53.2734375,62.78125,13,,,,,,,,,
base,,,,53.015625,58.63671875,13,,,,,,
base,,,,,,,53.3828125,58.609375,15,,,
base,,,,,,,,,,43.98046875,58.8046875,16
base,53.28125,60.66015625,14,,,,,,,,,
base,,,,52.98828125,60.62890625,14,,,,,,
base,,,,,,,53.3671875,73.27734375,15,,,
base,,,,,,,,,,43.9765625,64.953125,14
base,53.2734375,73.0234375,15,,,,,,,,,
base,,,,53.0078125,64.23828125,10,,,,,,
base,,,,,,,53.3984375,58.6953125,17,,,
base,,,,,,,,,,43.9765625,58.78125,18
base,53.26953125,58.66015625,16,,,,,,,,,
base,,,,52.98828125,62.421875,11,,,,,,
base,,,,,,,53.37890625,62.5546875,17,,,
base,,,,,,,,,,44.00390625,60.84375,14
base,53.2890625,60.62890625,14,,,,,,,,,
base,,,,53.0,72.6875,10,,,,,,
base,,,,,,,53.35546875,62.65625,14,,,
base,,,,,,,,,,43.98828125,62.90234375,15
base,53.27734375,60.53515625,17,,,,,,,,,
base,,,,52.98828125,60.3828125,12,,,,,,
base,,,,,,,53.36328125,62.62109375,16,,,
base,,,,,,,,,,43.98828125,58.96484375,15
base,53.296875,62.68359375,17,,,,,,,,,
base,,,,53.00390625,62.63671875,13,,,,,,
base,,,,,,,53.375,73.23046875,13,,,
base,,,,,,,,,,43.9765625,62.953125,18
base,53.29296875,62.4609375,16,,,,,,,,,
base,,,,53.00390625,60.40234375,14,,,,,,
base,,,,,,,53.359375,64.0390625,16,,,
base,,,,,,,,,,44.0,64.33203125,16
base,53.27734375,62.61328125,16,,,,,,,,,
base,,,,52.98828125,60.4765625,11,,,,,,
base,,,,,,,53.35546875,58.546875,19,,,
base,,,,,,,,,,43.984375,62.83203125,16
base,53.2734375,62.640625,22,,,,,,,,,
base,,,,52.98828125,62.6328125,14,,,,,,
base,,,,,,,53.35546875,60.65234375,16,,,
base,,,,,,,,,,44.0078125,62.85546875,18
base,53.28515625,62.48828125,16,,,,,,,,,
base,,,,52.99609375,60.4609375,13,,,,,,
base,,,,,,,53.359375,64.609375,16,,,
base,,,,,,,,,,43.9921875,73.70703125,14
base,53.296875,73.13671875,15,,,,,,,,,
base,,,,53.015625,60.5859375,13,,,,,,
base,,,,,,,53.375,62.76953125,16,,,
base,,,,,,,,,,43.97265625,60.90625,18
base,53.29296875,72.53125,14,,,,,,,,,
base,,,,53.01171875,62.62109375,11,,,,,,
base,,,,,,,53.36328125,62.55078125,19,,,
base,,,,,,,,,,43.99609375,62.82421875,19
base,53.28125,62.7734375,20,,,,,,,,,
base,,,,52.98828125,58.58203125,11,,,,,,
base,,,,,,,53.36328125,68.671875,24,,,
base,,,,,,,,,,43.99609375,60.8515625,16
base,53.3046875,62.53125,16,,,,,,,,,
base,,,,53.01953125,60.61328125,11,,,,,,
base,,,,,,,43.453125,53.4296875,17,,,
base,,,,,,,,,,43.984375,60.76171875,16
base,53.28125,62.99609375,15,,,,,,,,,
base,,,,53.0,70.48046875,15,,,,,,
base,,,,,,,53.3515625,58.63671875,16,,,
base,,,,,,,,,,43.98046875,62.9140625,17
base,53.296875,58.671875,19,,,,,,,,,
base,,,,52.98828125,62.6328125,13,,,,,,
base,,,,,,,53.359375,58.515625,15,,,
base,,,,,,,,,,43.984375,62.9921875,20
base,53.26953125,60.6875,13,,,,,,,,,
base,,,,53.01171875,60.43359375,13,,,,,,
base,,,,,,,53.37890625,60.7109375,19,,,
base,,,,,,,,,,43.984375,60.91015625,22
base,53.28125,60.48046875,15,,,,,,,,,
base,,,,53.01171875,62.52734375,12,,,,,,
base,,,,,,,53.37890625,60.640625,22,,,
base,,,,,,,,,,43.98046875,60.8671875,16
base,53.29296875,58.46484375,16,,,,,,,,,
base,,,,52.98828125,62.56640625,11,,,,,,
base,,,,,,,43.46875,53.4453125,16,,,
base,,,,,,,,,,43.98046875,62.79296875,17
base,53.29296875,58.484375,13,,,,,,,,,
base,,,,53.00390625,60.56640625,12,,,,,,
base,,,,,,,53.359375,60.5546875,16,,,
base,,,,,,,,,,43.984375,62.8125,18
base,53.30859375,62.53515625,14,,,,,,,,,
base,,,,53.01953125,60.5390625,13,,,,,,
base,,,,,,,53.359375,58.6640625,16,,,
base,,,,,,,,,,43.9765625,62.9140625,19
base,53.2890625,62.59375,16,,,,,,,,,
base,,,,52.98828125,64.63671875,15,,,,,,
base,,,,,,,53.3984375,60.4765625,16,,,
base,,,,,,,,,,44.00390625,73.70703125,17
base,53.296875,60.4609375,16,,,,,,,,,
base,,,,53.01171875,60.52734375,12,,,,,,
base,,,,,,,53.375,62.59375,17,,,
base,,,,,,,,,,43.984375,63.58984375,20
base,53.28125,63.1328125,17,,,,,,,,,
base,,,,53.015625,60.5625,12,,,,,,
base,,,,,,,53.35546875,62.70703125,14,,,
base,,,,,,,,,,43.98046875,60.90234375,19
base,53.3046875,63.84765625,15,,,,,,,,,
base,,,,53.01171875,62.55078125,13,,,,,,
base,,,,,,,53.39453125,60.55078125,19,,,
base,,,,,,,,,,43.9765625,62.91796875,17
base,53.28515625,62.69140625,15,,,,,,,,,
base,,,,53.01171875,58.52734375,14,,,,,,
base,,,,,,,53.3671875,60.6484375,16,,,
base,,,,,,,,,,44.01171875,63.015625,19
base,53.28125,60.69140625,16,,,,,,,,,
base,,,,52.98828125,60.5546875,12,,,,,,
base,,,,,,,53.36328125,62.515625,18,,,
base,,,,,,,,,,44.0078125,63.07421875,17
base,53.2734375,58.59375,15,,,,,,,,,
base,,,,52.984375,62.50390625,14,,,,,,
base,,,,,,,53.36328125,60.58203125,16,,,
base,,,,,,,,,,44.00390625,63.12109375,15
base,53.2734375,60.55859375,13,,,,,,,,,
base,,,,52.98046875,60.484375,12,,,,,,
base,,,,,,,53.37890625,62.65234375,18,,,
base,,,,,,,,,,44.0,60.8828125,18
base,53.2890625,58.6171875,14,,,,,,,,,
base,,,,52.99609375,58.60546875,13,,,,,,
base,,,,,,,53.37109375,60.65625,17,,,
base,,,,,,,,,,44.0390625,60.96875,16
