case/step,DAC-MACS min,DAC-MACS max,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE amount,TAAC min,TAAC max,TAAC amount
base,53.3515625,53.3515625,5,,,,,,,,,
base,,,,53.05078125,53.05078125,7,,,,,,
base,,,,,,,53.36328125,53.36328125,12,,,
base,,,,,,,,,,43.953125,43.953125,22
base,53.375,53.375,5,,,,,,,,,
base,,,,52.9921875,52.9921875,7,,,,,,
base,,,,,,,53.421875,53.421875,12,,,
base,,,,,,,,,,44.08203125,44.08203125,21
base,53.31640625,53.31640625,5,,,,,,,,,
base,,,,52.99609375,52.99609375,6,,,,,,
base,,,,,,,53.33984375,53.33984375,10,,,
base,,,,,,,,,,44.04296875,44.04296875,21
base,53.33984375,53.33984375,6,,,,,,,,,
base,,,,53.03515625,53.03515625,7,,,,,,
base,,,,,,,53.375,53.375,10,,,
base,,,,,,,,,,44.0,44.0,25
base,53.30078125,53.30078125,5,,,,,,,,,
base,,,,52.99609375,52.99609375,7,,,,,,
base,,,,,,,53.41015625,53.41015625,10,,,
base,,,,,,,,,,44.015625,44.015625,26
base,53.28125,53.28125,5,,,,,,,,,
base,,,,52.984375,52.984375,7,,,,,,
base,,,,,,,53.375,53.375,10,,,
base,,,,,,,,,,44.0078125,44.0078125,21
base,53.2890625,53.2890625,7,,,,,,,,,
base,,,,52.9609375,52.9609375,6,,,,,,
base,,,,,,,53.36328125,53.36328125,10,,,
base,,,,,,,,,,44.015625,44.015625,21
base,53.28125,53.28125,5,,,,,,,,,
base,,,,52.99609375,52.99609375,8,,,,,,
base,,,,,,,53.359375,53.359375,10,,,
base,,,,,,,,,,43.96875,43.96875,23
base,53.29296875,53.29296875,5,,,,,,,,,
base,,,,52.98828125,52.98828125,7,,,,,,
base,,,,,,,53.359375,53.359375,11,,,
base,,,,,,,,,,43.98046875,43.98046875,21
base,53.2734375,53.2734375,5,,,,,,,,,
base,,,,53.015625,53.015625,7,,,,,,
base,,,,,,,53.3828125,53.3828125,11,,,
base,,,,,,,,,,43.98046875,43.98046875,21
base,53.28125,53.28125,5,,,,,,,,,
base,,,,52.98828125,52.98828125,8,,,,,,
base,,,,,,,53.3671875,53.3671875,11,,,
base,,,,,,,,,,43.9765625,43.9765625,21
base,53.2734375,53.2734375,7,,,,,,,,,
base,,,,53.0078125,53.0078125,6,,,,,,
