case/step,DAC-MACS min,DAC-MACS max,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE amount,TAAC min,TAAC max,TAAC amount
base,53.3515625,53.3515625,9,,,,,,,,,
base,,,,53.05078125,53.05078125,5,,,,,,
base,,,,,,,53.36328125,53.36328125,11,,,
base,,,,,,,,,,43.953125,43.953125,5
base,53.375,53.375,8,,,,,,,,,
base,,,,52.9921875,52.9921875,5,,,,,,
base,,,,,,,53.421875,53.421875,5,,,
base,,,,,,,,,,44.08203125,44.08203125,10
base,53.31640625,53.31640625,10,,,,,,,,,
base,,,,52.99609375,52.99609375,5,,,,,,
base,,,,,,,53.33984375,53.33984375,5,,,
base,,,,,,,,,,44.04296875,44.04296875,6
base,53.33984375,53.33984375,8,,,,,,,,,
base,,,,53.03515625,53.03515625,5,,,,,,
base,,,,,,,53.375,53.375,10,,,
base,,,,,,,,,,44.0,44.0,5
base,53.30078125,53.30078125,9,,,,,,,,,
base,,,,52.99609375,52.99609375,5,,,,,,
base,,,,,,,53.41015625,53.41015625,5,,,
base,,,,,,,,,,44.015625,44.015625,5
base,53.28125,53.28125,9,,,,,,,,,
base,,,,52.984375,52.984375,5,,,,,,
base,,,,,,,53.375,53.375,10,,,
base,,,,,,,,,,44.0078125,44.0078125,11
base,53.2890625,53.2890625,8,,,,,,,,,
base,,,,52.9609375,52.9609375,5,,,,,,
base,,,,,,,53.36328125,53.36328125,9,,,
base,,,,,,,,,,44.015625,44.015625,5
base,53.28125,53.28125,9,,,,,,,,,
base,,,,52.99609375,52.99609375,5,,,,,,
base,,,,,,,53.359375,53.359375,10,,,
base,,,,,,,,,,43.96875,43.96875,10
base,53.29296875,53.29296875,9,,,,,,,,,
base,,,,52.98828125,52.98828125,5,,,,,,
base,,,,,,,53.359375,53.359375,5,,,
base,,,,,,,,,,43.98046875,43.98046875,5
base,53.2734375,53.2734375,9,,,,,,,,,
base,,,,53.015625,53.015625,5,,,,,,
base,,,,,,,53.3828125,53.3828125,5,,,
base,,,,,,,,,,43.98046875,43.98046875,10
base,53.28125,53.28125,20,,,,,,,,,
base,,,,52.98828125,52.98828125,12,,,,,,
base,,,,,,,53.3671875,53.3671875,9,,,
base,,,,,,,,,,43.9765625,43.9765625,5
base,53.2734375,53.2734375,9,,,,,,,,,
base,,,,53.0078125,53.0078125,10,,,,,,
base,,,,,,,53.3984375,53.3984375,5,,,
base,,,,,,,,,,43.9765625,43.9765625,5
base,53.26953125,53.26953125,10,,,,,,,,,
base,,,,52.98828125,52.98828125,5,,,,,,
base,,,,,,,53.37890625,53.37890625,5,,,
base,,,,,,,,,,44.00390625,44.00390625,5
base,53.2890625,53.2890625,20,,,,,,,,,
base,,,,53.0,53.0,5,,,,,,
base,,,,,,,53.35546875,53.35546875,10,,,
base,,,,,,,,,,43.98828125,43.98828125,5
base,53.27734375,53.27734375,9,,,,,,,,,
base,,,,52.98828125,52.98828125,5,,,,,,
base,,,,,,,53.36328125,53.36328125,5,,,
base,,,,,,,,,,43.98828125,43.98828125,6
base,53.296875,53.296875,9,,,,,,,,,
base,,,,53.00390625,53.00390625,5,,,,,,
base,,,,,,,53.375,53.375,5,,,
base,,,,,,,,,,43.9765625,43.9765625,5
base,53.29296875,53.29296875,10,,,,,,,,,
base,,,,53.00390625,53.00390625,5,,,,,,
base,,,,,,,53.359375,53.359375,5,,,
base,,,,,,,,,,44.0,44.0,6
base,53.27734375,53.27734375,9,,,,,,,,,
base,,,,52.98828125,52.98828125,5,,,,,,
base,,,,,,,53.35546875,53.35546875,5,,,
base,,,,,,,,,,43.984375,43.984375,9
base,53.2734375,53.2734375,9,,,,,,,,,
base,,,,52.98828125,52.98828125,8,,,,,,
base,,,,,,,53.35546875,53.35546875,5,,,
base,,,,,,,,,,44.0078125,44.0078125,5
base,53.28515625,53.28515625,11,,,,,,,,,
base,,,,52.99609375,52.99609375,5,,,,,,
base,,,,,,,53.359375,53.359375,5,,,
base,,,,,,,,,,43.9921875,43.9921875,5
base,53.296875,53.296875,9,,,,,,,,,
base,,,,53.015625,53.015625,5,,,,,,
base,,,,,,,53.375,53.375,5,,,
base,,,,,,,,,,43.97265625,43.97265625,5
base,53.29296875,53.29296875,8,,,,,,,,,
base,,,,53.01171875,53.01171875,5,,,,,,
base,,,,,,,53.36328125,53.36328125,5,,,
