case/step,DAC-MACS min,DAC-MACS max,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE amount,TAAC min,TAAC max,TAAC amount
base,53.3515625,53.3515625,6,,,,,,,,,
base,,,,53.05078125,53.05078125,5,,,,,,
base,,,,,,,53.36328125,53.36328125,6,,,
base,,,,,,,,,,43.86328125,43.86328125,5
base,53.375,53.375,5,,,,,,,,,
base,,,,52.9921875,52.9921875,6,,,,,,
base,,,,,,,53.421875,53.421875,6,,,
base,,,,,,,,,,44.00390625,44.00390625,5
base,53.31640625,53.31640625,6,,,,,,,,,
base,,,,52.99609375,52.99609375,7,,,,,,
base,,,,,,,53.33984375,53.33984375,6,,,
base,,,,,,,,,,43.9609375,43.9609375,5
base,53.33984375,53.33984375,5,,,,,,,,,
base,,,,53.03515625,53.03515625,5,,,,,,
base,,,,,,,53.375,53.375,6,,,
base,,,,,,,,,,43.92578125,43.92578125,7
base,53.30078125,53.30078125,6,,,,,,,,,
base,,,,52.99609375,52.99609375,5,,,,,,
base,,,,,,,53.41015625,53.41015625,6,,,
base,,,,,,,,,,43.9375,43.9375,6
base,53.28125,53.28125,5,,,,,,,,,
base,,,,52.984375,52.984375,5,,,,,,
base,,,,,,,53.375,53.375,6,,,
base,,,,,,,,,,43.9296875,43.9296875,5
base,53.2890625,53.2890625,5,,,,,,,,,
base,,,,52.9609375,52.9609375,5,,,,,,
base,,,,,,,53.36328125,53.36328125,6,,,
base,,,,,,,,,,43.94140625,43.94140625,5
base,53.28125,53.28125,6,,,,,,,,,
base,,,,52.99609375,52.99609375,5,,,,,,
base,,,,,,,53.359375,53.359375,5,,,
base,,,,,,,,,,43.88671875,43.88671875,5
base,53.29296875,53.29296875,6,,,,,,,,,
base,,,,52.98828125,52.98828125,5,,,,,,
base,,,,,,,53.359375,53.359375,6,,,
base,,,,,,,,,,43.8984375,43.8984375,6
base,53.2734375,53.2734375,6,,,,,,,,,
base,,,,53.015625,53.015625,5,,,,,,
base,,,,,,,53.3828125,53.3828125,6,,,
base,,,,,,,,,,43.8984375,43.8984375,5
base,53.28125,53.28125,5,,,,,,,,,
base,,,,52.98828125,52.98828125,6,,,,,,
base,,,,,,,53.3671875,53.3671875,5,,,
base,,,,,,,,,,43.89453125,43.89453125,5
base,53.2734375,53.2734375,7,,,,,,,,,
base,,,,53.0078125,53.0078125,8,,,,,,
base,,,,,,,53.3984375,53.3984375,16,,,
base,,,,,,,,,,43.89453125,43.89453125,6
base,53.26953125,53.26953125,6,,,,,,,,,
base,,,,52.98828125,52.98828125,5,,,,,,
base,,,,,,,53.37890625,53.37890625,17,,,
base,,,,,,,,,,43.91796875,43.91796875,5
base,53.2890625,53.2890625,6,,,,,,,,,
base,,,,53.0,53.0,5,,,,,,
base,,,,,,,53.35546875,53.35546875,6,,,
base,,,,,,,,,,43.90234375,43.90234375,5
base,53.27734375,53.27734375,6,,,,,,,,,
base,,,,52.98828125,52.98828125,5,,,,,,
base,,,,,,,53.36328125,53.36328125,6,,,
base,,,,,,,,,,43.90625,43.90625,5
base,53.296875,53.296875,5,,,,,,,,,
base,,,,53.00390625,53.00390625,5,,,,,,
base,,,,,,,53.375,53.375,6,,,
base,,,,,,,,,,43.89453125,43.89453125,5
base,53.29296875,53.29296875,6,,,,,,,,,
base,,,,53.00390625,53.00390625,6,,,,,,
