case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,0.282456,,,
base,,0.07215,,
base,,,0.004681,
base,,,,1.1720199999999998
base,0.27661,,,
base,,0.07224299999999999,,
base,,,0.004540999999999999,
base,,,,1.194481
base,0.300131,,,
base,,0.066717,,
base,,,0.004648,
base,,,,1.199299
base,0.294328,,,
base,,0.068981,,
base,,,0.00468,
base,,,,1.1629679999999998
base,0.27584600000000004,,,
base,,0.071797,,
base,,,0.004690000000000001,
base,,,,1.197686
base,0.28262299999999996,,,
base,,0.06508,,
base,,,0.004595999999999999,
base,,,,1.165605
base,0.30596599999999996,,,
base,,0.067306,,
base,,,0.004613,
base,,,,1.183572
base,0.288457,,,
base,,0.09414900000000001,,
base,,,0.015513,
base,,,,1.217571
base,0.282993,,,
base,,0.07472100000000001,,
base,,,0.004573,
base,,,,1.504468
base,0.278841,,,
base,,0.06874500000000001,,
base,,,0.004702,
base,,,,1.205918
base,0.279352,,,
base,,0.066569,,
base,,,0.005248,
base,,,,1.2255
base,0.302939,,,
base,,0.069368,,
base,,,0.004958,
base,,,,1.1803059999999999
base,0.269546,,,
base,,0.068749,,
base,,,0.004586,
base,,,,1.232119
base,0.28871199999999997,,,
base,,0.067431,,
base,,,0.004548,
base,,,,1.171256
base,0.29556899999999997,,,
base,,0.069422,,
base,,,0.004485,
base,,,,1.194374
base,0.288354,,,
base,,0.065154,,
base,,,0.004489,
base,,,,1.2014449999999999
base,0.30100899999999997,,,
base,,0.070552,,
base,,,0.004945,
base,,,,1.2451459999999999
base,0.280874,,,
base,,0.068528,,
base,,,0.00459,
base,,,,1.21495
base,0.302234,,,
base,,0.06822,,
base,,,0.004595,
base,,,,1.1955099999999999
base,0.283057,,,
base,,0.073895,,
base,,,0.004686,
base,,,,1.1710999999999998
base,0.273351,,,
base,,0.068554,,
base,,,0.004511,
base,,,,1.228787
base,0.27578,,,
base,,0.06964300000000001,,
base,,,0.0047610000000000005,
base,,,,1.174827
base,0.28898100000000004,,,
base,,0.07470700000000001,,
base,,,0.004556,
base,,,,1.158781
base,0.28198,,,
base,,0.066936,,
base,,,0.0047150000000000004,
base,,,,1.181506
base,0.290225,,,
base,,0.066494,,
base,,,0.004745999999999999,
base,,,,1.2433189999999998
base,0.27074699999999996,,,
base,,0.068388,,
base,,,0.005915999999999999,
base,,,,1.19299
base,0.31616299999999997,,,
base,,0.06944199999999999,,
base,,,0.004534,
base,,,,1.24064
base,0.29357799999999995,,,
base,,0.082204,,
base,,,0.0047150000000000004,
base,,,,1.205513
base,0.281861,,,
base,,0.068459,,
base,,,0.004645000000000001,
base,,,,1.249447
base,0.291339,,,
base,,0.07514200000000001,,
base,,,0.005031,
base,,,,1.217466
base,0.30540799999999996,,,
base,,0.08009300000000001,,
base,,,0.004894,
base,,,,1.242797
base,0.299484,,,
base,,0.084709,,
base,,,0.0062569999999999995,
base,,,,1.3019699999999998
base,0.29231199999999996,,,
base,,0.071535,,
base,,,0.004834,
base,,,,1.286975
base,0.312627,,,
base,,0.07067699999999999,,
base,,,0.0046879999999999995,
base,,,,1.349176
base,0.336152,,,
base,,0.083205,,
base,,,0.004602,
base,,,,1.216014
base,0.29100699999999996,,,
base,,0.069317,,
base,,,0.004624999999999999,
base,,,,1.2766359999999999
base,0.330437,,,
base,,0.075717,,
base,,,0.005752,
base,,,,1.344777
