case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,0.24917599999999998,,,
base,,0.357596,,
base,,,0.7449479999999999,
base,,,,1.796042
base,0.249666,,,
base,,0.499336,,
base,,,0.754103,
base,,,,1.770932
base,0.255387,,,
base,,0.37763199999999997,,
base,,,0.775511,
base,,,,1.895025
base,0.26606399999999997,,,
base,,0.363521,,
base,,,0.7682389999999999,
base,,,,1.7947279999999999
base,0.232126,,,
base,,0.356359,,
base,,,0.743269,
base,,,,1.837641
base,0.274157,,,
base,,0.355634,,
base,,,0.759076,
base,,,,2.234714
base,0.231313,,,
base,,0.35449699999999995,,
base,,,0.9086099999999999,
base,,,,1.80927
base,0.231919,,,
base,,0.49200199999999994,,
base,,,0.7580609999999999,
base,,,,1.79809
base,0.230875,,,
base,,0.37066999999999994,,
base,,,0.753566,
base,,,,1.8783429999999999
base,0.248742,,,
base,,0.37366099999999997,,
base,,,0.774025,
base,,,,1.793181
base,0.231933,,,
base,,0.37054299999999996,,
base,,,0.8105289999999999,
base,,,,2.2089879999999997
base,0.257533,,,
base,,0.37525,,
base,,,0.7682309999999999,
base,,,,1.7788059999999999
base,0.23796,,,
base,,0.38091600000000003,,
base,,,0.769927,
base,,,,1.8071329999999999
base,0.270705,,,
base,,0.36384799999999995,,
base,,,0.815074,
base,,,,1.89622
base,0.248247,,,
base,,0.37639199999999995,,
base,,,0.7348649999999999,
base,,,,1.823462
base,0.238694,,,
base,,0.353539,,
base,,,0.7236279999999999,
base,,,,2.119487
base,0.23402699999999999,,,
base,,0.375209,,
base,,,0.802462,
base,,,,2.40771
base,0.24438,,,
base,,0.376901,,
base,,,0.7513989999999999,
base,,,,2.18539
base,0.232585,,,
base,,0.367027,,
base,,,0.759965,
base,,,,2.079935
base,0.25249699999999997,,,
base,,0.439353,,
base,,,0.764582,
base,,,,1.8495529999999998
base,0.240361,,,
base,,0.355104,,
base,,,0.752321,
base,,,,1.8607619999999998
base,0.25848899999999997,,,
base,,0.372456,,
base,,,0.9878669999999999,
base,,,,1.9037389999999998
base,0.250116,,,
base,,0.349508,,
base,,,0.74892,
base,,,,1.868943
base,0.25322,,,
base,,0.352144,,
base,,,0.775404,
base,,,,1.851032
base,0.253195,,,
base,,0.348983,,
base,,,0.7523,
base,,,,1.852354
base,0.22603,,,
base,,0.371285,,
base,,,0.8277749999999999,
base,,,,1.963981
base,0.251294,,,
base,,0.428513,,
base,,,0.755857,
base,,,,1.840771
base,0.24462799999999998,,,
base,,0.43002399999999996,,
base,,,0.8131379999999999,
base,,,,1.895098
base,0.236697,,,
base,,0.38148399999999993,,
base,,,0.7512559999999999,
base,,,,2.239581
base,0.24279799999999999,,,
base,,0.402026,,
base,,,0.8569019999999999,
base,,,,1.858628
base,0.25860799999999995,,,
base,,0.391789,,
base,,,0.7690359999999999,
base,,,,1.937948
base,0.245381,,,
base,,0.40285799999999994,,
base,,,0.879494,
base,,,,1.97026
base,0.267135,,,
base,,0.382839,,
base,,,0.758218,
base,,,,2.107532
base,0.24446099999999998,,,
base,,0.39018600000000003,,
base,,,0.8351519999999999,
base,,,,1.986075
base,0.25774600000000003,,,
base,,0.38773,,
base,,,0.8242609999999999,
base,,,,1.9218699999999997
base,0.244855,,,
base,,0.42946799999999996,,
base,,,0.773847,
base,,,,1.936178
base,0.270911,,,
base,,0.422158,,
base,,,0.8745719999999999,
base,,,,1.968563
base,0.237199,,,
base,,0.364187,,
base,,,0.7618179999999999,
base,,,,2.194747
base,0.246109,,,
base,,0.413261,,
base,,,0.78021,
base,,,,2.281199
base,0.24769799999999997,,,
base,,0.378469,,
base,,,0.7698529999999999,
base,,,,1.9785149999999998
base,0.279275,,,
