case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,1.601981,,,
base,,1.1675749999999998,,
base,,,1.9606229999999996,
base,,,,4.080825
base,1.388768,,,
base,,1.0469499999999998,,
base,,,1.895074,
base,,,,3.8512949999999995
base,1.158729,,,
base,,0.8367209999999999,,
base,,,1.3385179999999999,
base,,,,3.9628239999999995
base,1.356838,,,
base,,1.157775,,
base,,,1.403221,
base,,,,3.7594199999999995
base,1.175164,,,
base,,0.8356449999999999,,
base,,,1.404927,
base,,,,3.9449310000000004
base,1.373866,,,
base,,0.761485,,
base,,,1.309971,
base,,,,4.2397730000000005
base,1.2083519999999999,,,
base,,0.7580929999999999,,
base,,,1.600158,
base,,,,3.948093
base,1.178442,,,
base,,1.009874,,
base,,,1.3583619999999998,
base,,,,3.819836
base,1.2463099999999998,,,
base,,0.8343369999999999,,
base,,,1.3128409999999997,
base,,,,4.233620999999999
base,1.0972460000000002,,,
base,,0.9691810000000001,,
base,,,1.5270009999999998,
base,,,,3.815842
base,1.152091,,,
base,,0.8215939999999999,,
base,,,1.4880489999999997,
base,,,,4.239313999999999
base,1.172534,,,
base,,0.8967419999999999,,
base,,,1.6402709999999998,
base,,,,3.7761189999999996
base,1.118859,,,
base,,0.827664,,
base,,,1.497447,
base,,,,4.007866
base,1.2460809999999998,,,
base,,0.8782699999999999,,
base,,,1.4321819999999998,
base,,,,4.0017890000000005
base,1.1746599999999998,,,
base,,0.841061,,
base,,,1.357149,
base,,,,3.993319999999999
base,1.2767,,,
base,,0.8874110000000001,,
base,,,1.3988909999999997,
base,,,,4.209287
base,1.264342,,,
base,,0.9210429999999998,,
base,,,1.4097039999999998,
base,,,,4.6248569999999996
base,1.162696,,,
base,,0.8300039999999999,,
base,,,1.327751,
base,,,,4.3164750000000005
base,1.1481949999999999,,,
base,,0.820325,,
base,,,1.3841389999999998,
base,,,,4.274226999999999
base,1.291017,,,
base,,0.921635,,
base,,,1.3746159999999998,
base,,,,3.901941
base,1.308201,,,
base,,0.9226129999999999,,
base,,,1.4524169999999996,
base,,,,3.87465
base,1.232367,,,
base,,0.945714,,
base,,,1.6124809999999998,
base,,,,3.928959
base,1.232283,,,
base,,0.8017399999999999,,
base,,,1.363451,
base,,,,3.908022
base,1.3174199999999998,,,
base,,0.9977389999999999,,
base,,,1.3768669999999998,
base,,,,3.905836
base,1.155683,,,
base,,0.8745499999999999,,
base,,,1.3634719999999998,
base,,,,3.9446000000000003
base,1.2503989999999998,,,
base,,0.8338159999999999,,
base,,,1.4492539999999998,
base,,,,4.07363
base,1.238373,,,
base,,1.007815,,
base,,,1.4966649999999997,
base,,,,4.043262
base,1.2039239999999998,,,
base,,1.0030999999999999,,
base,,,1.519713,
base,,,,3.9412220000000007
base,1.2494949999999998,,,
base,,0.8331839999999999,,
base,,,1.4955549999999997,
base,,,,4.352361
base,1.220413,,,
base,,0.980812,,
base,,,1.4667109999999999,
base,,,,3.957325
base,1.3982819999999998,,,
base,,1.069323,,
base,,,1.448294,
base,,,,4.054271999999999
base,1.3223340000000001,,,
base,,0.9514729999999999,,
base,,,2.076938,
base,,,,4.260275
base,1.332299,,,
base,,0.9638359999999999,,
base,,,1.4601539999999997,
base,,,,4.330515
base,1.2920129999999999,,,
base,,1.076419,,
base,,,1.4406229999999998,
base,,,,4.2252019999999995
base,1.4728,,,
base,,0.9991829999999999,,
base,,,1.742777,
base,,,,3.989509
base,1.249814,,,
base,,0.983923,,
base,,,1.4108690000000002,
base,,,,4.355188
base,1.345634,,,
base,,0.9400680000000001,,
base,,,1.642384,
base,,,,4.351388999999999
base,1.131543,,,
base,,0.7919379999999999,,
base,,,1.4245769999999998,
base,,,,4.414332999999999
base,1.140355,,,
base,,0.8392710000000001,,
base,,,1.519874,
base,,,,4.490187
base,1.3598059999999998,,,
base,,0.90013,,
base,,,1.514815,
base,,,,4.544864
base,1.3243539999999998,,,
base,,0.95712,,
base,,,1.4860089999999997,
base,,,,4.046131
base,1.255237,,,
base,,0.8388819999999999,,
base,,,1.488157,
base,,,,4.434075
base,1.291914,,,
base,,0.840373,,
base,,,1.426203,
base,,,,4.237677000000001
base,1.111277,,,
base,,0.9031899999999999,,
base,,,1.3806209999999999,
base,,,,4.1917789999999995
base,1.496977,,,
base,,1.040489,,
base,,,1.4264949999999998,
base,,,,3.8942740000000002
base,1.1565029999999998,,,
base,,0.9418219999999999,,
base,,,1.5935470000000003,
base,,,,4.041822
base,1.205161,,,
base,,0.9478949999999999,,
base,,,1.359355,
base,,,,3.956058
base,1.211981,,,
base,,1.102554,,
base,,,1.370636,
base,,,,4.167237999999999
base,1.197458,,,
base,,0.893597,,
base,,,1.326836,
base,,,,3.7770629999999996
base,1.196966,,,
base,,0.862564,,
base,,,1.337469,
base,,,,3.842893
base,1.158095,,,
base,,0.8463509999999999,,
base,,,1.4215709999999997,
base,,,,3.892557
base,1.1564379999999999,,,
base,,1.139481,,
base,,,1.335966,
base,,,,3.9640519999999997
base,1.166764,,,
base,,1.00473,,
base,,,1.5135289999999997,
base,,,,3.88877
base,1.2418479999999998,,,
base,,0.8183199999999998,,
base,,,1.3687089999999997,
base,,,,3.845033
base,1.3455049999999997,,,
base,,0.8309129999999999,,
base,,,1.4712049999999997,
base,,,,3.9627619999999997
base,1.167776,,,
base,,0.791299,,
base,,,1.5232339999999998,
base,,,,3.9055630000000003
base,1.2868279999999999,,,
base,,1.044947,,
base,,,1.389833,
base,,,,3.9512450000000006
base,1.143934,,,
base,,0.989391,,
base,,,1.3231419999999998,
base,,,,4.459402
base,1.123273,,,
base,,0.984835,,
base,,,1.5157120000000002,
base,,,,3.8738559999999995
base,1.163281,,,
base,,0.874471,,
base,,,1.400734,
base,,,,4.282507
base,1.24255,,,
base,,0.873176,,
base,,,1.353166,
base,,,,4.1892759999999996
base,1.264825,,,
base,,0.9170550000000001,,
base,,,1.426737,
base,,,,4.3057549999999996
base,1.183211,,,
base,,0.946726,,
base,,,1.41396,
base,,,,3.871542
base,1.278739,,,
base,,0.8355589999999999,,
base,,,1.3515899999999998,
base,,,,4.24901
base,1.18028,,,
base,,0.9065529999999999,,
base,,,1.352749,
base,,,,4.257645
base,1.309234,,,
base,,0.818857,,
base,,,1.3881629999999998,
base,,,,4.548401999999999
base,1.144791,,,
base,,0.9416359999999999,,
base,,,1.456976,
base,,,,3.9152509999999996
base,1.191313,,,
base,,0.8025049999999999,,
base,,,1.316408,
base,,,,4.2819829999999985
base,1.16577,,,
base,,0.859259,,
base,,,1.463569,
base,,,,4.172077999999999
base,1.27412,,,
base,,0.825842,,
base,,,1.589354,
base,,,,4.455458999999999
base,1.111651,,,
base,,0.9943969999999999,,
base,,,1.550335,
base,,,,4.04808
base,1.192672,,,
base,,0.8529529999999999,,
base,,,1.4444819999999998,
base,,,,3.856948
base,1.1471649999999998,,,
base,,0.924392,,
base,,,1.3401239999999999,
base,,,,4.099189999999999
base,1.269641,,,
base,,0.928823,,
base,,,1.37112,
base,,,,4.285430999999999
base,1.132018,,,
base,,0.88916,,
base,,,1.4078839999999997,
base,,,,3.9229160000000003
base,1.197314,,,
base,,0.830889,,
base,,,1.432558,
base,,,,3.918138
base,1.3609689999999999,,,
base,,0.899228,,
base,,,1.4186409999999998,
base,,,,4.291848
base,1.3065919999999998,,,
base,,0.9608639999999999,,
base,,,1.6463249999999998,
base,,,,4.026904
base,1.237361,,,
base,,1.086835,,
base,,,1.648204,
base,,,,4.344518
base,1.2796349999999999,,,
base,,0.938065,,
base,,,1.445574,
base,,,,3.917065
base,1.223336,,,
base,,0.9057869999999999,,
base,,,1.395259,
base,,,,3.7662940000000003
