case/step,DAC-MACS min,DAC-MACS max,DAC-MACS diff,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE diff,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE diff,RW-ABE amount,TAAC min,TAAC max,TAAC diff,TAAC amount
base,74.66796875,74.66796875,0.0,3,,,,,,,,,,,,
base,94.953125,94.953125,0.0,3,,,,,,,,,,,,
base,115.109375,115.109375,0.0,3,,,,,,,,,,,,
base,145.0390625,145.0390625,0.0,3,,,,,,,,,,,,
base,155.12109375,155.12109375,0.0,3,,,,,,,,,,,,
base,155.24609375,155.24609375,0.0,3,,,,,,,,,,,,
base,185.40234375,185.40234375,0.0,3,,,,,,,,,,,,
base,175.62109375,175.62109375,0.0,3,,,,,,,,,,,,
base,215.640625,215.640625,0.0,3,,,,,,,,,,,,
base,95.640625,95.640625,0.0,3,,,,,,,,,,,,
base,95.640625,95.640625,0.0,3,,,,,,,,,,,,
base,145.6640625,145.6640625,0.0,3,,,,,,,,,,,,
base,155.8046875,155.8046875,0.0,3,,,,,,,,,,,,
base,156.0,156.0,0.0,3,,,,,,,,,,,,
base,166.015625,166.015625,0.0,3,,,,,,,,,,,,
base,96.08203125,96.08203125,0.0,3,,,,,,,,,,,,
base,96.08203125,96.08203125,0.0,3,,,,,,,,,,,,
base,146.09375,146.09375,0.0,3,,,,,,,,,,,,
base,156.2109375,156.2109375,0.0,5,,,,,,,,,,,,
base,156.43359375,156.43359375,0.0,3,,,,,,,,,,,,
base,156.58984375,156.58984375,0.0,3,,,,,,,,,,,,
base,96.46484375,96.46484375,0.0,3,,,,,,,,,,,,
base,96.46484375,96.46484375,0.0,3,,,,,,,,,,,,
base,126.65234375,126.65234375,0.0,3,,,,,,,,,,,,
base,136.64453125,136.64453125,0.0,3,,,,,,,,,,,,
base,136.8515625,136.8515625,0.0,3,,,,,,,,,,,,
base,167.0,167.0,0.0,3,,,,,,,,,,,,
base,96.875,96.875,0.0,3,,,,,,,,,,,,
base,96.875,96.875,0.0,3,,,,,,,,,,,,
base,146.95703125,146.95703125,0.0,3,,,,,,,,,,,,
base,157.078125,157.078125,0.0,3,,,,,,,,,,,,
base,157.296875,157.296875,0.0,3,,,,,,,,,,,,
base,177.33203125,177.33203125,0.0,3,,,,,,,,,,,,
base,97.30078125,97.30078125,0.0,3,,,,,,,,,,,,
base,97.30078125,97.30078125,0.0,3,,,,,,,,,,,,
base,127.5234375,127.5234375,0.0,3,,,,,,,,,,,,
base,137.5078125,137.5078125,0.0,3,,,,,,,,,,,,
base,137.6796875,137.6796875,0.0,3,,,,,,,,,,,,
base,167.88671875,167.88671875,0.0,3,,,,,,,,,,,,
base,97.76171875,97.76171875,0.0,3,,,,,,,,,,,,
base,97.78125,97.78125,0.0,3,,,,,,,,,,,,
base,147.859375,147.859375,0.0,3,,,,,,,,,,,,
base,157.99609375,157.99609375,0.0,3,,,,,,,,,,,,
base,158.171875,158.171875,0.0,3,,,,,,,,,,,,
base,178.23046875,178.23046875,0.0,3,,,,,,,,,,,,
base,98.23046875,98.23046875,0.0,3,,,,,,,,,,,,
base,98.23046875,98.23046875,0.0,3,,,,,,,,,,,,
base,148.3125,148.3125,0.0,3,,,,,,,,,,,,
base,158.44140625,158.44140625,0.0,3,,,,,,,,,,,,
base,148.65234375,148.65234375,0.0,3,,,,,,,,,,,,
base,158.7578125,158.7578125,0.0,3,,,,,,,,,,,,
base,98.6328125,98.6328125,0.0,3,,,,,,,,,,,,
base,98.7578125,98.7578125,0.0,3,,,,,,,,,,,,
base,148.734375,148.734375,0.0,3,,,,,,,,,,,,
base,148.8515625,148.8515625,0.0,3,,,,,,,,,,,,
base,159.078125,159.078125,0.0,3,,,,,,,,,,,,
base,179.1171875,179.1171875,0.0,3,,,,,,,,,,,,
base,99.140625,99.140625,0.0,3,,,,,,,,,,,,
base,99.140625,99.140625,0.0,3,,,,,,,,,,,,
base,149.1796875,149.1796875,0.0,3,,,,,,,,,,,,
base,159.29296875,159.29296875,0.0,3,,,,,,,,,,,,
base,159.515625,159.515625,0.0,3,,,,,,,,,,,,
base,179.54296875,179.54296875,0.0,3,,,,,,,,,,,,
base,99.57421875,99.57421875,0.0,3,,,,,,,,,,,,
base,99.57421875,99.57421875,0.0,3,,,,,,,,,,,,
base,149.61328125,149.61328125,0.0,3,,,,,,,,,,,,
base,159.734375,159.734375,0.0,3,,,,,,,,,,,,
base,159.90625,159.90625,0.0,3,,,,,,,,,,,,
base,179.984375,179.984375,0.0,3,,,,,,,,,,,,
base,99.984375,99.984375,0.0,3,,,,,,,,,,,,
base,99.984375,99.984375,0.0,3,,,,,,,,,,,,
base,150.0625,150.0625,0.0,3,,,,,,,,,,,,
base,160.171875,160.171875,0.0,3,,,,,,,,,,,,
base,160.390625,160.390625,0.0,3,,,,,,,,,,,,
base,180.4375,180.4375,0.0,3,,,,,,,,,,,,
base,100.4375,100.4375,0.0,3,,,,,,,,,,,,
base,100.4375,100.4375,0.0,3,,,,,,,,,,,,
base,150.49609375,150.49609375,0.0,3,,,,,,,,,,,,
base,160.625,160.625,0.0,3,,,,,,,,,,,,
base,160.84375,160.84375,0.0,3,,,,,,,,,,,,
base,180.8828125,180.8828125,0.0,3,,,,,,,,,,,,
base,100.8828125,100.8828125,0.0,3,,,,,,,,,,,,
base,100.8828125,100.8828125,0.0,3,,,,,,,,,,,,
base,150.953125,150.953125,0.0,3,,,,,,,,,,,,
base,161.0703125,161.0703125,0.0,3,,,,,,,,,,,,
base,161.2890625,161.2890625,0.0,3,,,,,,,,,,,,
base,181.31640625,181.31640625,0.0,3,,,,,,,,,,,,
base,101.31640625,101.31640625,0.0,3,,,,,,,,,,,,
base,101.31640625,101.31640625,0.0,3,,,,,,,,,,,,
base,151.40625,151.40625,0.0,3,,,,,,,,,,,,
base,161.52734375,161.52734375,0.0,3,,,,,,,,,,,,
base,161.734375,161.734375,0.0,3,,,,,,,,,,,,
base,181.765625,181.765625,0.0,3,,,,,,,,,,,,
base,101.765625,101.765625,0.0,3,,,,,,,,,,,,
base,101.765625,101.765625,0.0,3,,,,,,,,,,,,
base,151.83984375,151.83984375,0.0,3,,,,,,,,,,,,
base,161.9609375,161.9609375,0.0,3,,,,,,,,,,,,
base,162.15625,162.15625,0.0,3,,,,,,,,,,,,
base,182.203125,182.203125,0.0,3,,,,,,,,,,,,
base,102.203125,102.203125,0.0,3,,,,,,,,,,,,
base,,,,,122.328125,122.328125,0.0,3,,,,,,,,
base,,,,,122.328125,122.328125,0.0,3,,,,,,,,
base,,,,,122.3828125,122.3828125,0.0,3,,,,,,,,
base,,,,,122.47265625,122.47265625,0.0,3,,,,,,,,
base,,,,,122.53515625,122.53515625,0.0,3,,,,,,,,
base,,,,,122.63671875,122.63671875,0.0,3,,,,,,,,
base,,,,,122.671875,122.671875,0.0,3,,,,,,,,
base,,,,,122.7890625,122.7890625,0.0,3,,,,,,,,
base,,,,,122.85546875,122.85546875,0.0,3,,,,,,,,
base,,,,,122.9921875,122.9921875,0.0,3,,,,,,,,
base,,,,,123.04296875,123.04296875,0.0,3,,,,,,,,
base,,,,,143.0234375,143.0234375,0.0,3,,,,,,,,
base,,,,,113.0234375,113.0234375,0.0,3,,,,,,,,
base,,,,,123.1484375,123.1484375,0.0,3,,,,,,,,
base,,,,,123.20703125,123.20703125,0.0,3,,,,,,,,
base,,,,,113.3046875,113.3046875,0.0,3,,,,,,,,
base,,,,,123.37890625,123.37890625,0.0,3,,,,,,,,
base,,,,,123.4453125,123.4453125,0.0,3,,,,,,,,
base,,,,,123.53515625,123.53515625,0.0,3,,,,,,,,
base,,,,,113.61328125,113.61328125,0.0,3,,,,,,,,
base,,,,,123.70703125,123.70703125,0.0,3,,,,,,,,
base,,,,,123.76953125,123.76953125,0.0,3,,,,,,,,
base,,,,,123.86328125,123.86328125,0.0,3,,,,,,,,
base,,,,,113.94140625,113.94140625,0.0,3,,,,,,,,
base,,,,,124.02734375,124.02734375,0.0,3,,,,,,,,
base,,,,,124.10546875,124.10546875,0.0,3,,,,,,,,
base,,,,,104.109375,104.109375,0.0,3,,,,,,,,
base,,,,,144.21875,144.21875,0.0,3,,,,,,,,
base,,,,,104.2734375,104.2734375,0.0,3,,,,,,,,
base,,,,,104.31640625,104.31640625,0.0,3,,,,,,,,
base,,,,,104.40625,104.40625,0.0,3,,,,,,,,
base,,,,,104.4921875,104.4921875,0.0,3,,,,,,,,
base,,,,,114.5703125,114.5703125,0.0,3,,,,,,,,
base,,,,,114.66796875,114.66796875,0.0,3,,,,,,,,
base,,,,,114.73828125,114.73828125,0.0,3,,,,,,,,
base,,,,,114.80078125,114.80078125,0.0,3,,,,,,,,
base,,,,,114.87109375,114.87109375,0.0,3,,,,,,,,
base,,,,,114.953125,114.953125,0.0,3,,,,,,,,
base,,,,,115.0078125,115.0078125,0.0,3,,,,,,,,
base,,,,,115.0859375,115.0859375,0.0,3,,,,,,,,
base,,,,,115.09765625,115.09765625,0.0,3,,,,,,,,
base,,,,,175.24609375,175.24609375,0.0,3,,,,,,,,
base,,,,,185.19921875,185.19921875,0.0,3,,,,,,,,
base,,,,,185.41015625,185.41015625,0.0,3,,,,,,,,
base,,,,,185.4765625,185.4765625,0.0,3,,,,,,,,
base,,,,,185.5625,185.5625,0.0,3,,,,,,,,
base,,,,,185.63671875,185.63671875,0.0,3,,,,,,,,
base,,,,,185.73046875,185.73046875,0.0,3,,,,,,,,
base,,,,,185.796875,185.796875,0.0,3,,,,,,,,
base,,,,,185.87109375,185.87109375,0.0,3,,,,,,,,
base,,,,,185.9375,185.9375,0.0,3,,,,,,,,
base,,,,,186.0234375,186.0234375,0.0,3,,,,,,,,
base,,,,,186.1015625,186.1015625,0.0,3,,,,,,,,
base,,,,,186.17578125,186.17578125,0.0,3,,,,,,,,
base,,,,,116.1640625,116.1640625,0.0,3,,,,,,,,
base,,,,,176.29296875,176.29296875,0.0,3,,,,,,,,
base,,,,,186.26171875,186.26171875,0.0,3,,,,,,,,
base,,,,,186.46875,186.46875,0.0,3,,,,,,,,
base,,,,,186.5234375,186.5234375,0.0,3,,,,,,,,
base,,,,,186.59765625,186.59765625,0.0,3,,,,,,,,
base,,,,,186.66796875,186.66796875,0.0,3,,,,,,,,
base,,,,,186.75390625,186.75390625,0.0,3,,,,,,,,
base,,,,,186.8359375,186.8359375,0.0,3,,,,,,,,
base,,,,,186.8984375,186.8984375,0.0,3,,,,,,,,
base,,,,,186.984375,186.984375,0.0,3,,,,,,,,
base,,,,,187.0625,187.0625,0.0,3,,,,,,,,
base,,,,,187.12109375,187.12109375,0.0,3,,,,,,,,
base,,,,,187.1875,187.1875,0.0,3,,,,,,,,
base,,,,,117.1875,117.1875,0.0,3,,,,,,,,
base,,,,,177.28515625,177.28515625,0.0,3,,,,,,,,
base,,,,,187.25,187.25,0.0,3,,,,,,,,
base,,,,,187.4765625,187.4765625,0.0,3,,,,,,,,
base,,,,,187.58984375,187.58984375,0.0,3,,,,,,,,
base,,,,,197.53125,197.53125,0.0,3,,,,,,,,
