case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,1190,,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,1192,,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,1190,
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
base,,,,1190
