case/step,DAC-MACS min,DAC-MACS max,DAC-MACS diff,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE diff,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE diff,RW-ABE amount,TAAC min,TAAC max,TAAC diff,TAAC amount
base,44.65625,44.65625,0.0,5,,,,,,,,,,,,
base,74.96875,74.96875,0.0,5,,,,,,,,,,,,
base,105.125,105.125,0.0,8,,,,,,,,,,,,
base,155.0546875,155.0546875,0.0,5,,,,,,,,,,,,
base,155.13671875,155.13671875,0.0,5,,,,,,,,,,,,
base,155.2578125,155.2578125,0.0,8,,,,,,,,,,,,
base,155.55078125,155.55078125,0.0,11,,,,,,,,,,,,
base,165.6328125,165.6328125,0.0,5,,,,,,,,,,,,
base,215.78125,215.78125,0.0,5,,,,,,,,,,,,
base,145.77734375,145.77734375,0.0,5,,,,,,,,,,,,
base,145.77734375,145.77734375,0.0,5,,,,,,,,,,,,
base,145.83984375,145.83984375,0.0,6,,,,,,,,,,,,
base,155.81640625,155.81640625,0.0,5,,,,,,,,,,,,
base,155.8984375,155.8984375,0.0,8,,,,,,,,,,,,
base,196.0546875,196.0546875,0.0,11,,,,,,,,,,,,
base,146.18359375,146.18359375,0.0,8,,,,,,,,,,,,
base,156.05859375,156.05859375,0.0,5,,,,,,,,,,,,
base,166.16015625,166.16015625,0.0,6,,,,,,,,,,,,
base,166.3203125,166.3203125,0.0,5,,,,,,,,,,,,
base,166.51953125,166.51953125,0.0,5,,,,,,,,,,,,
base,196.53515625,196.53515625,0.0,7,,,,,,,,,,,,
base,146.71484375,146.71484375,0.0,5,,,,,,,,,,,,
base,156.58984375,156.58984375,0.0,5,,,,,,,,,,,,
base,146.7421875,146.7421875,0.0,6,,,,,,,,,,,,
base,156.72265625,156.72265625,0.0,5,,,,,,,,,,,,
base,156.76953125,156.76953125,0.0,5,,,,,,,,,,,,
base,196.9765625,196.9765625,0.0,7,,,,,,,,,,,,
base,147.09765625,147.09765625,0.0,6,,,,,,,,,,,,
base,156.97265625,156.97265625,0.0,5,,,,,,,,,,,,
base,157.0390625,157.0390625,0.0,5,,,,,,,,,,,,
base,167.1796875,167.1796875,0.0,5,,,,,,,,,,,,
base,157.4140625,157.4140625,0.0,5,,,,,,,,,,,,
base,197.4375,197.4375,0.0,6,,,,,,,,,,,,
base,147.5625,147.5625,0.0,5,,,,,,,,,,,,
base,157.4375,157.4375,0.0,5,,,,,,,,,,,,
base,177.4765625,177.4765625,0.0,5,,,,,,,,,,,,
base,177.62109375,177.62109375,0.0,6,,,,,,,,,,,,
base,177.8203125,177.8203125,0.0,6,,,,,,,,,,,,
base,197.8359375,197.8359375,0.0,5,,,,,,,,,,,,
base,147.95703125,147.95703125,0.0,5,,,,,,,,,,,,
base,147.95703125,147.95703125,0.0,5,,,,,,,,,,,,
base,167.92578125,167.92578125,0.0,5,,,,,,,,,,,,
base,168.046875,168.046875,0.0,5,,,,,,,,,,,,
base,178.2578125,178.2578125,0.0,5,,,,,,,,,,,,
base,188.37890625,188.37890625,0.0,5,,,,,,,,,,,,
base,158.37890625,158.37890625,0.0,5,,,,,,,,,,,,
base,158.37890625,158.37890625,0.0,11,,,,,,,,,,,,
base,178.33984375,178.33984375,0.0,5,,,,,,,,,,,,
base,178.484375,178.484375,0.0,5,,,,,,,,,,,,
base,178.62890625,178.62890625,0.0,5,,,,,,,,,,,,
base,198.68359375,198.68359375,0.0,5,,,,,,,,,,,,
base,148.80859375,148.80859375,0.0,6,,,,,,,,,,,,
base,158.68359375,158.68359375,0.0,6,,,,,,,,,,,,
base,178.79296875,178.79296875,0.0,5,,,,,,,,,,,,
base,178.921875,178.921875,0.0,5,,,,,,,,,,,,
base,179.12109375,179.12109375,0.0,5,,,,,,,,,,,,
base,199.15234375,199.15234375,0.0,5,,,,,,,,,,,,
base,149.2734375,149.2734375,0.0,5,,,,,,,,,,,,
base,159.1484375,159.1484375,0.0,5,,,,,,,,,,,,
base,179.25390625,179.25390625,0.0,5,,,,,,,,,,,,
base,179.3828125,179.3828125,0.0,6,,,,,,,,,,,,
base,179.57421875,179.57421875,0.0,5,,,,,,,,,,,,
base,199.59765625,199.59765625,0.0,5,,,,,,,,,,,,
base,159.73828125,159.73828125,0.0,5,,,,,,,,,,,,
base,159.73828125,159.73828125,0.0,5,,,,,,,,,,,,
base,179.6484375,179.6484375,0.0,8,,,,,,,,,,,,
base,179.78515625,179.78515625,0.0,5,,,,,,,,,,,,
base,179.9140625,179.9140625,0.0,5,,,,,,,,,,,,
base,200.0,200.0,0.0,5,,,,,,,,,,,,
base,150.12109375,150.12109375,0.0,6,,,,,,,,,,,,
base,150.12109375,150.12109375,0.0,5,,,,,,,,,,,,
base,170.09375,170.09375,0.0,5,,,,,,,,,,,,
base,170.21875,170.21875,0.0,5,,,,,,,,,,,,
base,180.44921875,180.44921875,0.0,6,,,,,,,,,,,,
base,190.56640625,190.56640625,0.0,7,,,,,,,,,,,,
base,160.56640625,160.56640625,0.0,5,,,,,,,,,,,,
base,160.56640625,160.56640625,0.0,5,,,,,,,,,,,,
base,180.5078125,180.5078125,0.0,9,,,,,,,,,,,,
base,180.640625,180.640625,0.0,5,,,,,,,,,,,,
base,180.84765625,180.84765625,0.0,5,,,,,,,,,,,,
base,180.984375,180.984375,0.0,5,,,,,,,,,,,,
base,150.984375,150.984375,0.0,5,,,,,,,,,,,,
base,160.859375,160.859375,0.0,5,,,,,,,,,,,,
base,180.91015625,180.91015625,0.0,9,,,,,,,,,,,,
base,181.03515625,181.03515625,0.0,5,,,,,,,,,,,,
base,181.234375,181.234375,0.0,6,,,,,,,,,,,,
base,201.25,201.25,0.0,5,,,,,,,,,,,,
base,151.37109375,151.37109375,0.0,5,,,,,,,,,,,,
base,161.24609375,161.24609375,0.0,5,,,,,,,,,,,,
base,161.32421875,161.32421875,0.0,5,,,,,,,,,,,,
base,161.43359375,161.43359375,0.0,5,,,,,,,,,,,,
base,161.62890625,161.62890625,0.0,6,,,,,,,,,,,,
base,201.80078125,201.80078125,0.0,5,,,,,,,,,,,,
base,151.796875,151.796875,0.0,5,,,,,,,,,,,,
base,161.671875,161.671875,0.0,5,,,,,,,,,,,,
base,181.75390625,181.75390625,0.0,5,,,,,,,,,,,,
base,181.8984375,181.8984375,0.0,5,,,,,,,,,,,,
base,182.09765625,182.09765625,0.0,6,,,,,,,,,,,,
base,202.125,202.125,0.0,5,,,,,,,,,,,,
base,152.24609375,152.24609375,0.0,5,,,,,,,,,,,,
base,,,,,162.24609375,162.24609375,0.0,8,,,,,,,,
base,,,,,162.26953125,162.26953125,0.0,9,,,,,,,,
