case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
base,,,,1
