case/step,DAC-MACS min,DAC-MACS max,DAC-MACS diff,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE diff,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE diff,RW-ABE amount,TAAC min,TAAC max,TAAC diff,TAAC amount
encrypt,54.6015625,60.5,5.8984375,8,,,,,,,,,,,,
keygen,54.5859375,54.59375,0.0078125,13,,,,,,,,,,,,
decrypt,54.62890625,74.6640625,20.03515625,5,,,,,,,,,,,,
setup,74.58203125,74.58203125,0.0,13,,,,,,,,,,,,
register,54.5859375,54.5859375,0.0,5,,,,,,,,,,,,
update_keys,54.62890625,54.62890625,0.0,3,,,,,,,,,,,,
authsetup,74.58203125,74.5859375,0.00390625,6,,,,,,,,,,,,
encrypt,104.92578125,114.9140625,9.98828125,8,,,,,,,,,,,,
keygen,104.92578125,104.92578125,0.0,14,,,,,,,,,,,,
decrypt,114.9140625,114.91796875,0.00390625,5,,,,,,,,,,,,
setup,104.92578125,104.92578125,0.0,5,,,,,,,,,,,,
register,104.92578125,104.92578125,0.0,6,,,,,,,,,,,,
update_keys,114.9140625,114.9140625,0.0,3,,,,,,,,,,,,
authsetup,104.92578125,104.92578125,0.0,6,,,,,,,,,,,,
encrypt,125.05859375,125.05859375,0.0,9,,,,,,,,,,,,
keygen,125.05859375,125.05859375,0.0,14,,,,,,,,,,,,
decrypt,125.05859375,125.05859375,0.0,5,,,,,,,,,,,,
setup,125.05859375,125.05859375,0.0,15,,,,,,,,,,,,
register,125.05859375,125.05859375,0.0,5,,,,,,,,,,,,
update_keys,125.05859375,125.05859375,0.0,3,,,,,,,,,,,,
authsetup,125.05859375,125.05859375,0.0,6,,,,,,,,,,,,
encrypt,85.8203125,95.6953125,9.875,8,,,,,,,,,,,,
keygen,85.8203125,85.8203125,0.0,16,,,,,,,,,,,,
decrypt,95.6953125,95.6953125,0.0,5,,,,,,,,,,,,
setup,85.8203125,85.8203125,0.0,15,,,,,,,,,,,,
register,85.8203125,85.8203125,0.0,5,,,,,,,,,,,,
update_keys,95.6953125,95.6953125,0.0,3,,,,,,,,,,,,
authsetup,85.8203125,85.8203125,0.0,6,,,,,,,,,,,,
encrypt,85.8203125,85.8203125,0.0,8,,,,,,,,,,,,
keygen,85.8203125,85.8203125,0.0,14,,,,,,,,,,,,
decrypt,85.8203125,85.8203125,0.0,5,,,,,,,,,,,,
setup,85.8203125,85.8203125,0.0,15,,,,,,,,,,,,
register,85.8203125,85.8203125,0.0,5,,,,,,,,,,,,
update_keys,85.8203125,85.8203125,0.0,3,,,,,,,,,,,,
authsetup,85.8203125,85.8203125,0.0,6,,,,,,,,,,,,
encrypt,85.9140625,85.9140625,0.0,10,,,,,,,,,,,,
keygen,85.9140625,85.9140625,0.0,16,,,,,,,,,,,,
decrypt,85.9140625,95.7734375,9.859375,5,,,,,,,,,,,,
setup,85.9140625,85.9140625,0.0,15,,,,,,,,,,,,
register,85.9140625,85.9140625,0.0,5,,,,,,,,,,,,
update_keys,85.9140625,85.9140625,0.0,3,,,,,,,,,,,,
authsetup,85.9140625,85.9140625,0.0,6,,,,,,,,,,,,
encrypt,95.90625,95.90625,0.0,7,,,,,,,,,,,,
keygen,95.90625,95.90625,0.0,14,,,,,,,,,,,,
decrypt,95.90625,95.90625,0.0,5,,,,,,,,,,,,
setup,95.90625,95.90625,0.0,14,,,,,,,,,,,,
register,95.90625,95.90625,0.0,5,,,,,,,,,,,,
update_keys,95.90625,95.90625,0.0,3,,,,,,,,,,,,
authsetup,95.90625,95.90625,0.0,6,,,,,,,,,,,,
encrypt,96.15234375,115.8671875,19.71484375,10,,,,,,,,,,,,
keygen,96.15234375,96.15234375,0.0,14,,,,,,,,,,,,
decrypt,116.02734375,116.02734375,0.0,6,,,,,,,,,,,,
setup,96.15234375,96.15234375,0.0,14,,,,,,,,,,,,
register,96.15234375,96.15234375,0.0,5,,,,,,,,,,,,
update_keys,116.02734375,116.02734375,0.0,3,,,,,,,,,,,,
authsetup,96.15234375,96.15234375,0.0,6,,,,,,,,,,,,
encrypt,86.25,99.25390625,13.00390625,9,,,,,,,,,,,,
keygen,86.25,86.25,0.0,15,,,,,,,,,,,,
decrypt,96.25,116.125,19.875,5,,,,,,,,,,,,
setup,86.25,116.125,29.875,13,,,,,,,,,,,,
register,86.25,86.25,0.0,6,,,,,,,,,,,,
update_keys,96.25,96.25,0.0,3,,,,,,,,,,,,
authsetup,86.25,86.25,0.0,7,,,,,,,,,,,,
encrypt,96.25,96.25,0.0,10,,,,,,,,,,,,
keygen,96.25,96.25,0.0,14,,,,,,,,,,,,
decrypt,96.25,96.25,0.0,7,,,,,,,,,,,,
setup,96.25,96.25,0.0,14,,,,,,,,,,,,
register,96.25,96.25,0.0,5,,,,,,,,,,,,
update_keys,96.25,96.25,0.0,3,,,,,,,,,,,,
authsetup,96.25,96.25,0.0,6,,,,,,,,,,,,
encrypt,96.30859375,96.30859375,0.0,9,,,,,,,,,,,,
keygen,96.30859375,96.30859375,0.0,13,,,,,,,,,,,,
decrypt,96.30859375,96.30859375,0.0,5,,,,,,,,,,,,
setup,96.30859375,96.30859375,0.0,14,,,,,,,,,,,,
register,96.30859375,96.30859375,0.0,5,,,,,,,,,,,,
update_keys,96.30859375,96.30859375,0.0,3,,,,,,,,,,,,
authsetup,96.30859375,96.30859375,0.0,6,,,,,,,,,,,,
encrypt,86.4140625,96.25,9.8359375,9,,,,,,,,,,,,
keygen,86.4140625,86.4140625,0.0,14,,,,,,,,,,,,
decrypt,96.2890625,96.2890625,0.0,5,,,,,,,,,,,,
setup,86.4140625,86.4140625,0.0,14,,,,,,,,,,,,
register,86.4140625,86.4140625,0.0,5,,,,,,,,,,,,
update_keys,96.2890625,96.2890625,0.0,3,,,,,,,,,,,,
authsetup,86.4140625,86.4140625,0.0,6,,,,,,,,,,,,
encrypt,96.5390625,116.4140625,19.875,9,,,,,,,,,,,,
keygen,96.5390625,96.5390625,0.0,14,,,,,,,,,,,,
decrypt,116.4140625,116.4140625,0.0,5,,,,,,,,,,,,
setup,96.5390625,96.5390625,0.0,11,,,,,,,,,,,,
register,96.5390625,96.5390625,0.0,6,,,,,,,,,,,,
update_keys,116.4140625,116.4140625,0.0,3,,,,,,,,,,,,
authsetup,96.5390625,96.5390625,0.0,7,,,,,,,,,,,,
encrypt,86.640625,99.73828125,13.09765625,10,,,,,,,,,,,,
keygen,86.640625,86.640625,0.0,18,,,,,,,,,,,,
decrypt,96.640625,116.41796875,19.77734375,5,,,,,,,,,,,,
setup,116.515625,116.515625,0.0,11,,,,,,,,,,,,
register,86.640625,86.640625,0.0,5,,,,,,,,,,,,
update_keys,96.640625,96.640625,0.0,3,,,,,,,,,,,,
authsetup,86.640625,116.515625,29.875,6,,,,,,,,,,,,
encrypt,86.71875,96.71875,10.0,10,,,,,,,,,,,,
keygen,86.71875,86.71875,0.0,14,,,,,,,,,,,,
decrypt,96.71875,116.578125,19.859375,6,,,,,,,,,,,,
setup,86.71875,86.71875,0.0,13,,,,,,,,,,,,
register,86.71875,86.71875,0.0,8,,,,,,,,,,,,
update_keys,96.71875,96.71875,0.0,3,,,,,,,,,,,,
authsetup,86.71875,86.71875,0.0,7,,,,,,,,,,,,
encrypt,96.71875,101.796875,5.078125,9,,,,,,,,,,,,
keygen,96.71875,96.71875,0.0,14,,,,,,,,,,,,
decrypt,96.71875,125.92578125,29.20703125,6,,,,,,,,,,,,
setup,96.71875,96.71875,0.0,15,,,,,,,,,,,,
register,96.71875,96.71875,0.0,8,,,,,,,,,,,,
update_keys,96.71875,96.71875,0.0,3,,,,,,,,,,,,
authsetup,96.71875,96.71875,0.0,6,,,,,,,,,,,,
encrypt,96.8125,103.9921875,7.1796875,8,,,,,,,,,,,,
keygen,96.8125,96.8125,0.0,14,,,,,,,,,,,,
decrypt,96.8125,120.04296875,23.23046875,5,,,,,,,,,,,,
setup,96.8125,96.8125,0.0,5,,,,,,,,,,,,
register,96.8125,96.8125,0.0,13,,,,,,,,,,,,
update_keys,96.8125,96.8125,0.0,3,,,,,,,,,,,,
authsetup,96.8125,96.8125,0.0,6,,,,,,,,,,,,
encrypt,96.90625,104.03515625,7.12890625,7,,,,,,,,,,,,
keygen,96.90625,96.90625,0.0,17,,,,,,,,,,,,
decrypt,96.90625,116.6015625,19.6953125,5,,,,,,,,,,,,
setup,96.90625,96.90625,0.0,15,,,,,,,,,,,,
register,96.90625,96.90625,0.0,6,,,,,,,,,,,,
update_keys,96.90625,96.90625,0.0,3,,,,,,,,,,,,
authsetup,96.90625,96.90625,0.0,6,,,,,,,,,,,,
encrypt,137.0,137.0,0.0,7,,,,,,,,,,,,
keygen,137.0,137.0,0.0,14,,,,,,,,,,,,
decrypt,137.0,137.0,0.0,5,,,,,,,,,,,,
setup,137.0,137.0,0.0,15,,,,,,,,,,,,
register,137.0,137.0,0.0,5,,,,,,,,,,,,
update_keys,137.0,137.0,0.0,3,,,,,,,,,,,,
authsetup,137.0,137.0,0.0,6,,,,,,,,,,,,
encrypt,136.984375,136.984375,0.0,7,,,,,,,,,,,,
keygen,136.984375,136.984375,0.0,5,,,,,,,,,,,,
decrypt,136.984375,136.984375,0.0,5,,,,,,,,,,,,
setup,136.984375,136.984375,0.0,15,,,,,,,,,,,,
register,136.984375,136.984375,0.0,5,,,,,,,,,,,,
update_keys,136.984375,136.984375,0.0,3,,,,,,,,,,,,
authsetup,136.984375,136.984375,0.0,6,,,,,,,,,,,,
encrypt,137.17578125,137.17578125,0.0,8,,,,,,,,,,,,
keygen,137.17578125,137.17578125,0.0,20,,,,,,,,,,,,
decrypt,137.17578125,137.17578125,0.0,5,,,,,,,,,,,,
setup,137.17578125,137.17578125,0.0,15,,,,,,,,,,,,
register,137.17578125,137.17578125,0.0,9,,,,,,,,,,,,
update_keys,137.17578125,137.17578125,0.0,3,,,,,,,,,,,,
authsetup,137.17578125,137.17578125,0.0,6,,,,,,,,,,,,
encrypt,87.17578125,87.17578125,0.0,9,,,,,,,,,,,,
keygen,87.17578125,87.17578125,0.0,18,,,,,,,,,,,,
decrypt,87.17578125,97.01171875,9.8359375,5,,,,,,,,,,,,
setup,87.17578125,87.17578125,0.0,15,,,,,,,,,,,,
register,87.17578125,87.17578125,0.0,5,,,,,,,,,,,,
update_keys,87.17578125,87.17578125,0.0,3,,,,,,,,,,,,
authsetup,87.17578125,87.17578125,0.0,6,,,,,,,,,,,,
encrypt,97.17578125,97.17578125,0.0,10,,,,,,,,,,,,
keygen,97.17578125,97.17578125,0.0,14,,,,,,,,,,,,
decrypt,87.17578125,97.17578125,10.0,5,,,,,,,,,,,,
setup,97.17578125,97.17578125,0.0,15,,,,,,,,,,,,
register,97.17578125,97.17578125,0.0,5,,,,,,,,,,,,
update_keys,97.17578125,97.17578125,0.0,3,,,,,,,,,,,,
authsetup,97.17578125,97.17578125,0.0,6,,,,,,,,,,,,
encrypt,97.1015625,97.1015625,0.0,7,,,,,,,,,,,,
keygen,97.1015625,97.1015625,0.0,14,,,,,,,,,,,,
decrypt,97.1015625,97.1015625,0.0,5,,,,,,,,,,,,
setup,97.1015625,97.1015625,0.0,14,,,,,,,,,,,,
register,97.1015625,97.1015625,0.0,8,,,,,,,,,,,,
update_keys,97.1015625,97.1015625,0.0,3,,,,,,,,,,,,
authsetup,97.1015625,97.1015625,0.0,6,,,,,,,,,,,,
encrypt,97.3515625,117.2265625,19.875,8,,,,,,,,,,,,
keygen,97.3515625,97.3515625,0.0,13,,,,,,,,,,,,
decrypt,117.2265625,117.2265625,0.0,5,,,,,,,,,,,,
setup,97.3515625,97.3515625,0.0,14,,,,,,,,,,,,
register,97.3515625,97.3515625,0.0,11,,,,,,,,,,,,
update_keys,117.2265625,117.2265625,0.0,3,,,,,,,,,,,,
authsetup,97.3515625,97.3515625,0.0,6,,,,,,,,,,,,
encrypt,87.45703125,102.6171875,15.16015625,7,,,,,,,,,,,,
keygen,87.45703125,87.45703125,0.0,15,,,,,,,,,,,,
decrypt,97.45703125,117.33203125,19.875,5,,,,,,,,,,,,
setup,87.45703125,117.33203125,29.875,13,,,,,,,,,,,,
register,87.45703125,87.45703125,0.0,14,,,,,,,,,,,,
update_keys,97.45703125,97.45703125,0.0,3,,,,,,,,,,,,
authsetup,87.45703125,87.45703125,0.0,6,,,,,,,,,,,,
encrypt,107.5390625,127.3984375,19.859375,9,,,,,,,,,,,,
keygen,107.5390625,107.5390625,0.0,13,,,,,,,,,,,,
decrypt,107.5390625,127.4140625,19.875,5,,,,,,,,,,,,
setup,107.5390625,107.5390625,0.0,13,,,,,,,,,,,,
register,107.5390625,107.5390625,0.0,5,,,,,,,,,,,,
update_keys,127.4140625,127.4140625,0.0,3,,,,,,,,,,,,
authsetup,107.5390625,107.5390625,0.0,6,,,,,,,,,,,,
encrypt,107.5390625,117.4140625,9.875,9,,,,,,,,,,,,
keygen,107.5390625,107.5390625,0.0,14,,,,,,,,,,,,
decrypt,117.4140625,132.78125,15.3671875,5,,,,,,,,,,,,
setup,107.5390625,107.5390625,0.0,15,,,,,,,,,,,,
register,107.5390625,107.5390625,0.0,5,,,,,,,,,,,,
update_keys,117.4140625,117.4140625,0.0,3,,,,,,,,,,,,
authsetup,107.5390625,107.5390625,0.0,6,,,,,,,,,,,,
encrypt,107.65234375,127.44140625,19.7890625,7,,,,,,,,,,,,
keygen,107.65234375,107.65234375,0.0,14,,,,,,,,,,,,
decrypt,127.52734375,137.52734375,10.0,5,,,,,,,,,,,,
setup,107.65234375,107.65234375,0.0,13,,,,,,,,,,,,
register,107.65234375,107.65234375,0.0,6,,,,,,,,,,,,
update_keys,127.52734375,127.52734375,0.0,3,,,,,,,,,,,,
authsetup,107.65234375,107.65234375,0.0,6,,,,,,,,,,,,
encrypt,97.73828125,127.56640625,29.828125,8,,,,,,,,,,,,
keygen,97.73828125,97.73828125,0.0,5,,,,,,,,,,,,
decrypt,107.73828125,127.61328125,19.875,5,,,,,,,,,,,,
setup,97.73828125,97.73828125,0.0,15,,,,,,,,,,,,
register,97.73828125,97.73828125,0.0,5,,,,,,,,,,,,
update_keys,127.61328125,127.61328125,0.0,3,,,,,,,,,,,,
authsetup,97.73828125,97.73828125,0.0,6,,,,,,,,,,,,
encrypt,137.8359375,137.8359375,0.0,9,,,,,,,,,,,,
keygen,137.8359375,137.8359375,0.0,19,,,,,,,,,,,,
decrypt,137.8359375,137.8359375,0.0,6,,,,,,,,,,,,
setup,137.8359375,137.8359375,0.0,5,,,,,,,,,,,,
register,137.8359375,137.8359375,0.0,5,,,,,,,,,,,,
update_keys,137.8359375,137.8359375,0.0,3,,,,,,,,,,,,
authsetup,137.8359375,137.8359375,0.0,6,,,,,,,,,,,,
encrypt,137.83203125,137.83203125,0.0,14,,,,,,,,,,,,
keygen,137.83203125,137.83203125,0.0,14,,,,,,,,,,,,
decrypt,137.83203125,137.83203125,0.0,6,,,,,,,,,,,,
setup,137.83203125,137.83203125,0.0,14,,,,,,,,,,,,
register,137.83203125,137.83203125,0.0,5,,,,,,,,,,,,
update_keys,137.83203125,137.83203125,0.0,3,,,,,,,,,,,,
authsetup,137.83203125,137.83203125,0.0,6,,,,,,,,,,,,
encrypt,138.02734375,138.02734375,0.0,8,,,,,,,,,,,,
keygen,138.02734375,138.02734375,0.0,15,,,,,,,,,,,,
decrypt,138.02734375,138.02734375,0.0,5,,,,,,,,,,,,
setup,138.02734375,138.02734375,0.0,14,,,,,,,,,,,,
register,138.02734375,138.02734375,0.0,5,,,,,,,,,,,,
update_keys,138.02734375,138.02734375,0.0,3,,,,,,,,,,,,
authsetup,138.02734375,138.02734375,0.0,6,,,,,,,,,,,,
encrypt,98.02734375,98.02734375,0.0,8,,,,,,,,,,,,
keygen,98.02734375,98.02734375,0.0,14,,,,,,,,,,,,
decrypt,98.02734375,98.02734375,0.0,5,,,,,,,,,,,,
setup,98.02734375,98.02734375,0.0,15,,,,,,,,,,,,
register,98.02734375,98.02734375,0.0,6,,,,,,,,,,,,
update_keys,98.02734375,98.02734375,0.0,3,,,,,,,,,,,,
authsetup,98.02734375,98.02734375,0.0,7,,,,,,,,,,,,
encrypt,108.02734375,108.02734375,0.0,9,,,,,,,,,,,,
keygen,108.02734375,108.02734375,0.0,14,,,,,,,,,,,,
decrypt,98.02734375,108.02734375,10.0,6,,,,,,,,,,,,
setup,108.02734375,108.02734375,0.0,14,,,,,,,,,,,,
register,108.02734375,108.02734375,0.0,5,,,,,,,,,,,,
update_keys,108.02734375,108.02734375,0.0,3,,,,,,,,,,,,
authsetup,108.02734375,108.02734375,0.0,6,,,,,,,,,,,,
encrypt,98.1015625,107.9765625,9.875,10,,,,,,,,,,,,
keygen,98.1015625,98.1015625,0.0,13,,,,,,,,,,,,
decrypt,98.1015625,107.9765625,9.875,5,,,,,,,,,,,,
setup,98.1015625,98.1015625,0.0,14,,,,,,,,,,,,
register,98.1015625,98.1015625,0.0,7,,,,,,,,,,,,
update_keys,107.9765625,107.9765625,0.0,3,,,,,,,,,,,,
authsetup,98.1015625,98.1015625,0.0,6,,,,,,,,,,,,
encrypt,108.08984375,128.23046875,20.140625,8,,,,,,,,,,,,
keygen,128.23046875,128.23046875,0.0,15,,,,,,,,,,,,
decrypt,108.23046875,128.10546875,19.875,5,,,,,,,,,,,,
setup,128.23046875,128.23046875,0.0,13,,,,,,,,,,,,
register,128.23046875,128.23046875,0.0,5,,,,,,,,,,,,
update_keys,128.10546875,128.10546875,0.0,3,,,,,,,,,,,,
authsetup,128.23046875,128.23046875,0.0,6,,,,,,,,,,,,
encrypt,108.33984375,128.12890625,19.7890625,8,,,,,,,,,,,,
keygen,108.33984375,108.33984375,0.0,13,,,,,,,,,,,,
decrypt,108.33984375,128.21484375,19.875,5,,,,,,,,,,,,
setup,108.33984375,108.33984375,0.0,14,,,,,,,,,,,,
register,108.33984375,108.33984375,0.0,5,,,,,,,,,,,,
update_keys,128.21484375,128.21484375,0.0,3,,,,,,,,,,,,
authsetup,108.33984375,108.33984375,0.0,6,,,,,,,,,,,,
encrypt,108.43359375,128.30859375,19.875,6,,,,,,,,,,,,
keygen,108.43359375,108.43359375,0.0,15,,,,,,,,,,,,
decrypt,108.43359375,128.30859375,19.875,5,,,,,,,,,,,,
