case/step,DAC-MACS min,DAC-MACS max,DAC-MACS diff,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE diff,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE diff,RW-ABE amount,TAAC min,TAAC max,TAAC diff,TAAC amount
base,74.58203125,74.5859375,0.00390625,6,,,,,,,,,,,,
base,104.92578125,104.92578125,0.0,6,,,,,,,,,,,,
base,125.05859375,125.05859375,0.0,6,,,,,,,,,,,,
base,85.8203125,85.8203125,0.0,6,,,,,,,,,,,,
base,85.8203125,85.8203125,0.0,6,,,,,,,,,,,,
base,85.9140625,85.9140625,0.0,6,,,,,,,,,,,,
base,95.90625,95.90625,0.0,6,,,,,,,,,,,,
base,96.15234375,96.15234375,0.0,6,,,,,,,,,,,,
base,86.25,86.25,0.0,7,,,,,,,,,,,,
base,96.25,96.25,0.0,6,,,,,,,,,,,,
base,96.30859375,96.30859375,0.0,6,,,,,,,,,,,,
base,86.4140625,86.4140625,0.0,6,,,,,,,,,,,,
base,96.5390625,96.5390625,0.0,7,,,,,,,,,,,,
base,86.640625,116.515625,29.875,6,,,,,,,,,,,,
base,86.71875,86.71875,0.0,7,,,,,,,,,,,,
base,96.71875,96.71875,0.0,6,,,,,,,,,,,,
base,96.8125,96.8125,0.0,6,,,,,,,,,,,,
base,96.90625,96.90625,0.0,6,,,,,,,,,,,,
base,137.0,137.0,0.0,6,,,,,,,,,,,,
base,136.984375,136.984375,0.0,6,,,,,,,,,,,,
base,137.17578125,137.17578125,0.0,6,,,,,,,,,,,,
base,87.17578125,87.17578125,0.0,6,,,,,,,,,,,,
base,97.17578125,97.17578125,0.0,6,,,,,,,,,,,,
base,97.1015625,97.1015625,0.0,6,,,,,,,,,,,,
base,97.3515625,97.3515625,0.0,6,,,,,,,,,,,,
base,87.45703125,87.45703125,0.0,6,,,,,,,,,,,,
base,107.5390625,107.5390625,0.0,6,,,,,,,,,,,,
base,107.5390625,107.5390625,0.0,6,,,,,,,,,,,,
base,107.65234375,107.65234375,0.0,6,,,,,,,,,,,,
base,97.73828125,97.73828125,0.0,6,,,,,,,,,,,,
base,137.8359375,137.8359375,0.0,6,,,,,,,,,,,,
base,137.83203125,137.83203125,0.0,6,,,,,,,,,,,,
base,138.02734375,138.02734375,0.0,6,,,,,,,,,,,,
base,98.02734375,98.02734375,0.0,7,,,,,,,,,,,,
base,108.02734375,108.02734375,0.0,6,,,,,,,,,,,,
base,98.1015625,98.1015625,0.0,6,,,,,,,,,,,,
base,128.23046875,128.23046875,0.0,6,,,,,,,,,,,,
base,108.33984375,108.33984375,0.0,6,,,,,,,,,,,,
base,108.43359375,108.43359375,0.0,5,,,,,,,,,,,,
base,108.43359375,108.43359375,0.0,6,,,,,,,,,,,,
base,108.5546875,108.5546875,0.0,6,,,,,,,,,,,,
base,98.6328125,98.6328125,0.0,6,,,,,,,,,,,,
base,138.75,138.75,0.0,6,,,,,,,,,,,,
base,138.74609375,138.74609375,0.0,6,,,,,,,,,,,,
base,138.91796875,138.91796875,0.0,6,,,,,,,,,,,,
base,98.91796875,98.91796875,0.0,6,,,,,,,,,,,,
base,108.91796875,108.91796875,0.0,6,,,,,,,,,,,,
base,98.9921875,98.9921875,0.0,6,,,,,,,,,,,,
base,129.12109375,129.12109375,0.0,6,,,,,,,,,,,,
base,109.2265625,109.2265625,0.0,6,,,,,,,,,,,,
base,109.3203125,109.3203125,0.0,6,,,,,,,,,,,,
base,109.3203125,109.3203125,0.0,6,,,,,,,,,,,,
base,109.43359375,109.43359375,0.0,6,,,,,,,,,,,,
base,99.54296875,99.54296875,0.0,6,,,,,,,,,,,,
base,139.640625,139.640625,0.0,6,,,,,,,,,,,,
base,139.63671875,139.63671875,0.0,6,,,,,,,,,,,,
base,139.81640625,139.81640625,0.0,7,,,,,,,,,,,,
base,99.81640625,99.81640625,0.0,6,,,,,,,,,,,,
base,109.81640625,109.81640625,0.0,6,,,,,,,,,,,,
base,99.875,99.875,0.0,6,,,,,,,,,,,,
base,129.9921875,129.9921875,0.0,6,,,,,,,,,,,,
base,110.1015625,110.1015625,0.0,6,,,,,,,,,,,,
base,110.1875,110.1875,0.0,6,,,,,,,,,,,,
base,110.1875,110.1875,0.0,6,,,,,,,,,,,,
base,110.32421875,110.32421875,0.0,6,,,,,,,,,,,,
base,100.4140625,100.4140625,0.0,6,,,,,,,,,,,,
base,140.53515625,140.53515625,0.0,6,,,,,,,,,,,,
base,140.55078125,140.55078125,0.0,6,,,,,,,,,,,,
base,140.7578125,140.7578125,0.0,6,,,,,,,,,,,,
base,100.71875,100.71875,0.0,6,,,,,,,,,,,,
base,110.73046875,110.73046875,0.0,6,,,,,,,,,,,,
base,100.82421875,100.82421875,0.0,6,,,,,,,,,,,,
base,130.9375,130.9375,0.0,6,,,,,,,,,,,,
base,111.046875,111.046875,0.0,6,,,,,,,,,,,,
base,111.15625,111.15625,0.0,6,,,,,,,,,,,,
base,111.15625,111.15625,0.0,6,,,,,,,,,,,,
base,111.25,111.25,0.0,6,,,,,,,,,,,,
base,101.34765625,101.34765625,0.0,6,,,,,,,,,,,,
base,141.44921875,141.44921875,0.0,6,,,,,,,,,,,,
base,141.46484375,141.46484375,0.0,6,,,,,,,,,,,,
base,141.64453125,141.64453125,0.0,6,,,,,,,,,,,,
base,101.64453125,101.64453125,0.0,6,,,,,,,,,,,,
base,111.64453125,111.64453125,0.0,6,,,,,,,,,,,,
base,101.7265625,101.7265625,0.0,6,,,,,,,,,,,,
base,131.83984375,131.83984375,0.0,6,,,,,,,,,,,,
base,111.921875,111.921875,0.0,6,,,,,,,,,,,,
base,112.015625,112.015625,0.0,6,,,,,,,,,,,,
base,112.015625,112.015625,0.0,6,,,,,,,,,,,,
base,112.12109375,112.12109375,0.0,6,,,,,,,,,,,,
base,102.19921875,102.19921875,0.0,6,,,,,,,,,,,,
base,142.3125,142.3125,0.0,6,,,,,,,,,,,,
base,142.3203125,142.3203125,0.0,7,,,,,,,,,,,,
base,142.49609375,142.49609375,0.0,6,,,,,,,,,,,,
base,102.46875,102.46875,0.0,6,,,,,,,,,,,,
base,112.46875,112.46875,0.0,6,,,,,,,,,,,,
