case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,7621,,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,9900,,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,9148,
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
base,,,,8822
