case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
DOCTOR.Keygen out,698,,,
DOCTOR.Keygen in,1626,,,
BOB.Keygen in,385,,,
BOB.Keygen out,474,,,
