case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,474,,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,93,,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,93,
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
base,,,,93
