case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,719,,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
base,,6,,
