case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,3201,,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,2506,,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
base,,,4699,
