case/step,DAC-MACS min,DAC-MACS max,DAC-MACS diff,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE diff,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE diff,RW-ABE amount,TAAC min,TAAC max,TAAC diff,TAAC amount
base,84.59765625,94.6015625,10.00390625,6,,,,,,,,,,,,
base,94.90625,124.1484375,29.2421875,6,,,,,,,,,,,,
base,95.06640625,124.94140625,29.875,6,,,,,,,,,,,,
base,85.02734375,95.02734375,10.0,6,,,,,,,,,,,,
base,65.15234375,85.02734375,19.875,6,,,,,,,,,,,,
base,75.15234375,95.00390625,19.8515625,5,,,,,,,,,,,,
base,115.26953125,125.14453125,9.875,5,,,,,,,,,,,,
base,95.375,115.078125,19.703125,5,,,,,,,,,,,,
base,115.4453125,142.50390625,27.05859375,6,,,,,,,,,,,,
base,155.4453125,155.4453125,0.0,6,,,,,,,,,,,,
base,155.48828125,155.48828125,0.0,6,,,,,,,,,,,,
base,105.609375,125.453125,19.84375,6,,,,,,,,,,,,
base,135.48828125,145.48828125,10.0,6,,,,,,,,,,,,
base,115.609375,135.48828125,19.87890625,6,,,,,,,,,,,,
base,125.66015625,150.83984375,25.1796875,6,,,,,,,,,,,,
base,165.64453125,165.64453125,0.0,6,,,,,,,,,,,,
base,165.6953125,165.6953125,0.0,5,,,,,,,,,,,,
base,165.90625,175.78125,9.875,5,,,,,,,,,,,,
base,166.0078125,166.0078125,0.0,5,,,,,,,,,,,,
base,166.0078125,166.0078125,0.0,5,,,,,,,,,,,,
base,166.0078125,166.0078125,0.0,5,,,,,,,,,,,,
base,166.0078125,166.0078125,0.0,5,,,,,,,,,,,,
base,166.06640625,166.06640625,0.0,6,,,,,,,,,,,,
base,166.14453125,166.14453125,0.0,6,,,,,,,,,,,,
base,166.25390625,166.25390625,0.0,6,,,,,,,,,,,,
base,166.3125,166.3125,0.0,6,,,,,,,,,,,,
base,166.3125,166.3125,0.0,5,,,,,,,,,,,,
base,166.3125,166.3125,0.0,6,,,,,,,,,,,,
base,166.38671875,166.38671875,0.0,6,,,,,,,,,,,,
base,166.49609375,176.37109375,9.875,6,,,,,,,,,,,,
base,166.61328125,166.61328125,0.0,7,,,,,,,,,,,,
base,166.66796875,166.66796875,0.0,6,,,,,,,,,,,,
base,186.6171875,186.6171875,0.0,6,,,,,,,,,,,,
base,176.72265625,176.72265625,0.0,6,,,,,,,,,,,,
base,176.72265625,176.72265625,0.0,6,,,,,,,,,,,,
base,176.72265625,176.72265625,0.0,6,,,,,,,,,,,,
base,176.72265625,176.72265625,0.0,6,,,,,,,,,,,,
base,176.75390625,176.75390625,0.0,6,,,,,,,,,,,,
base,176.83203125,176.83203125,0.0,6,,,,,,,,,,,,
base,176.94140625,176.94140625,0.0,6,,,,,,,,,,,,
base,176.984375,176.984375,0.0,6,,,,,,,,,,,,
base,176.984375,176.984375,0.0,5,,,,,,,,,,,,
base,176.984375,176.984375,0.0,5,,,,,,,,,,,,
base,177.04296875,177.04296875,0.0,5,,,,,,,,,,,,
base,167.26171875,177.13671875,9.875,5,,,,,,,,,,,,
base,167.36328125,167.36328125,0.0,5,,,,,,,,,,,,
base,167.42578125,167.42578125,0.0,6,,,,,,,,,,,,
base,187.359375,187.359375,0.0,5,,,,,,,,,,,,
base,177.46484375,177.46484375,0.0,5,,,,,,,,,,,,
base,177.46484375,177.46484375,0.0,5,,,,,,,,,,,,
base,177.46484375,177.46484375,0.0,5,,,,,,,,,,,,
base,177.46484375,177.46484375,0.0,5,,,,,,,,,,,,
base,177.51953125,177.51953125,0.0,6,,,,,,,,,,,,
base,177.61328125,177.61328125,0.0,6,,,,,,,,,,,,
base,177.71875,177.71875,0.0,6,,,,,,,,,,,,
base,177.7890625,177.7890625,0.0,5,,,,,,,,,,,,
base,177.7890625,177.7890625,0.0,5,,,,,,,,,,,,
base,177.7890625,177.7890625,0.0,5,,,,,,,,,,,,
base,177.84765625,177.84765625,0.0,6,,,,,,,,,,,,
base,168.0703125,177.9453125,9.875,5,,,,,,,,,,,,
base,168.17578125,168.17578125,0.0,5,,,,,,,,,,,,
base,168.234375,168.234375,0.0,5,,,,,,,,,,,,
base,188.16796875,188.16796875,0.0,5,,,,,,,,,,,,
base,178.375,178.375,0.0,5,,,,,,,,,,,,
base,178.375,178.375,0.0,5,,,,,,,,,,,,
base,178.375,178.375,0.0,5,,,,,,,,,,,,
base,178.375,178.375,0.0,5,,,,,,,,,,,,
base,178.453125,178.453125,0.0,5,,,,,,,,,,,,
base,178.53125,178.53125,0.0,5,,,,,,,,,,,,
base,178.64453125,178.64453125,0.0,5,,,,,,,,,,,,
base,178.703125,178.703125,0.0,5,,,,,,,,,,,,
base,178.703125,178.703125,0.0,5,,,,,,,,,,,,
base,178.703125,178.703125,0.0,5,,,,,,,,,,,,
base,178.79296875,178.79296875,0.0,5,,,,,,,,,,,,
base,168.90625,178.90625,10.0,5,,,,,,,,,,,,
base,169.0078125,169.0078125,0.0,5,,,,,,,,,,,,
base,169.078125,169.078125,0.0,5,,,,,,,,,,,,
base,189.01171875,189.01171875,0.0,5,,,,,,,,,,,,
base,179.2421875,179.2421875,0.0,5,,,,,,,,,,,,
base,179.2421875,179.2421875,0.0,5,,,,,,,,,,,,
base,179.2421875,179.2421875,0.0,5,,,,,,,,,,,,
base,179.2421875,179.2421875,0.0,5,,,,,,,,,,,,
base,179.30859375,179.30859375,0.0,5,,,,,,,,,,,,
base,179.39453125,179.39453125,0.0,5,,,,,,,,,,,,
base,179.5078125,179.5078125,0.0,6,,,,,,,,,,,,
base,179.5625,179.5625,0.0,5,,,,,,,,,,,,
base,179.5625,179.5625,0.0,5,,,,,,,,,,,,
base,179.5625,179.5625,0.0,5,,,,,,,,,,,,
base,179.66796875,179.66796875,0.0,5,,,,,,,,,,,,
