case/step,DAC-MACS min,DAC-MACS max,DAC-MACS diff,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE diff,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE diff,RW-ABE amount,TAAC min,TAAC max,TAAC diff,TAAC amount
base,74.515625,74.515625,0.0,13,,,,,,,,,,,,
base,94.90625,94.90625,0.0,14,,,,,,,,,,,,
base,135.0703125,135.0703125,0.0,14,,,,,,,,,,,,
base,105.02734375,105.02734375,0.0,14,,,,,,,,,,,,
base,95.02734375,95.02734375,0.0,14,,,,,,,,,,,,
base,55.15234375,55.15234375,0.0,13,,,,,,,,,,,,
base,115.26953125,115.26953125,0.0,14,,,,,,,,,,,,
base,85.375,85.375,0.0,13,,,,,,,,,,,,
base,115.3203125,115.3203125,0.0,13,,,,,,,,,,,,
base,155.4453125,155.4453125,0.0,15,,,,,,,,,,,,
base,155.48828125,155.48828125,0.0,15,,,,,,,,,,,,
base,105.484375,105.484375,0.0,16,,,,,,,,,,,,
base,115.609375,115.609375,0.0,14,,,,,,,,,,,,
base,115.609375,115.609375,0.0,15,,,,,,,,,,,,
base,115.65625,115.65625,0.0,14,,,,,,,,,,,,
base,165.64453125,165.64453125,0.0,15,,,,,,,,,,,,
base,165.6953125,165.6953125,0.0,12,,,,,,,,,,,,
base,165.90625,165.90625,0.0,12,,,,,,,,,,,,
base,166.0078125,166.0078125,0.0,13,,,,,,,,,,,,
base,166.0078125,166.0078125,0.0,13,,,,,,,,,,,,
base,166.0078125,166.0078125,0.0,13,,,,,,,,,,,,
base,166.0078125,166.0078125,0.0,13,,,,,,,,,,,,
base,166.06640625,166.06640625,0.0,14,,,,,,,,,,,,
base,166.14453125,166.14453125,0.0,15,,,,,,,,,,,,
base,166.25390625,166.25390625,0.0,15,,,,,,,,,,,,
base,166.3125,166.3125,0.0,13,,,,,,,,,,,,
base,166.3125,166.3125,0.0,14,,,,,,,,,,,,
base,166.3125,166.3125,0.0,13,,,,,,,,,,,,
base,166.38671875,166.38671875,0.0,14,,,,,,,,,,,,
base,166.49609375,166.49609375,0.0,13,,,,,,,,,,,,
base,166.61328125,166.61328125,0.0,13,,,,,,,,,,,,
base,166.66796875,166.66796875,0.0,14,,,,,,,,,,,,
base,176.7421875,176.7421875,0.0,13,,,,,,,,,,,,
base,176.72265625,176.72265625,0.0,14,,,,,,,,,,,,
base,176.72265625,176.72265625,0.0,15,,,,,,,,,,,,
base,176.72265625,176.72265625,0.0,14,,,,,,,,,,,,
base,176.72265625,176.72265625,0.0,14,,,,,,,,,,,,
base,176.75390625,176.75390625,0.0,13,,,,,,,,,,,,
base,176.83203125,176.83203125,0.0,15,,,,,,,,,,,,
base,176.94140625,176.94140625,0.0,12,,,,,,,,,,,,
base,176.984375,176.984375,0.0,15,,,,,,,,,,,,
base,176.984375,176.984375,0.0,14,,,,,,,,,,,,
base,176.984375,176.984375,0.0,12,,,,,,,,,,,,
base,177.04296875,177.04296875,0.0,13,,,,,,,,,,,,
base,177.13671875,177.13671875,0.0,13,,,,,,,,,,,,
base,167.36328125,167.36328125,0.0,13,,,,,,,,,,,,
base,167.42578125,167.42578125,0.0,13,,,,,,,,,,,,
base,177.484375,177.484375,0.0,19,,,,,,,,,,,,
base,177.46484375,177.46484375,0.0,12,,,,,,,,,,,,
base,177.46484375,177.46484375,0.0,13,,,,,,,,,,,,
base,177.46484375,177.46484375,0.0,12,,,,,,,,,,,,
base,177.46484375,177.46484375,0.0,13,,,,,,,,,,,,
base,177.51953125,177.51953125,0.0,5,,,,,,,,,,,,
base,177.61328125,177.61328125,0.0,15,,,,,,,,,,,,
base,177.71875,177.71875,0.0,15,,,,,,,,,,,,
base,177.7890625,177.7890625,0.0,13,,,,,,,,,,,,
base,177.7890625,177.7890625,0.0,13,,,,,,,,,,,,
base,177.7890625,177.7890625,0.0,12,,,,,,,,,,,,
base,177.84765625,177.84765625,0.0,13,,,,,,,,,,,,
base,177.9453125,177.9453125,0.0,13,,,,,,,,,,,,
base,168.17578125,168.17578125,0.0,14,,,,,,,,,,,,
base,168.234375,168.234375,0.0,12,,,,,,,,,,,,
base,178.29296875,178.29296875,0.0,13,,,,,,,,,,,,
base,178.375,178.375,0.0,13,,,,,,,,,,,,
base,178.375,178.375,0.0,13,,,,,,,,,,,,
base,178.375,178.375,0.0,17,,,,,,,,,,,,
base,178.375,178.375,0.0,12,,,,,,,,,,,,
base,178.453125,178.453125,0.0,13,,,,,,,,,,,,
base,178.53125,178.53125,0.0,13,,,,,,,,,,,,
base,178.64453125,178.64453125,0.0,13,,,,,,,,,,,,
base,178.703125,178.703125,0.0,11,,,,,,,,,,,,
base,178.703125,178.703125,0.0,14,,,,,,,,,,,,
base,178.703125,178.703125,0.0,12,,,,,,,,,,,,
base,178.79296875,178.79296875,0.0,5,,,,,,,,,,,,
base,178.90625,178.90625,0.0,12,,,,,,,,,,,,
base,169.0078125,169.0078125,0.0,13,,,,,,,,,,,,
base,169.078125,169.078125,0.0,12,,,,,,,,,,,,
base,179.13671875,179.13671875,0.0,14,,,,,,,,,,,,
base,179.2421875,179.2421875,0.0,13,,,,,,,,,,,,
base,179.2421875,179.2421875,0.0,12,,,,,,,,,,,,
base,179.2421875,179.2421875,0.0,12,,,,,,,,,,,,
base,179.2421875,179.2421875,0.0,13,,,,,,,,,,,,
base,179.30859375,179.30859375,0.0,13,,,,,,,,,,,,
base,179.39453125,179.39453125,0.0,5,,,,,,,,,,,,
base,179.5078125,179.5078125,0.0,12,,,,,,,,,,,,
base,179.5625,179.5625,0.0,13,,,,,,,,,,,,
base,179.5625,179.5625,0.0,14,,,,,,,,,,,,
base,179.5625,179.5625,0.0,13,,,,,,,,,,,,
base,179.66796875,179.66796875,0.0,12,,,,,,,,,,,,
base,179.7578125,179.7578125,0.0,14,,,,,,,,,,,,
base,169.86328125,169.86328125,0.0,18,,,,,,,,,,,,
base,169.9375,169.9375,0.0,13,,,,,,,,,,,,
base,179.9921875,179.9921875,0.0,13,,,,,,,,,,,,
base,179.96484375,179.96484375,0.0,13,,,,,,,,,,,,
base,179.96484375,179.96484375,0.0,12,,,,,,,,,,,,
base,179.96484375,179.96484375,0.0,12,,,,,,,,,,,,
base,179.96484375,179.96484375,0.0,13,,,,,,,,,,,,
base,180.015625,180.015625,0.0,13,,,,,,,,,,,,
base,180.109375,180.109375,0.0,13,,,,,,,,,,,,
base,180.23046875,180.23046875,0.0,13,,,,,,,,,,,,
base,,,,,180.3125,180.3125,0.0,14,,,,,,,,
base,,,,,180.421875,180.421875,0.0,12,,,,,,,,
base,,,,,180.5078125,180.5078125,0.0,12,,,,,,,,
base,,,,,180.52734375,180.52734375,0.0,12,,,,,,,,
base,,,,,180.5859375,180.5859375,0.0,12,,,,,,,,
base,,,,,180.65625,180.65625,0.0,11,,,,,,,,
base,,,,,180.7109375,180.7109375,0.0,11,,,,,,,,
base,,,,,180.7578125,180.7578125,0.0,12,,,,,,,,
base,,,,,180.81640625,180.81640625,0.0,11,,,,,,,,
base,,,,,180.81640625,180.81640625,0.0,12,,,,,,,,
base,,,,,180.81640625,180.81640625,0.0,13,,,,,,,,
base,,,,,180.81640625,180.81640625,0.0,13,,,,,,,,
base,,,,,180.81640625,180.81640625,0.0,14,,,,,,,,
base,,,,,180.81640625,180.81640625,0.0,12,,,,,,,,
base,,,,,180.875,180.875,0.0,11,,,,,,,,
base,,,,,180.93359375,180.93359375,0.0,14,,,,,,,,
base,,,,,180.98828125,180.98828125,0.0,13,,,,,,,,
base,,,,,181.05078125,181.05078125,0.0,11,,,,,,,,
base,,,,,181.09765625,181.09765625,0.0,12,,,,,,,,
base,,,,,181.15625,181.15625,0.0,12,,,,,,,,
base,,,,,181.21484375,181.21484375,0.0,11,,,,,,,,
base,,,,,181.28125,181.28125,0.0,12,,,,,,,,
base,,,,,181.34765625,181.34765625,0.0,13,,,,,,,,
base,,,,,181.421875,181.421875,0.0,13,,,,,,,,
base,,,,,181.47265625,181.47265625,0.0,12,,,,,,,,
base,,,,,181.546875,181.546875,0.0,11,,,,,,,,
base,,,,,181.609375,181.609375,0.0,12,,,,,,,,
base,,,,,181.67578125,181.67578125,0.0,13,,,,,,,,
base,,,,,181.74609375,181.74609375,0.0,11,,,,,,,,
base,,,,,181.8125,181.8125,0.0,12,,,,,,,,
base,,,,,181.87109375,181.87109375,0.0,11,,,,,,,,
base,,,,,181.9375,181.9375,0.0,11,,,,,,,,
base,,,,,181.9921875,181.9921875,0.0,11,,,,,,,,
base,,,,,182.046875,182.046875,0.0,12,,,,,,,,
base,,,,,182.109375,182.109375,0.0,12,,,,,,,,
base,,,,,182.171875,182.171875,0.0,12,,,,,,,,
base,,,,,182.23828125,182.23828125,0.0,13,,,,,,,,
base,,,,,182.2890625,182.2890625,0.0,13,,,,,,,,
base,,,,,182.34375,182.34375,0.0,13,,,,,,,,
base,,,,,182.39453125,182.39453125,0.0,13,,,,,,,,
base,,,,,182.4609375,182.4609375,0.0,12,,,,,,,,
base,,,,,182.54296875,182.54296875,0.0,12,,,,,,,,
base,,,,,182.6015625,182.6015625,0.0,13,,,,,,,,
base,,,,,182.65234375,182.65234375,0.0,12,,,,,,,,
base,,,,,182.71875,182.71875,0.0,5,,,,,,,,
base,,,,,182.77734375,182.77734375,0.0,12,,,,,,,,
base,,,,,182.828125,182.828125,0.0,13,,,,,,,,
base,,,,,182.890625,182.890625,0.0,13,,,,,,,,
base,,,,,182.9453125,182.9453125,0.0,12,,,,,,,,
base,,,,,183.00390625,183.00390625,0.0,12,,,,,,,,
base,,,,,183.05078125,183.05078125,0.0,13,,,,,,,,
base,,,,,183.1015625,183.1015625,0.0,14,,,,,,,,
base,,,,,183.171875,183.171875,0.0,13,,,,,,,,
base,,,,,183.23828125,183.23828125,0.0,12,,,,,,,,
base,,,,,183.3046875,183.3046875,0.0,14,,,,,,,,
base,,,,,183.34375,183.34375,0.0,11,,,,,,,,
base,,,,,183.41015625,183.41015625,0.0,13,,,,,,,,
base,,,,,183.4609375,183.4609375,0.0,12,,,,,,,,
base,,,,,183.515625,183.515625,0.0,12,,,,,,,,
base,,,,,183.5859375,183.5859375,0.0,12,,,,,,,,
base,,,,,183.6484375,183.6484375,0.0,12,,,,,,,,
