case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
keygen,0.09815299999999999,,,
update_keys,1e-06,,,
register,0.00885,,,
setup,0.0038139999999999997,,,
encrypt,0.7023039999999999,,,
authsetup,0.288539,,,
decrypt,0.113075,,,
keygen,0.095237,,,
update_keys,1e-06,,,
register,0.00745,,,
setup,0.0038529999999999997,,,
encrypt,0.36877,,,
authsetup,0.288601,,,
decrypt,0.12036699999999999,,,
keygen,0.097884,,,
update_keys,2e-06,,,
register,0.007489,,,
setup,0.0040149999999999995,,,
encrypt,0.359475,,,
authsetup,0.29125,,,
decrypt,0.12136599999999999,,,
keygen,0.096549,,,
update_keys,1e-06,,,
register,0.007672999999999999,,,
setup,0.0038179999999999998,,,
encrypt,0.354431,,,
authsetup,0.291537,,,
decrypt,0.11255699999999999,,,
keygen,0.10453599999999999,,,
update_keys,1e-06,,,
register,0.010588,,,
setup,0.003968,,,
encrypt,0.319866,,,
authsetup,0.287424,,,
decrypt,0.12346,,,
keygen,0.095355,,,
update_keys,1e-06,,,
register,0.007437,,,
setup,0.004051,,,
encrypt,0.576954,,,
authsetup,0.29575599999999996,,,
decrypt,0.112678,,,
keygen,0.127323,,,
update_keys,1e-06,,,
register,0.009431,,,
setup,0.003974,,,
encrypt,0.296961,,,
authsetup,0.288969,,,
decrypt,0.12854,,,
keygen,0.094164,,,
update_keys,2e-06,,,
register,0.007509999999999999,,,
setup,0.003839,,,
encrypt,0.303471,,,
authsetup,0.298595,,,
decrypt,0.11511199999999999,,,
keygen,0.099394,,,
update_keys,1e-06,,,
register,0.007948,,,
setup,0.00403,,,
encrypt,0.353141,,,
authsetup,0.295806,,,
decrypt,0.139264,,,
keygen,0.09830499999999999,,,
update_keys,1e-06,,,
register,0.0076489999999999995,,,
setup,0.003868,,,
encrypt,0.344036,,,
authsetup,0.293132,,,
decrypt,0.111817,,,
keygen,0.10335599999999999,,,
update_keys,1e-06,,,
register,0.007568999999999999,,,
setup,0.0038659999999999996,,,
encrypt,0.289807,,,
authsetup,0.286747,,,
decrypt,0.111985,,,
keygen,0.094428,,,
update_keys,0.0,,,
register,0.007359,,,
setup,0.0039629999999999995,,,
encrypt,0.28423899999999996,,,
authsetup,0.280976,,,
decrypt,0.113115,,,
keygen,0.093979,,,
update_keys,1e-06,,,
register,0.007745999999999999,,,
setup,0.0038689999999999996,,,
encrypt,0.27561199999999997,,,
authsetup,0.288784,,,
decrypt,0.11189199999999999,,,
keygen,0.098341,,,
update_keys,2e-06,,,
register,0.007561,,,
setup,0.0045,,,
encrypt,0.284829,,,
authsetup,0.299898,,,
decrypt,0.114645,,,
keygen,0.161441,,,
update_keys,1e-06,,,
register,0.021127,,,
setup,0.004242,,,
encrypt,0.499924,,,
authsetup,0.35264999999999996,,,
decrypt,0.120763,,,
keygen,0.094243,,,
update_keys,1e-06,,,
register,0.007599,,,
setup,0.004304,,,
encrypt,0.282066,,,
authsetup,0.28499199999999997,,,
decrypt,0.10925,,,
keygen,0.105277,,,
update_keys,3e-06,,,
register,0.007574999999999999,,,
setup,0.004134,,,
encrypt,0.34000199999999997,,,
authsetup,0.29706099999999996,,,
decrypt,0.121861,,,
keygen,0.09621099999999999,,,
update_keys,1e-06,,,
register,0.007482,,,
setup,0.003968,,,
encrypt,0.38884199999999997,,,
authsetup,0.292698,,,
decrypt,0.134376,,,
keygen,0.099467,,,
update_keys,2e-06,,,
register,0.007483,,,
setup,0.003829,,,
encrypt,0.282261,,,
authsetup,0.289002,,,
decrypt,0.11841399999999999,,,
keygen,0.096369,,,
update_keys,1e-06,,,
register,0.00762,,,
setup,0.004259,,,
encrypt,0.344392,,,
authsetup,0.30608799999999997,,,
decrypt,0.137134,,,
keygen,0.09430799999999999,,,
update_keys,1e-06,,,
register,0.007392999999999999,,,
setup,0.0038729999999999997,,,
encrypt,0.42625799999999997,,,
authsetup,0.28717699999999996,,,
decrypt,0.12275399999999999,,,
keygen,0.124468,,,
update_keys,2e-06,,,
register,0.007578,,,
setup,0.003932,,,
encrypt,0.404589,,,
authsetup,0.283908,,,
decrypt,0.112965,,,
keygen,0.094778,,,
update_keys,2e-06,,,
register,0.007339999999999999,,,
setup,0.0038469999999999997,,,
encrypt,0.442741,,,
authsetup,0.293193,,,
decrypt,0.11788299999999999,,,
keygen,0.095137,,,
update_keys,0.0,,,
register,0.009878999999999999,,,
setup,0.00469,,,
encrypt,0.35931199999999996,,,
authsetup,0.306285,,,
decrypt,0.12211699999999999,,,
keygen,0.106199,,,
update_keys,1e-06,,,
register,0.009038,,,
setup,0.004046,,,
encrypt,0.343059,,,
authsetup,0.29317699999999997,,,
decrypt,0.116771,,,
keygen,0.100174,,,
update_keys,0.0,,,
register,0.00827,,,
setup,0.003981,,,
encrypt,0.32312799999999997,,,
authsetup,0.29872699999999996,,,
decrypt,0.114121,,,
keygen,0.09501,,,
update_keys,1e-06,,,
register,0.007974,,,
setup,0.0038929999999999998,,,
encrypt,0.37449099999999996,,,
authsetup,0.290604,,,
decrypt,0.11306899999999999,,,
keygen,0.097245,,,
update_keys,0.0,,,
register,0.007885999999999999,,,
setup,0.0038919999999999996,,,
encrypt,0.377009,,,
authsetup,0.29681599999999997,,,
decrypt,0.11541,,,
keygen,0.096548,,,
update_keys,1e-06,,,
register,0.007749,,,
setup,0.003933,,,
encrypt,0.40457899999999997,,,
authsetup,0.29250699999999996,,,
decrypt,0.11404299999999999,,,
keygen,0.108971,,,
update_keys,0.0,,,
register,0.014808,,,
setup,0.003842,,,
encrypt,0.431755,,,
authsetup,0.294684,,,
decrypt,0.11499699999999999,,,
keygen,0.094175,,,
update_keys,1e-06,,,
register,0.0077659999999999995,,,
setup,0.005914,,,
encrypt,0.41162099999999996,,,
authsetup,0.291271,,,
decrypt,0.119015,,,
keygen,0.09240899999999999,,,
update_keys,1e-06,,,
register,0.007417999999999999,,,
setup,0.003822,,,
encrypt,0.338223,,,
authsetup,0.287361,,,
decrypt,0.117792,,,
keygen,0.093718,,,
update_keys,1e-06,,,
register,0.007645,,,
setup,0.003955,,,
encrypt,0.338572,,,
authsetup,0.286554,,,
decrypt,0.11999,,,
keygen,0.09289499999999999,,,
update_keys,2e-06,,,
register,0.007470999999999999,,,
setup,0.003786,,,
encrypt,0.42134099999999997,,,
authsetup,0.289808,,,
decrypt,0.113355,,,
keygen,0.102488,,,
update_keys,2e-06,,,
register,0.008078,,,
setup,0.004075,,,
encrypt,0.33721399999999996,,,
authsetup,0.359415,,,
decrypt,0.170019,,,
keygen,0.09686,,,
update_keys,1e-06,,,
register,0.007640999999999999,,,
setup,0.004115,,,
encrypt,0.39109299999999997,,,
authsetup,0.292323,,,
decrypt,0.112832,,,
keygen,0.107419,,,
update_keys,1e-06,,,
