case/step,DAC-MACS min,DAC-MACS max,DAC-MACS diff,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE diff,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE diff,RW-ABE amount,TAAC min,TAAC max,TAAC diff,TAAC amount
base,75.21484375,105.07421875,29.859375,8,,,,,,,,,,,,
base,75.47265625,95.34765625,19.875,8,,,,,,,,,,,,
base,85.56640625,125.34765625,39.78125,7,,,,,,,,,,,,
base,95.703125,135.484375,39.78125,7,,,,,,,,,,,,
base,115.9140625,125.7890625,9.875,7,,,,,,,,,,,,
base,95.953125,115.80078125,19.84765625,7,,,,,,,,,,,,
base,166.0625,195.9296875,29.8671875,8,,,,,,,,,,,,
base,196.34375,196.3515625,0.0078125,9,,,,,,,,,,,,
base,206.58203125,206.58203125,0.0,8,,,,,,,,,,,,
base,136.5859375,136.5859375,0.0,8,,,,,,,,,,,,
base,136.50390625,136.50390625,0.0,8,,,,,,,,,,,,
base,126.80078125,166.55078125,39.75,8,,,,,,,,,,,,
base,106.79296875,136.79296875,30.0,8,,,,,,,,,,,,
base,106.984375,156.80078125,49.81640625,8,,,,,,,,,,,,
base,147.109375,176.80078125,29.69140625,8,,,,,,,,,,,,
base,177.3125,206.9921875,29.6796875,7,,,,,,,,,,,,
base,87.38671875,117.21484375,29.828125,8,,,,,,,,,,,,
base,87.40234375,137.23046875,49.828125,8,,,,,,,,,,,,
base,87.5546875,137.4296875,49.875,8,,,,,,,,,,,,
base,77.71484375,167.58984375,89.875,9,,,,,,,,,,,,
base,147.75390625,147.75390625,0.0,8,,,,,,,,,,,,
base,147.90234375,147.90234375,0.0,8,,,,,,,,,,,,
base,148.0625,148.0625,0.0,7,,,,,,,,,,,,
base,128.203125,148.078125,19.875,7,,,,,,,,,,,,
base,78.203125,117.91796875,39.71484375,7,,,,,,,,,,,,
base,78.32421875,118.09765625,39.7734375,7,,,,,,,,,,,,
base,78.4921875,128.21484375,49.72265625,7,,,,,,,,,,,,
base,128.5234375,158.2734375,29.75,7,,,,,,,,,,,,
base,128.71875,158.44921875,29.73046875,7,,,,,,,,,,,,
base,128.87109375,168.671875,39.80078125,7,,,,,,,,,,,,
base,139.05859375,139.05859375,0.0,7,,,,,,,,,,,,
base,89.05859375,118.7734375,29.71484375,7,,,,,,,,,,,,
base,89.12890625,109.00390625,19.875,7,,,,,,,,,,,,
base,89.29296875,109.16796875,19.875,7,,,,,,,,,,,,
base,129.46875,129.46875,0.0,7,,,,,,,,,,,,
base,129.46875,129.46875,0.0,7,,,,,,,,,,,,
base,139.5078125,139.5078125,0.0,7,,,,,,,,,,,,
base,149.83984375,169.6640625,19.82421875,7,,,,,,,,,,,,
base,129.94140625,129.94140625,0.0,7,,,,,,,,,,,,
base,119.94140625,149.81640625,29.875,7,,,,,,,,,,,,
base,130.0390625,169.83203125,39.79296875,7,,,,,,,,,,,,
base,120.25,120.25,0.0,7,,,,,,,,,,,,
base,120.25,150.06640625,29.81640625,7,,,,,,,,,,,,
base,120.3671875,150.04296875,29.67578125,8,,,,,,,,,,,,
base,130.5625,140.34375,9.78125,9,,,,,,,,,,,,
base,130.7109375,130.7109375,0.0,9,,,,,,,,,,,,
base,140.68359375,150.68359375,10.0,7,,,,,,,,,,,,
base,151.0234375,170.8984375,19.875,7,,,,,,,,,,,,
base,191.21875,210.96875,19.75,7,,,,,,,,,,,,
base,131.30859375,141.18359375,9.875,8,,,,,,,,,,,,
base,131.30859375,161.125,29.81640625,7,,,,,,,,,,,,
base,141.30859375,181.14453125,39.8359375,7,,,,,,,,,,,,
base,131.53515625,131.53515625,0.0,7,,,,,,,,,,,,
base,131.53515625,161.25390625,29.71875,7,,,,,,,,,,,,
base,131.62890625,161.49609375,29.8671875,7,,,,,,,,,,,,
base,141.87109375,151.6875,9.81640625,7,,,,,,,,,,,,
base,142.03515625,142.03515625,0.0,8,,,,,,,,,,,,
base,141.91015625,141.91015625,0.0,7,,,,,,,,,,,,
base,132.2265625,162.0390625,29.8125,7,,,,,,,,,,,,
base,172.39453125,192.2421875,19.84765625,7,,,,,,,,,,,,
base,142.36328125,172.28125,29.91796875,8,,,,,,,,,,,,
base,132.48828125,162.33984375,29.8515625,7,,,,,,,,,,,,
base,142.57421875,182.33203125,39.7578125,8,,,,,,,,,,,,
base,132.8125,132.8125,0.0,8,,,,,,,,,,,,
base,132.8125,172.5546875,39.7421875,8,,,,,,,,,,,,
base,142.9375,162.80078125,19.86328125,8,,,,,,,,,,,,
base,163.015625,163.015625,0.0,8,,,,,,,,,,,,
base,143.2890625,143.2890625,0.0,8,,,,,,,,,,,,
base,143.2890625,143.2890625,0.0,8,,,,,,,,,,,,
base,143.4375,163.3125,19.875,8,,,,,,,,,,,,
base,173.640625,193.34765625,19.70703125,8,,,,,,,,,,,,
base,133.73046875,143.60546875,9.875,8,,,,,,,,,,,,
base,133.73046875,163.546875,29.81640625,8,,,,,,,,,,,,
base,143.78515625,183.5859375,39.80078125,8,,,,,,,,,,,,
base,134.01953125,134.01953125,0.0,8,,,,,,,,,,,,
base,134.01953125,163.89453125,29.875,8,,,,,,,,,,,,
base,134.10546875,163.91796875,29.8125,8,,,,,,,,,,,,
base,144.3125,154.0546875,9.7421875,7,,,,,,,,,,,,
base,134.4765625,144.29296875,9.81640625,8,,,,,,,,,,,,
base,184.4453125,194.296875,9.8515625,8,,,,,,,,,,,,
base,204.5859375,204.5859375,0.0,7,,,,,,,,,,,,
base,204.94921875,224.82421875,19.875,9,,,,,,,,,,,,
base,224.859375,224.859375,0.0,7,,,,,,,,,,,,
base,224.859375,224.859375,0.0,7,,,,,,,,,,,,
base,224.97265625,224.97265625,0.0,7,,,,,,,,,,,,
base,175.21484375,175.21484375,0.0,8,,,,,,,,,,,,
base,185.08984375,185.125,0.03515625,10,,,,,,,,,,,,
base,185.22265625,185.24609375,0.0234375,8,,,,,,,,,,,,
base,185.41796875,185.41796875,0.0,8,,,,,,,,,,,,
base,135.59375,135.59375,0.0,9,,,,,,,,,,,,
base,145.50390625,145.515625,0.01171875,8,,,,,,,,,,,,
base,165.671875,165.671875,0.0,8,,,,,,,,,,,,
base,165.890625,165.890625,0.0,8,,,,,,,,,,,,
base,146.015625,146.015625,0.0,8,,,,,,,,,,,,
base,136.1171875,136.1171875,0.0,8,,,,,,,,,,,,
base,156.140625,156.140625,0.0,7,,,,,,,,,,,,
base,146.33203125,146.33203125,0.0,8,,,,,,,,,,,,
base,136.45703125,136.45703125,0.0,7,,,,,,,,,,,,
base,136.54296875,136.54296875,0.0,7,,,,,,,,,,,,
base,156.62109375,156.62109375,0.0,7,,,,,,,,,,,,
base,,,,,136.84765625,176.72265625,39.875,6,,,,,,,,
base,,,,,146.89453125,146.90234375,0.0078125,7,,,,,,,,
base,,,,,147.02734375,147.03515625,0.0078125,7,,,,,,,,
base,,,,,147.140625,147.1484375,0.0078125,6,,,,,,,,
base,,,,,147.25390625,147.2578125,0.00390625,6,,,,,,,,
base,,,,,147.35546875,147.36328125,0.0078125,8,,,,,,,,
base,,,,,147.45703125,147.4609375,0.00390625,7,,,,,,,,
base,,,,,147.56640625,147.56640625,0.0,8,,,,,,,,
base,,,,,147.69140625,147.6953125,0.00390625,7,,,,,,,,
base,,,,,147.8046875,147.80859375,0.00390625,6,,,,,,,,
base,,,,,147.91796875,147.92578125,0.0078125,7,,,,,,,,
base,,,,,148.03125,148.03515625,0.00390625,6,,,,,,,,
base,,,,,148.140625,148.1484375,0.0078125,6,,,,,,,,
base,,,,,148.2578125,148.26171875,0.00390625,6,,,,,,,,
base,,,,,148.3671875,148.375,0.0078125,6,,,,,,,,
base,,,,,148.48046875,148.484375,0.00390625,8,,,,,,,,
base,,,,,148.6015625,148.60546875,0.00390625,7,,,,,,,,
base,,,,,148.734375,148.73828125,0.00390625,7,,,,,,,,
base,,,,,148.8671875,148.875,0.0078125,7,,,,,,,,
base,,,,,148.984375,148.98828125,0.00390625,6,,,,,,,,
base,,,,,149.0859375,149.09375,0.0078125,7,,,,,,,,
base,,,,,149.19140625,149.1953125,0.00390625,7,,,,,,,,
base,,,,,149.30859375,149.3125,0.00390625,8,,,,,,,,
base,,,,,149.421875,149.42578125,0.00390625,8,,,,,,,,
base,,,,,149.546875,149.55078125,0.00390625,7,,,,,,,,
