case/step,DAC-MACS min,DAC-MACS max,DAC-MACS diff,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE diff,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE diff,RW-ABE amount,TAAC min,TAAC max,TAAC diff,TAAC amount
base,75.171875,75.171875,0.0,11,,,,,,,,,,,,
base,75.171875,75.171875,0.0,11,,,,,,,,,,,,
base,75.47265625,75.47265625,0.0,11,,,,,,,,,,,,
base,75.47265625,75.47265625,0.0,11,,,,,,,,,,,,
base,95.41015625,95.41796875,0.0078125,11,,,,,,,,,,,,
base,95.421875,95.421875,0.0,11,,,,,,,,,,,,
base,95.703125,95.703125,0.0,11,,,,,,,,,,,,
base,95.703125,95.703125,0.0,12,,,,,,,,,,,,
base,115.9140625,145.9140625,30.0,11,,,,,,,,,,,,
base,115.9140625,115.9140625,0.0,11,,,,,,,,,,,,
base,126.078125,126.078125,0.0,12,,,,,,,,,,,,
base,126.078125,126.078125,0.0,11,,,,,,,,,,,,
base,166.0,166.00390625,0.00390625,11,,,,,,,,,,,,
base,166.0234375,166.02734375,0.00390625,11,,,,,,,,,,,,
base,196.34375,196.34375,0.0,12,,,,,,,,,,,,
base,196.34375,196.34375,0.0,14,,,,,,,,,,,,
base,236.44921875,236.453125,0.00390625,12,,,,,,,,,,,,
base,206.58203125,206.58203125,0.0,12,,,,,,,,,,,,
base,136.5859375,136.5859375,0.0,11,,,,,,,,,,,,
base,136.5859375,136.5859375,0.0,11,,,,,,,,,,,,
base,136.5,136.5,0.0,11,,,,,,,,,,,,
base,136.5,136.5,0.0,11,,,,,,,,,,,,
base,126.80078125,126.80078125,0.0,11,,,,,,,,,,,,
base,126.80078125,126.80078125,0.0,11,,,,,,,,,,,,
base,96.91796875,96.91796875,0.0,11,,,,,,,,,,,,
base,96.91796875,96.91796875,0.0,11,,,,,,,,,,,,
base,126.91796875,126.91796875,0.0,12,,,,,,,,,,,,
base,126.91796875,126.91796875,0.0,12,,,,,,,,,,,,
base,147.1015625,147.1015625,0.0,12,,,,,,,,,,,,
base,147.1015625,147.1015625,0.0,11,,,,,,,,,,,,
base,177.27734375,177.27734375,0.0,11,,,,,,,,,,,,
base,177.27734375,177.27734375,0.0,11,,,,,,,,,,,,
base,147.38671875,147.38671875,0.0,11,,,,,,,,,,,,
base,147.38671875,147.38671875,0.0,12,,,,,,,,,,,,
base,117.26171875,117.26171875,0.0,11,,,,,,,,,,,,
base,117.26171875,117.26171875,0.0,13,,,,,,,,,,,,
base,117.4296875,117.4296875,0.0,13,,,,,,,,,,,,
base,117.4296875,117.4296875,0.0,11,,,,,,,,,,,,
base,167.57421875,167.57421875,0.0,13,,,,,,,,,,,,
base,167.57421875,167.57421875,0.0,11,,,,,,,,,,,,
base,147.71875,147.72265625,0.00390625,11,,,,,,,,,,,,
base,147.72265625,147.72265625,0.0,15,,,,,,,,,,,,
base,147.90234375,147.90234375,0.0,13,,,,,,,,,,,,
base,147.90234375,147.90234375,0.0,12,,,,,,,,,,,,
base,148.0625,148.0625,0.0,11,,,,,,,,,,,,
base,148.0625,148.0625,0.0,12,,,,,,,,,,,,
base,138.078125,138.078125,0.0,11,,,,,,,,,,,,
base,138.078125,138.078125,0.0,13,,,,,,,,,,,,
base,118.203125,118.203125,0.0,11,,,,,,,,,,,,
base,118.203125,118.203125,0.0,11,,,,,,,,,,,,
base,108.19921875,108.19921875,0.0,11,,,,,,,,,,,,
base,108.19921875,108.19921875,0.0,11,,,,,,,,,,,,
base,108.3671875,108.3671875,0.0,12,,,,,,,,,,,,
base,108.3671875,108.3671875,0.0,11,,,,,,,,,,,,
base,128.5078125,128.51171875,0.00390625,11,,,,,,,,,,,,
base,128.515625,128.515625,0.0,12,,,,,,,,,,,,
base,168.71875,168.71875,0.0,10,,,,,,,,,,,,
base,128.71875,128.71875,0.0,11,,,,,,,,,,,,
base,128.86328125,128.86328125,0.0,11,,,,,,,,,,,,
base,128.86328125,128.86328125,0.0,12,,,,,,,,,,,,
base,179.03515625,179.03515625,0.0,11,,,,,,,,,,,,
base,179.03515625,179.03515625,0.0,11,,,,,,,,,,,,
base,89.05859375,89.05859375,0.0,11,,,,,,,,,,,,
base,89.05859375,89.05859375,0.0,11,,,,,,,,,,,,
base,129.12890625,129.12890625,0.0,11,,,,,,,,,,,,
base,89.12890625,89.12890625,0.0,11,,,,,,,,,,,,
base,129.28125,129.28515625,0.00390625,11,,,,,,,,,,,,
base,129.29296875,129.29296875,0.0,11,,,,,,,,,,,,
base,129.46875,129.46875,0.0,11,,,,,,,,,,,,
base,129.46875,129.46875,0.0,13,,,,,,,,,,,,
base,129.46875,129.46875,0.0,11,,,,,,,,,,,,
base,129.46875,129.46875,0.0,11,,,,,,,,,,,,
base,139.5,139.5,0.0,12,,,,,,,,,,,,
base,139.5,139.5,0.0,11,,,,,,,,,,,,
base,159.81640625,159.81640625,0.0,12,,,,,,,,,,,,
base,159.81640625,159.81640625,0.0,12,,,,,,,,,,,,
base,129.94140625,129.94140625,0.0,13,,,,,,,,,,,,
base,129.94140625,129.94140625,0.0,12,,,,,,,,,,,,
base,119.94140625,119.94140625,0.0,11,,,,,,,,,,,,
base,119.94140625,119.94140625,0.0,11,,,,,,,,,,,,
base,130.0390625,130.0390625,0.0,11,,,,,,,,,,,,
base,130.0390625,130.0390625,0.0,11,,,,,,,,,,,,
base,150.25,150.25,0.0,12,,,,,,,,,,,,
base,150.25,150.25,0.0,11,,,,,,,,,,,,
base,120.25,120.25,0.0,11,,,,,,,,,,,,
base,120.25,120.25,0.0,11,,,,,,,,,,,,
base,130.3671875,130.3671875,0.0,11,,,,,,,,,,,,
base,130.3671875,130.3671875,0.0,12,,,,,,,,,,,,
base,170.55078125,170.5546875,0.00390625,16,,,,,,,,,,,,
base,130.5625,130.5625,0.0,18,,,,,,,,,,,,
base,130.7109375,130.7109375,0.0,12,,,,,,,,,,,,
base,130.7109375,130.7109375,0.0,16,,,,,,,,,,,,
base,140.6484375,140.6484375,0.0,12,,,,,,,,,,,,
base,140.6484375,140.6484375,0.0,12,,,,,,,,,,,,
base,180.89453125,180.89453125,0.0,11,,,,,,,,,,,,
base,180.89453125,180.89453125,0.0,11,,,,,,,,,,,,
base,201.078125,201.078125,0.0,11,,,,,,,,,,,,
base,201.078125,201.078125,0.0,11,,,,,,,,,,,,
base,131.30859375,131.30859375,0.0,11,,,,,,,,,,,,
