case/step,DAC-MACS min,DAC-MACS max,DAC-MACS diff,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE diff,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE diff,RW-ABE amount,TAAC min,TAAC max,TAAC diff,TAAC amount
base,75.2265625,95.171875,19.9453125,10,,,,,,,,,,,,
base,95.34765625,125.19921875,29.8515625,9,,,,,,,,,,,,
base,85.56640625,95.4921875,9.92578125,10,,,,,,,,,,,,
base,95.703125,135.609375,39.90625,8,,,,,,,,,,,,
base,125.7890625,125.7890625,0.0,8,,,,,,,,,,,,
base,115.953125,145.8203125,29.8671875,8,,,,,,,,,,,,
base,166.1875,196.01953125,29.83203125,10,,,,,,,,,,,,
base,196.35546875,196.36328125,0.0078125,11,,,,,,,,,,,,
base,206.58203125,206.58203125,0.0,9,,,,,,,,,,,,
base,136.5859375,136.5859375,0.0,10,,,,,,,,,,,,
base,136.51171875,136.5234375,0.01171875,11,,,,,,,,,,,,
base,126.80078125,136.6796875,9.87890625,10,,,,,,,,,,,,
base,116.91796875,136.79296875,19.875,11,,,,,,,,,,,,
base,106.76953125,126.859375,20.08984375,9,,,,,,,,,,,,
base,147.109375,147.1328125,0.0234375,10,,,,,,,,,,,,
base,157.35546875,177.33203125,19.9765625,11,,,,,,,,,,,,
base,87.38671875,117.26171875,29.875,10,,,,,,,,,,,,
base,87.40234375,117.1484375,29.74609375,13,,,,,,,,,,,,
base,87.5546875,117.30078125,29.74609375,10,,,,,,,,,,,,
base,77.71484375,107.57421875,29.859375,11,,,,,,,,,,,,
base,147.75390625,147.75390625,0.0,10,,,,,,,,,,,,
base,147.90234375,147.90234375,0.0,11,,,,,,,,,,,,
base,148.0625,148.0625,0.0,8,,,,,,,,,,,,
base,87.21484375,148.078125,60.86328125,10,,,,,,,,,,,,
base,78.203125,118.06640625,39.86328125,9,,,,,,,,,,,,
base,78.32421875,118.1875,39.86328125,11,,,,,,,,,,,,
base,78.4921875,118.35546875,39.86328125,9,,,,,,,,,,,,
base,128.5234375,158.4296875,29.90625,8,,,,,,,,,,,,
base,128.71875,158.59375,29.875,9,,,,,,,,,,,,
base,128.87109375,168.734375,39.86328125,9,,,,,,,,,,,,
base,139.05859375,139.05859375,0.0,8,,,,,,,,,,,,
base,89.05859375,118.796875,29.73828125,8,,,,,,,,,,,,
base,89.12890625,118.9921875,29.86328125,9,,,,,,,,,,,,
base,89.29296875,119.15625,29.86328125,9,,,,,,,,,,,,
base,129.46875,129.46875,0.0,9,,,,,,,,,,,,
base,129.46875,129.46875,0.0,8,,,,,,,,,,,,
