case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,1.2e-05,,,
base,3e-06,,,
base,3e-06,,,
base,3e-06,,,
base,2.4999999999999998e-06,,,
base,3e-06,,,
base,3e-06,,,
base,2.4999999999999998e-06,,,
base,2.4999999999999998e-06,,,
base,3e-06,,,
base,3.5e-06,,,
base,2.4999999999999998e-06,,,
base,2e-06,,,
base,3e-06,,,
base,4e-06,,,
base,3e-06,,,
base,2e-06,,,
base,2e-06,,,
base,2.4999999999999998e-06,,,
base,1.5e-06,,,
base,3e-06,,,
base,2.4999999999999998e-06,,,
base,2.4999999999999998e-06,,,
base,2.4999999999999998e-06,,,
base,3e-06,,,
base,3e-06,,,
base,2.4999999999999998e-06,,,
base,2.4999999999999998e-06,,,
base,2.4999999999999998e-06,,,
base,3.5e-06,,,
base,2.4999999999999998e-06,,,
base,2.4999999999999998e-06,,,
base,4e-06,,,
base,2e-06,,,
base,2.4999999999999998e-06,,,
base,2.4999999999999998e-06,,,
base,2.4999999999999998e-06,,,
base,2.4999999999999998e-06,,,
base,2.4999999999999998e-06,,,
base,2.4999999999999998e-06,,,
base,3.5e-06,,,
base,3e-06,,,
base,2.4999999999999998e-06,,,
base,2.4999999999999998e-06,,,
base,2.4999999999999998e-06,,,
base,2.4999999999999998e-06,,,
base,2.4999999999999998e-06,,,
base,2e-06,,,
base,2.4999999999999998e-06,,,
base,2e-06,,,
base,2.4999999999999998e-06,,,
base,3e-06,,,
base,2.4999999999999998e-06,,,
base,2.4999999999999998e-06,,,
base,2.4999999999999998e-06,,,
base,2e-06,,,
base,3.5e-06,,,
base,2.4999999999999998e-06,,,
base,2.4999999999999998e-06,,,
base,2.4999999999999998e-06,,,
base,2.4999999999999998e-06,,,
base,2.4999999999999998e-06,,,
base,2.4999999999999998e-06,,,
base,2.4999999999999998e-06,,,
base,2.4999999999999998e-06,,,
base,2e-06,,,
base,2.4999999999999998e-06,,,
base,2.4999999999999998e-06,,,
base,3e-06,,,
base,2.4999999999999998e-06,,,
base,2.4999999999999998e-06,,,
base,2.4999999999999998e-06,,,
base,2.4999999999999998e-06,,,
base,2.4999999999999998e-06,,,
base,4e-06,,,
base,2.4999999999999998e-06,,,
base,2e-06,,,
base,2.4999999999999998e-06,,,
base,2.4999999999999998e-06,,,
base,2.4999999999999998e-06,,,
base,2e-06,,,
base,3e-06,,,
base,2.4999999999999998e-06,,,
base,2.4999999999999998e-06,,,
base,3e-06,,,
base,1.5e-06,,,
base,2.4999999999999998e-06,,,
base,2.4999999999999998e-06,,,
base,2e-06,,,
base,2.4999999999999998e-06,,,
base,2.4999999999999998e-06,,,
base,1.35e-05,,,
base,3.5e-06,,,
base,2.4999999999999998e-06,,,
base,2.4999999999999998e-06,,,
base,3e-06,,,
base,3e-06,,,
base,3e-06,,,
base,2e-06,,,
base,2.4999999999999998e-06,,,
base,,2.4999999999999998e-06,,
base,,1.5e-06,,
base,,3e-06,,
base,,2.4999999999999998e-06,,
base,,3e-06,,
base,,3e-06,,
base,,1.5e-06,,
base,,3e-06,,
base,,3e-06,,
base,,2.4999999999999998e-06,,
base,,2.4999999999999998e-06,,
base,,2.4999999999999998e-06,,
base,,3e-06,,
base,,2e-06,,
base,,1.5e-06,,
base,,2.4999999999999998e-06,,
base,,1.5e-06,,
base,,2.4999999999999998e-06,,
base,,2.4999999999999998e-06,,
base,,2e-06,,
base,,2.4999999999999998e-06,,
base,,2e-06,,
base,,1.5e-06,,
base,,2.4999999999999998e-06,,
