case/step,DAC-MACS min,DAC-MACS max,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE amount,TAAC min,TAAC max,TAAC amount
base,36.96875,36.96875,7,,,,,,,,,
base,,,,36.80078125,36.80078125,5,,,,,,
base,,,,,,,36.94140625,36.94140625,5,,,
base,,,,,,,,,,37.56640625,37.56640625,5
base,36.859375,36.86328125,6,,,,,,,,,
base,,,,36.82421875,36.82421875,5,,,,,,
base,,,,,,,36.98046875,36.98046875,5,,,
base,,,,,,,,,,57.78125,57.78125,5
base,36.94140625,36.94140625,8,,,,,,,,,
base,,,,36.82421875,36.82421875,5,,,,,,
base,,,,,,,37.0,37.0,6,,,
base,,,,,,,,,,17.51171875,17.51171875,5
base,36.94140625,36.94140625,6,,,,,,,,,
base,,,,36.80078125,36.80078125,5,,,,,,
base,,,,,,,36.99609375,36.99609375,5,,,
base,,,,,,,,,,57.80078125,57.80078125,5
base,36.94140625,36.94140625,6,,,,,,,,,
base,,,,36.80078125,36.80078125,5,,,,,,
base,,,,,,,37.0,37.0,4,,,
base,,,,,,,,,,57.80859375,57.80859375,5
base,36.8515625,36.85546875,6,,,,,,,,,
base,,,,36.80078125,36.80078125,5,,,,,,
base,,,,,,,36.9921875,36.9921875,5,,,
base,,,,,,,,,,57.83203125,57.83203125,5
base,36.921875,36.921875,6,,,,,,,,,
base,,,,36.80078125,36.80078125,5,,,,,,
base,,,,,,,36.99609375,36.99609375,4,,,
base,,,,,,,,,,57.828125,57.828125,5
base,36.921875,36.921875,6,,,,,,,,,
base,,,,36.828125,36.828125,5,,,,,,
base,,,,,,,36.99609375,36.99609375,4,,,
base,,,,,,,,,,57.8203125,57.8203125,4
base,36.921875,36.921875,6,,,,,,,,,
base,,,,36.82421875,36.82421875,5,,,,,,
base,,,,,,,36.99609375,36.99609375,5,,,
base,,,,,,,,,,57.83203125,57.83203125,5
base,36.921875,36.921875,6,,,,,,,,,
base,,,,36.80078125,36.80078125,5,,,,,,
base,,,,,,,36.99609375,36.99609375,4,,,
base,,,,,,,,,,57.8046875,57.8046875,5
base,36.921875,36.921875,8,,,,,,,,,
base,,,,36.80078125,36.80078125,4,,,,,,
base,,,,,,,36.99609375,36.99609375,5,,,
base,,,,,,,,,,57.80078125,57.80078125,5
base,36.921875,36.921875,6,,,,,,,,,
base,,,,36.80078125,36.80078125,5,,,,,,
base,,,,,,,36.9921875,36.9921875,5,,,
base,,,,,,,,,,57.796875,57.796875,5
base,36.94140625,36.94140625,6,,,,,,,,,
base,,,,36.80078125,36.80078125,5,,,,,,
base,,,,,,,36.99609375,36.99609375,5,,,
base,,,,,,,,,,57.8046875,57.8046875,5
