case/step,DAC-MACS min,DAC-MACS max,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE amount,TAAC min,TAAC max,TAAC amount
base,36.96875,36.96875,138,,,,,,,,,
base,,,,36.80078125,36.80078125,139,,,,,,
base,,,,,,,36.94140625,36.9453125,6,,,
base,,,,,,,,,,37.58203125,37.5859375,68
base,36.859375,36.86328125,5,,,,,,,,,
base,,,,36.82421875,36.82421875,136,,,,,,
base,,,,,,,36.98046875,36.98046875,5,,,
base,,,,,,,,,,57.77734375,57.77734375,85
base,36.94140625,36.94140625,129,,,,,,,,,
base,,,,36.82421875,36.828125,123,,,,,,
base,,,,,,,37.0,37.0,5,,,
base,,,,,,,,,,37.546875,37.546875,86
base,36.94140625,36.9453125,135,,,,,,,,,
base,,,,36.80078125,36.8046875,133,,,,,,
base,,,,,,,36.99609375,37.0,29,,,
base,,,,,,,,,,57.8046875,57.8046875,84
base,36.94140625,36.94140625,137,,,,,,,,,
base,,,,36.80078125,36.80078125,94,,,,,,
base,,,,,,,37.0,37.0,5,,,
base,,,,,,,,,,57.8125,57.8125,86
base,36.8515625,36.85546875,135,,,,,,,,,
base,,,,36.80078125,36.80078125,68,,,,,,
base,,,,,,,36.9921875,36.9921875,5,,,
base,,,,,,,,,,57.83203125,57.8359375,80
base,36.921875,36.921875,93,,,,,,,,,
base,,,,36.80078125,36.8046875,70,,,,,,
base,,,,,,,36.99609375,36.99609375,5,,,
base,,,,,,,,,,57.83203125,57.83203125,71
base,36.921875,36.92578125,64,,,,,,,,,
base,,,,36.828125,36.828125,67,,,,,,
base,,,,,,,36.99609375,36.99609375,5,,,
base,,,,,,,,,,57.8203125,57.8203125,21
base,36.921875,36.921875,64,,,,,,,,,
base,,,,36.82421875,36.82421875,69,,,,,,
base,,,,,,,36.99609375,36.99609375,5,,,
base,,,,,,,,,,57.83203125,57.8359375,52
base,36.921875,36.921875,116,,,,,,,,,
base,,,,36.80078125,36.80078125,125,,,,,,
base,,,,,,,36.99609375,36.99609375,5,,,
base,,,,,,,,,,57.8046875,57.8046875,63
base,36.921875,36.92578125,64,,,,,,,,,
base,,,,36.80078125,36.8046875,68,,,,,,
base,,,,,,,36.99609375,36.99609375,5,,,
base,,,,,,,,,,57.8046875,57.80859375,22
base,36.921875,36.92578125,65,,,,,,,,,
base,,,,36.80078125,36.8046875,67,,,,,,
base,,,,,,,36.9921875,36.9921875,5,,,
base,,,,,,,,,,57.8046875,57.8046875,22
base,36.94140625,36.9453125,93,,,,,,,,,
base,,,,36.80078125,36.8046875,69,,,,,,
base,,,,,,,36.99609375,36.99609375,5,,,
base,,,,,,,,,,57.8046875,57.8046875,21
base,36.921875,36.921875,62,,,,,,,,,
base,,,,36.80078125,36.80078125,68,,,,,,
base,,,,,,,37.0,37.0,5,,,
base,,,,,,,,,,57.82421875,57.82421875,23
base,36.91796875,36.921875,63,,,,,,,,,
base,,,,36.82421875,36.82421875,98,,,,,,
base,,,,,,,36.99609375,36.99609375,5,,,
base,,,,,,,,,,57.8359375,57.8359375,21
base,36.921875,36.92578125,60,,,,,,,,,
base,,,,36.82421875,36.82421875,98,,,,,,
base,,,,,,,56.984375,56.984375,5,,,
base,,,,,,,,,,57.81640625,57.81640625,51
base,36.921875,36.92578125,93,,,,,,,,,
base,,,,36.82421875,36.82421875,65,,,,,,
base,,,,,,,56.98828125,56.98828125,5,,,
base,,,,,,,,,,57.796875,57.80078125,21
base,36.921875,36.92578125,93,,,,,,,,,
base,,,,36.82421875,36.82421875,68,,,,,,
base,,,,,,,56.98828125,56.98828125,5,,,
base,,,,,,,,,,57.8203125,57.8203125,52
base,36.921875,36.92578125,66,,,,,,,,,
base,,,,36.80078125,36.80078125,10,,,,,,
base,,,,,,,56.98828125,56.98828125,5,,,
base,,,,,,,,,,57.8046875,57.80859375,25
base,36.91796875,36.91796875,61,,,,,,,,,
base,,,,36.82421875,36.828125,26,,,,,,
base,,,,,,,56.96484375,56.96484375,5,,,
base,,,,,,,,,,57.8203125,57.8203125,5
base,36.91796875,36.91796875,65,,,,,,,,,
base,,,,36.80078125,36.80078125,66,,,,,,
base,,,,,,,56.9765625,56.9765625,5,,,
base,,,,,,,,,,57.80078125,57.80078125,20
base,36.921875,36.92578125,95,,,,,,,,,
base,,,,36.82421875,36.82421875,67,,,,,,
base,,,,,,,56.984375,56.984375,5,,,
base,,,,,,,,,,57.8046875,57.8046875,20
base,36.921875,36.92578125,64,,,,,,,,,
base,,,,36.82421875,36.82421875,66,,,,,,
base,,,,,,,56.9765625,56.9765625,5,,,
base,,,,,,,,,,57.8203125,57.8203125,52
base,36.91796875,36.921875,63,,,,,,,,,
base,,,,36.80078125,36.80078125,65,,,,,,
base,,,,,,,56.98828125,56.98828125,5,,,
base,,,,,,,,,,57.80078125,57.80078125,18
base,36.91796875,36.91796875,94,,,,,,,,,
base,,,,36.80078125,36.80078125,58,,,,,,
base,,,,,,,56.96484375,56.96484375,5,,,
base,,,,,,,,,,57.82421875,57.828125,55
base,36.8359375,36.8359375,63,,,,,,,,,
base,,,,36.82421875,36.82421875,67,,,,,,
base,,,,,,,56.9765625,56.9765625,5,,,
base,,,,,,,,,,57.8046875,57.8046875,20
base,36.91796875,36.921875,92,,,,,,,,,
base,,,,36.82421875,36.82421875,67,,,,,,
base,,,,,,,56.98828125,56.98828125,5,,,
base,,,,,,,,,,57.8203125,57.8203125,21
base,36.91796875,36.91796875,63,,,,,,,,,
base,,,,36.82421875,36.828125,31,,,,,,
