case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
base,536,,,
base,,536,,
base,,,536,
base,,,,536
