case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,10.327712,,,
base,,2.642853,,
base,,,0.091473,
base,,,,29.376482000000003
base,6.4278759999999995,,,
base,,2.8642939999999997,,
base,,,0.088879,
base,,,,28.183148999999997
base,7.213996999999999,,,
base,,1.9501109999999997,,
base,,,0.092169,
base,,,,26.687528000000004
base,7.372945,,,
base,,1.976794,,
base,,,0.08771899999999999,
base,,,,27.482371999999998
base,6.450718,,,
base,,2.5919119999999998,,
base,,,0.09611299999999999,
base,,,,26.608799
base,6.889943,,,
base,,1.945879,,
base,,,0.09625500000000001,
base,,,,26.627150999999998
base,6.578853,,,
base,,1.9466379999999999,,
base,,,0.099629,
base,,,,26.041947
base,6.857417,,,
base,,1.950295,,
base,,,0.09611099999999999,
base,,,,26.497041999999997
base,6.295114999999999,,,
base,,1.947192,,
base,,,0.09471,
base,,,,26.072301000000003
base,6.504253,,,
base,,1.929689,,
base,,,0.095463,
base,,,,26.558059999999994
base,6.830956,,,
base,,1.957774,,
base,,,0.099446,
base,,,,26.422240999999996
base,6.245614999999999,,,
base,,1.935073,,
base,,,0.094235,
base,,,,26.371987999999998
base,6.273866,,,
base,,1.922361,,
base,,,0.095968,
base,,,,26.350106999999998
base,6.298742,,,
base,,1.924702,,
base,,,0.098535,
base,,,,26.32112
base,6.286998,,,
base,,1.923486,,
base,,,0.09956599999999999,
base,,,,26.379213
base,6.903822,,,
base,,2.4320859999999995,,
base,,,0.09437,
base,,,,26.334622
base,6.281897,,,
base,,1.9228159999999999,,
base,,,0.09627999999999999,
base,,,,26.246479
base,6.246231999999999,,,
base,,1.949347,,
base,,,0.09636499999999999,
base,,,,25.852266999999998
base,6.8240609999999995,,,
base,,1.937011,,
base,,,0.096616,
base,,,,26.357753999999996
base,6.799211999999999,,,
base,,1.9313179999999999,,
base,,,0.09926499999999999,
base,,,,26.317014999999998
base,6.25493,,,
base,,1.934228,,
base,,,0.094499,
base,,,,25.785199000000002
base,6.8135639999999995,,,
base,,1.9272980000000002,,
base,,,0.09691699999999999,
base,,,,25.918955
base,6.2533009999999996,,,
base,,1.9254310000000001,,
base,,,0.09827999999999999,
base,,,,25.703809
base,6.295033,,,
base,,1.919451,,
base,,,0.096343,
base,,,,25.730237
base,6.257305,,,
base,,1.929351,,
base,,,0.10965,
base,,,,26.256024999999998
base,6.806868999999999,,,
base,,1.929775,,
base,,,0.09922099999999999,
base,,,,25.838955999999996
base,6.816072999999999,,,
base,,1.936433,,
base,,,0.137962,
base,,,,25.867691999999995
base,6.795152,,,
base,,1.942813,,
base,,,0.09610799999999999,
base,,,,25.840982
base,6.782266,,,
base,,1.9238220000000001,,
base,,,0.097645,
base,,,,26.327137999999998
base,6.243937,,,
base,,1.924989,,
base,,,0.102061,
base,,,,26.281788
base,6.571585,,,
base,,1.974204,,
base,,,0.09674799999999999,
base,,,,25.722141
base,6.420439999999999,,,
base,,1.92785,,
base,,,0.09715399999999999,
base,,,,25.868432
base,6.453491999999999,,,
base,,1.93101,,
base,,,0.096505,
base,,,,25.758867999999996
base,6.638647,,,
base,,1.9455989999999999,,
base,,,0.09671199999999999,
base,,,,26.386073
base,6.248963999999999,,,
base,,1.9302839999999999,,
base,,,0.09459899999999997,
base,,,,26.226346
base,6.238866999999999,,,
base,,1.9334059999999997,,
base,,,0.09627899999999999,
base,,,,25.831791
base,6.242563,,,
base,,1.940139,,
base,,,0.096019,
base,,,,25.730395
base,6.8192509999999995,,,
base,,2.478657,,
base,,,0.097511,
base,,,,26.270507
base,6.807511,,,
base,,1.9200479999999998,,
base,,,0.09943899999999999,
base,,,,26.274981
base,6.248073,,,
base,,1.927103,,
base,,,0.09605599999999999,
base,,,,26.260870999999998
base,6.812182999999999,,,
base,,1.933751,,
base,,,0.09697599999999999,
base,,,,25.805267999999998
base,6.286795,,,
base,,1.8933969999999998,,
base,,,0.099273,
base,,,,25.722693000000003
base,6.424754,,,
base,,1.9273339999999999,,
base,,,0.096695,
base,,,,25.772946999999995
base,6.242334,,,
base,,1.9044499999999998,,
base,,,0.09696800000000001,
base,,,,26.373792
base,6.254976,,,
base,,1.96136,,
base,,,0.098876,
base,,,,26.351146
base,6.790233,,,
base,,1.9402119999999998,,
base,,,0.10033299999999999,
base,,,,25.864722
base,6.797957,,,
base,,1.9286269999999999,,
base,,,0.09774399999999998,
base,,,,26.34875
base,6.257306999999999,,,
base,,1.9275930000000001,,
base,,,0.097449,
base,,,,26.299493999999996
base,6.2318489999999995,,,
base,,1.9344819999999998,,
base,,,0.09967299999999998,
base,,,,26.306141999999998
base,6.241741,,,
base,,1.92851,,
base,,,0.09680899999999999,
base,,,,25.698694999999997
