case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,1.0626,,,
base,,6e-06,,
base,,,6e-06,
base,,,,3.8204309999999997
base,0.8426619999999999,,,
base,,6e-06,,
base,,,7e-06,
base,,,,3.392102
base,1.035491,,,
base,,6e-06,,
base,,,6e-06,
base,,,,4.186642
base,0.8381339999999999,,,
base,,6e-06,,
base,,,6e-06,
base,,,,3.301285
base,1.226766,,,
base,,6e-06,,
base,,,6e-06,
base,,,,3.2686029999999997
base,0.829472,,,
base,,6e-06,,
base,,,6e-06,
base,,,,3.2509759999999996
base,0.830347,,,
base,,6e-06,,
base,,,7e-06,
base,,,,4.126002
base,1.097842,,,
base,,7e-06,,
base,,,7e-06,
base,,,,3.2123459999999997
base,0.829163,,,
base,,8e-06,,
base,,,6e-06,
base,,,,3.7791949999999996
base,0.8327519999999999,,,
base,,8e-06,,
base,,,7e-06,
base,,,,3.269161
base,0.828155,,,
base,,4.9999999999999996e-06,,
base,,,7e-06,
base,,,,3.217597
base,0.8236239999999999,,,
base,,6e-06,,
base,,,6e-06,
base,,,,3.2236029999999998
base,0.825557,,,
base,,6e-06,,
base,,,7e-06,
base,,,,3.213095
base,0.857077,,,
base,,4.9999999999999996e-06,,
base,,,7e-06,
base,,,,3.215378
base,0.8240369999999999,,,
base,,9e-06,,
base,,,7e-06,
base,,,,3.241116
base,0.824388,,,
base,,7e-06,,
base,,,7e-06,
base,,,,3.226064
base,0.839681,,,
base,,6e-06,,
base,,,7e-06,
base,,,,3.783324
base,0.8344659999999999,,,
base,,9e-06,,
base,,,7e-06,
base,,,,3.234018
base,0.8248909999999999,,,
base,,7e-06,,
base,,,7e-06,
base,,,,3.230029
base,0.824348,,,
base,,9e-06,,
base,,,9.999999999999999e-06,
base,,,,3.21609
base,0.834387,,,
base,,7e-06,,
base,,,6e-06,
base,,,,3.222822
base,0.8304229999999999,,,
base,,6e-06,,
base,,,7e-06,
base,,,,3.221948
base,0.8241729999999999,,,
base,,7e-06,,
base,,,4.9999999999999996e-06,
base,,,,3.195567
base,0.8237639999999999,,,
base,,6e-06,,
base,,,6e-06,
base,,,,3.810486
base,0.8273619999999999,,,
base,,7e-06,,
base,,,7e-06,
base,,,,3.2534609999999997
base,0.8268399999999999,,,
base,,6e-06,,
base,,,8e-06,
base,,,,3.7596879999999997
base,0.8284239999999999,,,
base,,7e-06,,
base,,,8e-06,
base,,,,3.1828909999999997
base,0.8245669999999999,,,
base,,6e-06,,
base,,,6e-06,
base,,,,3.242165
base,0.825256,,,
base,,6e-06,,
base,,,7e-06,
base,,,,3.248993
base,0.837583,,,
base,,6e-06,,
base,,,6e-06,
base,,,,3.7956179999999997
base,0.8282229999999999,,,
base,,7e-06,,
base,,,9e-06,
base,,,,3.757567
base,0.830168,,,
base,,6e-06,,
base,,,7e-06,
base,,,,3.212459
base,0.82543,,,
base,,6e-06,,
base,,,6e-06,
base,,,,3.2361269999999998
base,0.822669,,,
base,,6e-06,,
base,,,9.999999999999999e-06,
base,,,,3.2082479999999998
base,0.833731,,,
base,,7e-06,,
base,,,7e-06,
base,,,,3.223349
base,0.822931,,,
base,,6e-06,,
base,,,7e-06,
base,,,,3.2041109999999997
base,0.831081,,,
base,,6e-06,,
base,,,7e-06,
base,,,,3.2593739999999998
base,0.964808,,,
base,,7e-06,,
base,,,7e-06,
base,,,,3.227146
base,0.830931,,,
base,,6e-06,,
base,,,7e-06,
base,,,,3.204946
base,0.831469,,,
base,,4.9999999999999996e-06,,
base,,,6e-06,
base,,,,3.2101159999999997
base,0.837382,,,
base,,6e-06,,
base,,,6e-06,
base,,,,3.21974
base,0.825637,,,
base,,7e-06,,
base,,,9.999999999999999e-06,
base,,,,3.681266
base,0.827274,,,
base,,8e-06,,
base,,,6e-06,
base,,,,3.228088
base,0.823699,,,
base,,6e-06,,
base,,,7e-06,
base,,,,3.215436
base,0.8287589999999999,,,
base,,6e-06,,
base,,,7e-06,
base,,,,3.2295949999999998
base,0.831801,,,
base,,7e-06,,
base,,,6e-06,
base,,,,3.774959
base,0.8289759999999999,,,
base,,6e-06,,
base,,,4.9999999999999996e-06,
base,,,,3.233508
base,0.824322,,,
base,,4.9999999999999996e-06,,
base,,,7e-06,
base,,,,3.2108
base,0.823612,,,
base,,6e-06,,
base,,,8e-06,
base,,,,3.268881
base,0.824904,,,
base,,6e-06,,
base,,,4.9999999999999996e-06,
base,,,,3.226134
