case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,0.387119,,,
base,,0.037585,,
base,,,0.12853699999999998,
base,,,,0.037530999999999995
base,0.08219499999999999,,,
base,,0.042877,,
base,,,0.133657,
base,,,,0.074098
base,0.07933599999999999,,,
base,,0.043483,,
base,,,0.13042499999999999,
base,,,,0.038333
base,0.08176,,,
base,,0.049406,,
base,,,0.133466,
base,,,,0.040429
base,0.08809199999999999,,,
base,,0.051304999999999996,,
base,,,0.127419,
base,,,,0.038089
base,0.07539599999999999,,,
base,,0.043528,,
base,,,0.127752,
base,,,,0.037010999999999995
base,0.129409,,,
base,,0.036485,,
base,,,0.128263,
base,,,,0.04238
base,0.080359,,,
base,,0.036719999999999996,,
base,,,0.12570299999999998,
base,,,,0.042019999999999995
base,0.074734,,,
base,,0.044319,,
base,,,0.131455,
base,,,,0.037874
base,0.07778399999999999,,,
base,,0.037677999999999996,,
base,,,0.125666,
base,,,,0.07445199999999999
base,0.074867,,,
base,,0.047546,,
base,,,0.128413,
base,,,,0.038879
base,0.079319,,,
base,,0.036478,,
base,,,0.126087,
base,,,,0.037043
base,0.076573,,,
base,,0.037475,,
base,,,0.128634,
base,,,,0.038349
base,0.078003,,,
base,,0.037295999999999996,,
base,,,0.127908,
base,,,,0.037235
base,0.07728399999999999,,,
base,,0.036343,,
base,,,0.127817,
base,,,,0.037017
base,0.078568,,,
base,,0.037059999999999996,,
base,,,0.126251,
base,,,,0.035959
base,0.076558,,,
base,,0.036933,,
base,,,0.128495,
base,,,,0.036669
base,0.075865,,,
base,,0.037868,,
base,,,0.126693,
base,,,,0.037666
base,0.07708,,,
base,,0.038313,,
base,,,0.126531,
base,,,,0.036393999999999996
base,0.075449,,,
base,,0.036496,,
base,,,0.127373,
base,,,,0.037085
base,0.076624,,,
base,,0.036857,,
base,,,0.124401,
base,,,,0.037606
base,0.074354,,,
base,,0.036597,,
base,,,0.126659,
base,,,,0.036925
base,0.07929399999999999,,,
base,,0.037203,,
base,,,0.126283,
base,,,,0.035558
base,0.074878,,,
base,,0.037415,,
base,,,0.127304,
base,,,,0.036351
base,0.078933,,,
base,,0.037885999999999996,,
base,,,0.20927099999999998,
base,,,,0.037739999999999996
base,0.076265,,,
base,,0.038605,,
base,,,0.127892,
base,,,,0.037444
base,0.075934,,,
base,,0.038704999999999996,,
base,,,0.17415,
base,,,,0.037117
base,0.080651,,,
base,,0.038518,,
base,,,0.126599,
base,,,,0.040066
base,0.075677,,,
base,,0.037117,,
base,,,0.127377,
base,,,,0.037524999999999996
base,0.07644999999999999,,,
base,,0.038506,,
base,,,0.127917,
base,,,,0.037351999999999996
base,0.074074,,,
base,,0.089669,,
base,,,0.12720499999999998,
base,,,,0.036223
base,0.076581,,,
base,,0.037863999999999995,,
base,,,0.12628799999999998,
base,,,,0.093766
base,0.075115,,,
base,,0.038107999999999996,,
base,,,0.129113,
base,,,,0.039534
base,0.077372,,,
base,,0.044396,,
base,,,0.127655,
base,,,,0.037111
base,0.08495899999999999,,,
base,,0.038791,,
base,,,0.12887099999999999,
base,,,,0.039438
base,0.07883699999999999,,,
base,,0.037862,,
base,,,0.126032,
base,,,,0.037925
base,0.078085,,,
base,,0.049859999999999995,,
base,,,0.127633,
base,,,,0.039227
base,0.07876899999999999,,,
base,,0.038687,,
base,,,0.12964799999999999,
base,,,,0.037293
base,0.07860299999999999,,,
base,,0.040396,,
base,,,0.13247499999999998,
base,,,,0.038838
base,0.077847,,,
base,,0.038123,,
base,,,0.128699,
base,,,,0.03991
base,0.078275,,,
base,,0.040188999999999996,,
base,,,0.13075599999999998,
base,,,,0.036254999999999996
base,0.0795,,,
base,,0.038155,,
base,,,0.12945299999999998,
base,,,,0.038853
base,0.080491,,,
base,,0.037209,,
base,,,0.126911,
base,,,,0.038273
base,0.077265,,,
base,,0.036861,,
base,,,0.12673299999999998,
base,,,,0.038487
base,0.081381,,,
base,,0.038373,,
base,,,0.128819,
base,,,,0.037009
base,0.078202,,,
base,,0.046099,,
base,,,0.131023,
base,,,,0.04104
base,0.083617,,,
base,,0.043147,,
base,,,0.130519,
base,,,,0.037925
base,0.080818,,,
base,,0.038643,,
base,,,0.134204,
base,,,,0.043574999999999996
base,0.077677,,,
base,,0.042012,,
base,,,0.13250299999999998,
base,,,,0.042103999999999996
base,0.081604,,,
base,,0.043043,,
base,,,0.128567,
base,,,,0.036441999999999995
