case,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,91.6,,,
base,,91.5,,
base,,,90.1,
base,,,,91.7
base,91.7,,,
base,,91.5,,
base,,,91.4,
base,,,,91.8
base,91.7,,,
base,,91.5,,
base,,,91.8,
base,,,,91.8
base,91.8,,,
base,,91.2,,
base,,,91.6,
base,,,,91.8
base,91.8,,,
base,,90.9,,
base,,,91.7,
base,,,,91.8
base,91.7,,,
base,,91.0,,
base,,,91.7,
base,,,,91.7
base,91.4,,,
base,,91.7,,
base,,,91.5,
base,,,,91.0
base,90.6,,,
base,,90.2,,
base,,,91.1,
base,,,,91.2
base,90.9,,,
base,,90.8,,
base,,,90.8,
base,,,,91.6
base,91.5,,,
base,,90.9,,
base,,,91.5,
base,,,,91.4
base,91.1,,,
base,,90.6,,
base,,,92.2,
base,,,,92.4
base,92.2,,,
base,,91.9,,
base,,,92.2,
base,,,,92.4
base,92.1,,,
base,,92.1,,
base,,,92.2,
base,,,,92.5
base,92.2,,,
base,,92.1,,
base,,,92.1,
base,,,,92.4
base,92.0,,,
base,,92.2,,
base,,,92.2,
base,,,,92.4
base,92.2,,,
base,,92.1,,
base,,,92.1,
base,,,,92.3
base,92.2,,,
base,,92.1,,
base,,,92.1,
base,,,,92.4
base,92.1,,,
base,,92.1,,
base,,,92.3,
base,,,,92.4
base,92.3,,,
base,,92.1,,
base,,,92.4,
base,,,,92.5
base,92.2,,,
base,,92.0,,
base,,,92.3,
base,,,,92.4
base,92.3,,,
base,,92.1,,
base,,,92.2,
base,,,,92.5
base,92.3,,,
base,,92.0,,
base,,,92.4,
base,,,,92.4
base,92.2,,,
base,,91.9,,
base,,,92.3,
base,,,,92.5
base,92.2,,,
base,,92.3,,
base,,,92.3,
base,,,,92.4
base,92.3,,,
base,,92.2,,
base,,,92.4,
base,,,,92.5
base,92.3,,,
base,,91.9,,
base,,,92.3,
base,,,,92.2
base,92.2,,,
base,,91.8,,
base,,,92.2,
base,,,,92.4
base,92.3,,,
base,,92.1,,
base,,,92.2,
base,,,,92.5
base,92.0,,,
base,,92.1,,
base,,,92.4,
base,,,,92.5
base,92.1,,,
base,,92.0,,
base,,,92.2,
base,,,,92.4
base,92.3,,,
base,,92.0,,
base,,,92.1,
base,,,,92.4
base,92.3,,,
base,,92.0,,
base,,,92.3,
base,,,,92.5
base,92.0,,,
base,,91.9,,
base,,,92.2,
base,,,,92.4
base,92.2,,,
base,,92.1,,
base,,,92.3,
base,,,,92.4
base,92.1,,,
base,,91.9,,
base,,,92.3,
base,,,,92.5
base,92.0,,,
base,,92.1,,
base,,,92.3,
base,,,,92.4
base,92.1,,,
base,,92.2,,
base,,,92.2,
base,,,,92.4
base,92.2,,,
base,,91.9,,
base,,,92.2,
base,,,,92.4
base,92.1,,,
base,,92.1,,
base,,,91.9,
base,,,,92.4
base,92.2,,,
base,,90.7,,
base,,,92.3,
base,,,,92.4
base,92.2,,,
base,,92.2,,
base,,,92.1,
base,,,,92.4
base,92.2,,,
base,,92.1,,
base,,,92.2,
base,,,,92.4
base,92.2,,,
base,,92.1,,
base,,,92.3,
base,,,,92.4
base,92.1,,,
base,,92.2,,
base,,,92.2,
base,,,,92.4
base,92.1,,,
base,,92.0,,
base,,,92.2,
base,,,,92.4
base,92.3,,,
base,,92.3,,
base,,,92.2,
base,,,,92.1
base,92.1,,,
base,,92.1,,
base,,,92.3,
base,,,,92.4
base,92.2,,,
base,,92.0,,
base,,,92.3,
base,,,,92.4
base,92.3,,,
base,,92.1,,
base,,,92.3,
base,,,,92.4
base,92.2,,,
base,,92.2,,
base,,,92.2,
base,,,,92.4
base,92.3,,,
base,,92.2,,
base,,,92.1,
base,,,,92.4
base,92.3,,,
base,,91.9,,
base,,,92.3,
base,,,,92.5
base,92.3,,,
base,,92.0,,
base,,,92.3,
base,,,,92.4
base,92.2,,,
base,,92.1,,
base,,,92.3,
base,,,,92.5
base,92.1,,,
base,,92.2,,
base,,,92.2,
base,,,,92.4
base,92.3,,,
base,,92.0,,
base,,,92.2,
base,,,,92.4
base,92.3,,,
base,,92.0,,
base,,,92.3,
base,,,,92.4
base,91.9,,,
base,,91.9,,
base,,,92.1,
base,,,,92.4
base,92.0,,,
base,,91.9,,
base,,,92.1,
base,,,,92.4
base,92.1,,,
base,,91.9,,
base,,,92.3,
base,,,,92.4
base,92.2,,,
base,,92.2,,
base,,,92.3,
base,,,,92.4
base,92.3,,,
base,,92.3,,
base,,,92.2,
base,,,,92.4
base,92.3,,,
base,,92.1,,
base,,,92.3,
base,,,,92.4
base,92.3,,,
base,,92.2,,
base,,,92.2,
base,,,,92.4
base,92.3,,,
base,,91.9,,
base,,,92.2,
base,,,,92.4
base,92.4,,,
base,,92.0,,
base,,,92.0,
base,,,,92.1
base,92.3,,,
base,,92.0,,
base,,,92.1,
base,,,,92.5
base,92.3,,,
base,,92.0,,
base,,,92.3,
base,,,,92.4
base,92.2,,,
base,,91.9,,
base,,,92.1,
base,,,,92.4
base,92.2,,,
base,,92.1,,
base,,,92.2,
base,,,,92.4
base,92.2,,,
base,,92.0,,
base,,,92.1,
base,,,,92.5
base,91.8,,,
base,,92.2,,
base,,,92.3,
base,,,,92.4
base,92.3,,,
base,,92.1,,
base,,,92.1,
base,,,,92.4
base,92.3,,,
base,,92.2,,
base,,,92.2,
base,,,,92.4
base,92.2,,,
base,,92.1,,
base,,,92.3,
base,,,,92.5
base,92.2,,,
base,,92.0,,
base,,,92.3,
base,,,,92.4
base,92.1,,,
base,,91.8,,
base,,,92.2,
base,,,,92.4
base,92.0,,,
base,,92.0,,
base,,,91.8,
base,,,,90.7
base,92.0,,,
base,,92.2,,
base,,,92.3,
base,,,,92.4
base,92.1,,,
base,,92.1,,
base,,,92.2,
base,,,,92.4
base,92.2,,,
base,,52.4,,
base,,,92.1,
base,,,,92.4
base,92.3,,,
base,,92.2,,
base,,,92.2,
base,,,,92.4
base,92.1,,,
base,,92.1,,
base,,,92.3,
base,,,,92.4
base,92.3,,,
base,,92.1,,
base,,,92.2,
base,,,,92.4
base,92.3,,,
base,,92.0,,
base,,,92.3,
base,,,,92.4
base,92.1,,,
base,,92.1,,
base,,,92.2,
base,,,,92.5
base,92.2,,,
base,,92.1,,
base,,,92.2,
base,,,,92.4
base,92.2,,,
base,,92.1,,
base,,,92.3,
base,,,,92.4
base,92.2,,,
base,,92.1,,
base,,,92.2,
base,,,,92.5
base,92.3,,,
base,,92.2,,
base,,,92.2,
base,,,,92.5
base,92.2,,,
base,,92.2,,
base,,,92.3,
base,,,,92.4
base,92.3,,,
base,,92.0,,
base,,,92.1,
base,,,,92.4
base,92.3,,,
base,,87.4,,
base,,,92.2,
base,,,,92.4
base,92.1,,,
base,,92.2,,
base,,,92.3,
base,,,,92.5
base,92.2,,,
base,,91.3,,
base,,,92.2,
base,,,,90.7
base,92.2,,,
base,,91.9,,
base,,,92.3,
base,,,,92.5
base,92.3,,,
base,,92.1,,
base,,,92.1,
base,,,,92.4
base,92.1,,,
base,,91.9,,
base,,,92.2,
base,,,,92.4
base,92.2,,,
base,,91.4,,
base,,,92.3,
base,,,,92.4
base,91.2,,,
base,,92.0,,
base,,,92.0,
base,,,,92.4
