case/step,DAC-MACS min,DAC-MACS max,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE amount,TAAC min,TAAC max,TAAC amount
encrypt,36.7734375,76.73828125,160,,,,,,,,,
setup,36.7734375,36.77734375,135,,,,,,,,,
authsetup,36.7734375,36.77734375,130,,,,,,,,,
keygen,36.7734375,36.7734375,57,,,,,,,,,
register,36.7734375,36.7734375,6,,,,,,,,,
decrypt,46.77734375,74.19140625,63,,,,,,,,,
encrypt,,,,36.7421875,71.85546875,161,,,,,,
setup,,,,36.7421875,36.7421875,154,,,,,,
authsetup,,,,36.7421875,36.74609375,42,,,,,,
keygen,,,,36.7421875,36.7421875,87,,,,,,
register,,,,36.7421875,36.7421875,5,,,,,,
decrypt,,,,56.75,90.9296875,49,,,,,,
encrypt,,,,,,,36.76953125,70.44921875,303,,,
setup,,,,,,,36.76953125,36.7734375,5,,,
authsetup,,,,,,,36.76953125,36.76953125,27,,,
keygen,,,,,,,36.76953125,36.7734375,173,,,
register,,,,,,,36.76953125,36.76953125,6,,,
decrypt,,,,,,,56.77734375,92.50390625,61,,,
encrypt,,,,,,,,,,37.6796875,71.18359375,225
setup,,,,,,,,,,37.65234375,37.65234375,108
authsetup,,,,,,,,,,37.62109375,37.65625,513
keygen,,,,,,,,,,37.6484375,37.6796875,424
register,,,,,,,,,,37.6484375,37.6484375,5
decrypt,,,,,,,,,,57.79296875,95.703125,132
encrypt,16.72265625,51.53125,192,,,,,,,,,
setup,36.73046875,36.734375,149,,,,,,,,,
authsetup,16.72265625,36.73046875,132,,,,,,,,,
keygen,16.72265625,16.72265625,57,,,,,,,,,
register,16.72265625,16.72265625,6,,,,,,,,,
decrypt,26.7265625,56.68359375,65,,,,,,,,,
encrypt,,,,36.7421875,70.90234375,225,,,,,,
setup,,,,36.7421875,36.7421875,106,,,,,,
authsetup,,,,36.7421875,36.74609375,43,,,,,,
keygen,,,,36.7421875,36.7421875,87,,,,,,
register,,,,36.7421875,36.7421875,5,,,,,,
decrypt,,,,56.75,92.94140625,48,,,,,,
encrypt,,,,,,,36.76953125,74.3515625,171,,,
setup,,,,,,,36.76953125,36.7734375,6,,,
authsetup,,,,,,,36.76953125,36.76953125,25,,,
keygen,,,,,,,36.76953125,36.7734375,175,,,
register,,,,,,,36.76953125,36.76953125,5,,,
decrypt,,,,,,,56.77734375,95.5234375,62,,,
encrypt,,,,,,,,,,37.86328125,70.0234375,195
setup,,,,,,,,,,57.84765625,57.84765625,57
authsetup,,,,,,,,,,37.8125,57.84765625,517
keygen,,,,,,,,,,37.828125,37.86328125,426
register,,,,,,,,,,37.828125,37.828125,5
decrypt,,,,,,,,,,57.98046875,90.29296875,129
encrypt,16.72265625,49.8984375,187,,,,,,,,,
setup,36.73046875,36.734375,142,,,,,,,,,
authsetup,16.72265625,36.73046875,130,,,,,,,,,
keygen,16.72265625,16.7265625,58,,,,,,,,,
register,16.72265625,16.72265625,6,,,,,,,,,
decrypt,26.7265625,55.2421875,63,,,,,,,,,
encrypt,,,,36.7421875,71.99609375,184,,,,,,
setup,,,,36.7421875,36.7421875,119,,,,,,
authsetup,,,,36.7421875,36.74609375,42,,,,,,
keygen,,,,36.7421875,36.7421875,86,,,,,,
register,,,,36.7421875,36.7421875,5,,,,,,
decrypt,,,,56.75,91.890625,47,,,,,,
encrypt,,,,,,,36.76953125,76.0234375,242,,,
setup,,,,,,,36.76953125,36.76953125,5,,,
authsetup,,,,,,,36.76953125,36.7734375,21,,,
keygen,,,,,,,36.76953125,36.7734375,174,,,
register,,,,,,,36.76953125,36.76953125,5,,,
decrypt,,,,,,,56.77734375,96.125,60,,,
encrypt,,,,,,,,,,37.6171875,75.34765625,279
