case/step,DAC-MACS min,DAC-MACS max,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE amount,TAAC min,TAAC max,TAAC amount
base,36.7734375,36.77734375,130,,,,,,,,,
base,,,,36.7421875,36.74609375,42,,,,,,
base,,,,,,,36.76953125,36.76953125,27,,,
base,,,,,,,,,,37.62109375,37.65625,513
base,16.72265625,36.73046875,132,,,,,,,,,
base,,,,36.7421875,36.74609375,43,,,,,,
base,,,,,,,36.76953125,36.76953125,25,,,
base,,,,,,,,,,37.8125,57.84765625,517
base,16.72265625,36.73046875,130,,,,,,,,,
base,,,,36.7421875,36.74609375,42,,,,,,
base,,,,,,,36.76953125,36.7734375,21,,,
base,,,,,,,,,,37.5625,37.59375,514
base,36.73046875,36.734375,128,,,,,,,,,
base,,,,36.7421875,36.74609375,41,,,,,,
base,,,,,,,36.76953125,36.7734375,21,,,
base,,,,,,,,,,57.80859375,57.85546875,511
base,36.73046875,36.734375,131,,,,,,,,,
base,,,,36.74609375,36.75,42,,,,,,
base,,,,,,,36.76953125,36.76953125,26,,,
base,,,,,,,,,,57.82421875,57.87890625,514
base,36.73046875,36.734375,130,,,,,,,,,
base,,,,36.7421875,36.7421875,42,,,,,,
base,,,,,,,36.76953125,36.76953125,27,,,
base,,,,,,,,,,57.8359375,57.87890625,513
base,36.73046875,36.734375,129,,,,,,,,,
base,,,,36.7421875,36.74609375,42,,,,,,
base,,,,,,,36.76953125,36.76953125,21,,,
base,,,,,,,,,,57.8203125,57.8671875,523
base,36.73046875,36.73046875,129,,,,,,,,,
base,,,,36.7421875,36.74609375,43,,,,,,
base,,,,,,,36.76953125,36.76953125,21,,,
base,,,,,,,,,,57.8203125,57.8671875,520
base,36.73046875,36.734375,131,,,,,,,,,
base,,,,36.71875,36.72265625,42,,,,,,
base,,,,,,,36.76953125,36.76953125,21,,,
base,,,,,,,,,,57.84375,57.890625,516
base,36.73046875,36.734375,130,,,,,,,,,
base,,,,36.74609375,36.75,43,,,,,,
base,,,,,,,36.76953125,36.7734375,26,,,
base,,,,,,,,,,57.8359375,57.8828125,511
base,36.73046875,36.734375,130,,,,,,,,,
base,,,,36.71875,36.72265625,42,,,,,,
base,,,,,,,36.76953125,36.76953125,16,,,
base,,,,,,,,,,57.80859375,57.85546875,506
base,36.73046875,36.734375,126,,,,,,,,,
base,,,,36.7421875,36.74609375,42,,,,,,
base,,,,,,,36.76953125,36.7734375,17,,,
base,,,,,,,,,,57.8125,57.85546875,507
base,36.73046875,36.734375,128,,,,,,,,,
base,,,,36.74609375,36.75,42,,,,,,
base,,,,,,,36.76953125,36.76953125,17,,,
base,,,,,,,,,,57.83203125,57.8828125,511
base,36.73046875,36.734375,126,,,,,,,,,
base,,,,36.71875,36.72265625,41,,,,,,
base,,,,,,,36.76953125,36.76953125,17,,,
base,,,,,,,,,,57.81640625,57.8671875,505
base,36.73046875,36.734375,128,,,,,,,,,
base,,,,36.74609375,36.75,42,,,,,,
base,,,,,,,36.76953125,36.76953125,18,,,
base,,,,,,,,,,57.828125,57.875,506
base,36.73046875,36.734375,128,,,,,,,,,
base,,,,36.71875,36.72265625,41,,,,,,
base,,,,,,,36.76953125,36.76953125,18,,,
base,,,,,,,,,,57.8203125,57.8671875,506
base,36.73046875,36.734375,128,,,,,,,,,
base,,,,36.7421875,36.74609375,42,,,,,,
base,,,,,,,36.76953125,36.76953125,16,,,
base,,,,,,,,,,57.8203125,57.8671875,506
base,36.73046875,36.73046875,128,,,,,,,,,
base,,,,36.7421875,36.74609375,41,,,,,,
base,,,,,,,36.76953125,36.76953125,19,,,
base,,,,,,,,,,57.80859375,57.85546875,504
base,36.73046875,36.734375,127,,,,,,,,,
base,,,,36.7421875,36.74609375,41,,,,,,
base,,,,,,,36.76953125,36.7734375,19,,,
base,,,,,,,,,,57.80859375,57.8515625,505
base,36.73046875,36.734375,128,,,,,,,,,
base,,,,36.71875,36.72265625,42,,,,,,
base,,,,,,,36.76953125,36.7734375,21,,,
base,,,,,,,,,,57.83203125,57.87890625,510
base,36.73046875,36.734375,126,,,,,,,,,
base,,,,36.71875,36.72265625,41,,,,,,
base,,,,,,,36.76953125,36.76953125,16,,,
base,,,,,,,,,,57.8359375,57.8828125,505
base,36.73046875,36.734375,127,,,,,,,,,
base,,,,36.74609375,36.75,42,,,,,,
base,,,,,,,36.76953125,36.76953125,25,,,
base,,,,,,,,,,57.83984375,57.88671875,504
base,36.73046875,36.734375,128,,,,,,,,,
base,,,,36.7421875,36.74609375,41,,,,,,
base,,,,,,,36.76953125,36.76953125,25,,,
base,,,,,,,,,,57.83203125,57.87890625,508
base,36.73046875,36.734375,129,,,,,,,,,
base,,,,36.71875,36.72265625,41,,,,,,
base,,,,,,,36.76953125,36.76953125,16,,,
base,,,,,,,,,,57.828125,57.875,505
base,36.73046875,36.73046875,128,,,,,,,,,
