case/step,DAC-MACS min,DAC-MACS max,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE amount,TAAC min,TAAC max,TAAC amount
base,46.77734375,74.19140625,63,,,,,,,,,
base,,,,56.75,90.9296875,49,,,,,,
base,,,,,,,56.77734375,92.50390625,61,,,
base,,,,,,,,,,57.79296875,95.703125,132
base,26.7265625,56.68359375,65,,,,,,,,,
base,,,,56.75,92.94140625,48,,,,,,
base,,,,,,,56.77734375,95.5234375,62,,,
base,,,,,,,,,,57.98046875,90.29296875,129
base,26.7265625,55.2421875,63,,,,,,,,,
base,,,,56.75,91.890625,47,,,,,,
base,,,,,,,56.77734375,96.125,60,,,
base,,,,,,,,,,57.734375,97.8671875,134
base,46.734375,71.875,63,,,,,,,,,
base,,,,56.75,89.11328125,47,,,,,,
base,,,,,,,56.77734375,91.2109375,62,,,
base,,,,,,,,,,67.90625,104.49609375,133
base,46.734375,68.7109375,62,,,,,,,,,
base,,,,56.75390625,93.7109375,48,,,,,,
base,,,,,,,46.7734375,69.828125,61,,,
base,,,,,,,,,,67.921875,100.97265625,131
base,46.734375,76.62109375,62,,,,,,,,,
base,,,,56.75,89.9375,48,,,,,,
base,,,,,,,46.7734375,71.4765625,61,,,
base,,,,,,,,,,67.9296875,101.98046875,130
base,46.734375,71.7265625,63,,,,,,,,,
base,,,,56.75,89.94140625,48,,,,,,
base,,,,,,,46.7734375,73.11328125,61,,,
base,,,,,,,,,,67.9140625,105.53125,131
base,46.734375,71.9921875,64,,,,,,,,,
base,,,,56.75,91.53515625,48,,,,,,
base,,,,,,,46.7734375,75.640625,61,,,
base,,,,,,,,,,67.9140625,106.59765625,131
base,46.734375,73.38671875,63,,,,,,,,,
base,,,,56.7265625,96.4765625,49,,,,,,
base,,,,,,,56.77734375,94.69921875,61,,,
base,,,,,,,,,,67.9375,102.28125,131
base,46.734375,74.2578125,63,,,,,,,,,
base,,,,56.75390625,94.25390625,48,,,,,,
base,,,,,,,56.77734375,92.0234375,61,,,
base,,,,,,,,,,67.9375,105.7578125,131
base,46.734375,74.83203125,63,,,,,,,,,
base,,,,56.7265625,92.68359375,48,,,,,,
base,,,,,,,46.7734375,70.84375,61,,,
base,,,,,,,,,,67.90625,102.40234375,129
base,46.734375,73.140625,60,,,,,,,,,
base,,,,56.75,94.09375,48,,,,,,
base,,,,,,,46.7734375,69.53125,61,,,
base,,,,,,,,,,67.90625,105.13671875,129
base,46.734375,68.6796875,62,,,,,,,,,
base,,,,56.75390625,93.96484375,47,,,,,,
base,,,,,,,46.7734375,70.85546875,60,,,
base,,,,,,,,,,67.9375,106.15234375,129
base,46.734375,71.24609375,62,,,,,,,,,
