case/step,DAC-MACS min,DAC-MACS max,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE amount,TAAC min,TAAC max,TAAC amount
base,36.7734375,76.73828125,160,,,,,,,,,
base,,,,36.7421875,71.85546875,161,,,,,,
base,,,,,,,36.76953125,70.44921875,303,,,
base,,,,,,,,,,37.6796875,71.18359375,225
base,16.72265625,51.53125,192,,,,,,,,,
base,,,,36.7421875,70.90234375,225,,,,,,
base,,,,,,,36.76953125,74.3515625,171,,,
base,,,,,,,,,,37.86328125,70.0234375,195
base,16.72265625,49.8984375,187,,,,,,,,,
base,,,,36.7421875,71.99609375,184,,,,,,
base,,,,,,,36.76953125,76.0234375,242,,,
base,,,,,,,,,,37.6171875,75.34765625,279
base,36.73046875,71.91015625,193,,,,,,,,,
base,,,,36.7421875,69.671875,138,,,,,,
base,,,,,,,36.76953125,75.1171875,187,,,
base,,,,,,,,,,57.87109375,97.66015625,296
base,36.73046875,74.08984375,193,,,,,,,,,
base,,,,36.74609375,74.46484375,107,,,,,,
base,,,,,,,36.76953125,74.3125,186,,,
base,,,,,,,,,,57.8984375,97.0390625,187
base,36.73046875,71.9296875,207,,,,,,,,,
base,,,,36.7421875,76.62109375,264,,,,,,
base,,,,,,,36.76953125,70.23046875,227,,,
base,,,,,,,,,,57.89453125,95.0,249
base,36.73046875,71.78515625,201,,,,,,,,,
base,,,,36.7421875,75.53515625,266,,,,,,
base,,,,,,,36.76953125,75.55859375,295,,,
base,,,,,,,,,,57.8828125,95.38671875,214
base,36.73046875,75.28125,219,,,,,,,,,
base,,,,36.7421875,74.55859375,132,,,,,,
base,,,,,,,36.76953125,76.32421875,211,,,
base,,,,,,,,,,57.8828125,92.86328125,185
base,36.73046875,71.984375,238,,,,,,,,,
base,,,,36.71875,73.93359375,212,,,,,,
base,,,,,,,36.76953125,71.01953125,178,,,
base,,,,,,,,,,57.90625,90.55078125,211
base,36.73046875,75.359375,208,,,,,,,,,
base,,,,36.74609375,75.3828125,189,,,,,,
base,,,,,,,36.76953125,69.625,262,,,
base,,,,,,,,,,57.90234375,93.12890625,183
base,36.73046875,75.6875,162,,,,,,,,,
base,,,,36.71875,74.6875,168,,,,,,
base,,,,,,,36.76953125,71.44140625,199,,,
base,,,,,,,,,,57.87109375,90.36328125,217
base,36.73046875,70.94921875,284,,,,,,,,,
base,,,,36.7421875,73.75,157,,,,,,
base,,,,,,,36.76953125,73.74609375,282,,,
base,,,,,,,,,,57.87109375,89.44921875,198
base,36.73046875,69.17578125,148,,,,,,,,,
base,,,,36.74609375,71.03125,137,,,,,,
base,,,,,,,36.76953125,73.83984375,316,,,
base,,,,,,,,,,57.8984375,97.62890625,264
base,36.73046875,74.609375,170,,,,,,,,,
base,,,,36.71875,72.98046875,203,,,,,,
base,,,,,,,36.76953125,74.80078125,185,,,
base,,,,,,,,,,57.8828125,97.1171875,206
base,36.73046875,71.984375,235,,,,,,,,,
base,,,,36.74609375,72.72265625,141,,,,,,
base,,,,,,,36.76953125,74.3046875,214,,,
base,,,,,,,,,,57.890625,94.87890625,293
base,36.73046875,76.58984375,248,,,,,,,,,
base,,,,36.71875,73.359375,142,,,,,,
base,,,,,,,36.76953125,72.76953125,218,,,
base,,,,,,,,,,57.8828125,93.5859375,185
base,36.73046875,74.96484375,189,,,,,,,,,
base,,,,36.7421875,73.3671875,155,,,,,,
base,,,,,,,36.76953125,72.35546875,223,,,
base,,,,,,,,,,57.8828125,95.9140625,205
base,36.73046875,72.453125,276,,,,,,,,,
base,,,,36.7421875,71.82421875,162,,,,,,
base,,,,,,,36.76953125,76.5390625,171,,,
base,,,,,,,,,,57.87109375,91.5390625,321
base,36.73046875,71.33203125,241,,,,,,,,,
base,,,,36.7421875,75.58203125,193,,,,,,
base,,,,,,,36.76953125,76.328125,229,,,
base,,,,,,,,,,57.8671875,96.1328125,246
base,36.73046875,76.375,145,,,,,,,,,
base,,,,36.71875,74.5546875,241,,,,,,
base,,,,,,,36.76953125,71.30859375,210,,,
base,,,,,,,,,,57.89453125,89.89453125,300
base,36.73046875,72.8515625,176,,,,,,,,,
base,,,,36.71875,75.89453125,395,,,,,,
base,,,,,,,36.76953125,70.95703125,224,,,
base,,,,,,,,,,57.8984375,90.69921875,237
base,36.73046875,74.93359375,178,,,,,,,,,
base,,,,36.74609375,74.0,189,,,,,,
base,,,,,,,36.76953125,70.546875,171,,,
base,,,,,,,,,,57.90625,93.171875,317
base,36.73046875,69.125,157,,,,,,,,,
base,,,,36.7421875,68.58203125,172,,,,,,
base,,,,,,,36.76953125,72.0859375,197,,,
base,,,,,,,,,,57.89453125,90.66015625,238
base,36.73046875,76.48046875,175,,,,,,,,,
base,,,,36.71875,73.97265625,237,,,,,,
base,,,,,,,36.76953125,68.79296875,185,,,
base,,,,,,,,,,57.890625,95.15625,235
base,36.73046875,74.67578125,151,,,,,,,,,
base,,,,36.7421875,71.55859375,136,,,,,,
base,,,,,,,36.76953125,74.875,179,,,
base,,,,,,,,,,57.88671875,89.40234375,186
base,36.73046875,72.62890625,175,,,,,,,,,
base,,,,36.71875,73.5234375,132,,,,,,
base,,,,,,,36.76953125,70.12890625,215,,,
base,,,,,,,,,,57.88671875,97.63671875,274
base,36.73046875,70.7265625,147,,,,,,,,,
base,,,,36.7421875,69.703125,116,,,,,,
base,,,,,,,36.76953125,69.1015625,289,,,
base,,,,,,,,,,57.8828125,94.48828125,259
base,36.73046875,76.54296875,179,,,,,,,,,
base,,,,36.7421875,74.3359375,122,,,,,,
base,,,,,,,36.76953125,68.5703125,319,,,
base,,,,,,,,,,57.890625,95.8671875,298
base,36.73046875,73.984375,254,,,,,,,,,
base,,,,36.7421875,75.890625,185,,,,,,
base,,,,,,,36.76953125,69.91796875,201,,,
base,,,,,,,,,,57.91796875,90.33203125,197
base,36.73046875,70.65234375,180,,,,,,,,,
base,,,,36.71875,71.97265625,138,,,,,,
base,,,,,,,36.76953125,75.41796875,611,,,
base,,,,,,,,,,57.87109375,92.94140625,202
base,36.73046875,74.1015625,167,,,,,,,,,
base,,,,36.7421875,75.03125,188,,,,,,
base,,,,,,,36.76953125,75.1015625,231,,,
base,,,,,,,,,,57.890625,94.1484375,254
base,36.73046875,74.81640625,306,,,,,,,,,
base,,,,36.71875,74.7265625,128,,,,,,
base,,,,,,,36.76953125,75.5546875,321,,,
base,,,,,,,,,,57.8828125,90.375,294
base,36.73046875,68.0859375,284,,,,,,,,,
base,,,,36.71875,71.29296875,184,,,,,,
base,,,,,,,36.76953125,71.375,218,,,
base,,,,,,,,,,57.921875,96.27734375,223
base,36.73046875,74.6171875,170,,,,,,,,,
base,,,,36.7421875,75.7578125,244,,,,,,
base,,,,,,,36.76953125,74.58984375,164,,,
base,,,,,,,,,,57.91015625,90.02734375,290
base,36.73046875,71.19921875,278,,,,,,,,,
base,,,,36.7421875,69.6171875,157,,,,,,
base,,,,,,,36.76953125,75.54296875,242,,,
base,,,,,,,,,,57.88671875,94.4140625,302
base,36.73046875,69.67578125,238,,,,,,,,,
base,,,,36.7421875,71.66796875,262,,,,,,
base,,,,,,,36.76953125,71.5,202,,,
base,,,,,,,,,,57.875,97.13671875,242
base,36.73046875,73.49609375,219,,,,,,,,,
base,,,,36.71875,68.953125,135,,,,,,
base,,,,,,,36.76953125,71.74609375,190,,,
base,,,,,,,,,,57.87890625,93.57421875,241
base,36.73046875,70.55859375,224,,,,,,,,,
base,,,,36.7421875,73.4765625,145,,,,,,
base,,,,,,,36.76953125,76.15234375,264,,,
base,,,,,,,,,,57.87109375,96.78125,219
base,36.73046875,71.796875,155,,,,,,,,,
base,,,,36.7421875,75.140625,217,,,,,,
base,,,,,,,36.76953125,69.4296875,321,,,
base,,,,,,,,,,57.875,92.05859375,202
base,36.73046875,72.62890625,242,,,,,,,,,
base,,,,36.71875,76.56640625,132,,,,,,
base,,,,,,,36.76953125,72.0234375,200,,,
base,,,,,,,,,,57.875,93.08203125,229
base,36.73046875,76.0625,180,,,,,,,,,
base,,,,36.7421875,71.1953125,219,,,,,,
base,,,,,,,36.76953125,76.5,172,,,
base,,,,,,,,,,57.88671875,91.03125,224
base,36.73046875,69.55078125,299,,,,,,,,,
base,,,,36.71875,74.3359375,196,,,,,,
base,,,,,,,36.76953125,75.890625,217,,,
base,,,,,,,,,,57.890625,90.9140625,224
base,36.73046875,69.984375,223,,,,,,,,,
base,,,,36.7421875,71.6015625,119,,,,,,
base,,,,,,,36.76953125,75.66796875,228,,,
base,,,,,,,,,,57.88671875,92.97265625,189
base,36.73046875,72.32421875,229,,,,,,,,,
base,,,,36.7421875,69.5234375,165,,,,,,
base,,,,,,,36.76953125,71.8984375,176,,,
base,,,,,,,,,,57.88671875,93.14453125,190
base,36.73046875,76.45703125,144,,,,,,,,,
base,,,,36.71875,69.4765625,335,,,,,,
base,,,,,,,36.76953125,69.140625,229,,,
base,,,,,,,,,,57.8984375,91.20703125,289
base,36.73046875,71.5234375,301,,,,,,,,,
base,,,,36.7421875,73.68359375,117,,,,,,
base,,,,,,,36.76953125,69.22265625,199,,,
base,,,,,,,,,,57.8828125,93.59375,197
base,36.73046875,71.30078125,196,,,,,,,,,
base,,,,36.7421875,73.71484375,129,,,,,,
base,,,,,,,36.76953125,70.3671875,238,,,
base,,,,,,,,,,57.875,96.1328125,251
base,36.73046875,72.1484375,218,,,,,,,,,
base,,,,36.74609375,76.75,135,,,,,,
base,,,,,,,36.76953125,72.0234375,204,,,
base,,,,,,,,,,57.86328125,90.40625,214
base,36.73046875,72.43359375,176,,,,,,,,,
base,,,,36.71875,69.19140625,233,,,,,,
base,,,,,,,36.76953125,68.5625,199,,,
base,,,,,,,,,,57.88671875,93.34375,193
base,36.73046875,71.1640625,200,,,,,,,,,
base,,,,36.7421875,76.12890625,182,,,,,,
base,,,,,,,36.76953125,69.1328125,267,,,
base,,,,,,,,,,57.90234375,89.96875,232
base,36.73046875,71.40625,153,,,,,,,,,
base,,,,36.71875,74.109375,184,,,,,,
base,,,,,,,36.76953125,68.6796875,168,,,
base,,,,,,,,,,57.88671875,91.28125,244
base,36.73046875,76.66796875,188,,,,,,,,,
base,,,,36.7421875,74.453125,134,,,,,,
base,,,,,,,36.76953125,68.84375,168,,,
base,,,,,,,,,,57.87109375,92.71875,193
base,36.73046875,73.18359375,166,,,,,,,,,
base,,,,36.7421875,73.73046875,274,,,,,,
base,,,,,,,36.76953125,70.6328125,184,,,
base,,,,,,,,,,57.87890625,95.515625,220
base,36.73046875,75.3359375,172,,,,,,,,,
base,,,,36.7421875,75.6796875,152,,,,,,
base,,,,,,,36.76953125,75.6875,199,,,
base,,,,,,,,,,57.90625,95.22265625,312
base,36.73046875,76.70703125,182,,,,,,,,,
base,,,,36.7421875,70.01171875,157,,,,,,
base,,,,,,,36.76953125,75.046875,193,,,
base,,,,,,,,,,57.8984375,97.734375,298
base,36.73046875,74.86328125,190,,,,,,,,,
base,,,,36.71875,73.39453125,145,,,,,,
base,,,,,,,36.76953125,71.94921875,193,,,
base,,,,,,,,,,57.875,95.109375,244
base,36.73046875,72.9921875,219,,,,,,,,,
base,,,,36.7421875,68.890625,151,,,,,,
base,,,,,,,36.76953125,75.26171875,241,,,
base,,,,,,,,,,57.88671875,96.48046875,301
base,36.73046875,74.3203125,246,,,,,,,,,
base,,,,36.7421875,72.328125,179,,,,,,
base,,,,,,,36.76953125,75.27734375,251,,,
base,,,,,,,,,,57.88671875,95.44921875,279
base,36.73046875,68.2109375,256,,,,,,,,,
base,,,,36.7421875,69.99609375,312,,,,,,
base,,,,,,,36.76953125,72.3515625,171,,,
base,,,,,,,,,,57.87890625,97.43359375,267
base,36.73046875,69.1796875,240,,,,,,,,,
base,,,,36.7421875,76.3671875,167,,,,,,
base,,,,,,,36.76953125,76.5078125,272,,,
base,,,,,,,,,,57.87109375,90.58984375,256
base,36.73046875,72.61328125,245,,,,,,,,,
base,,,,36.7421875,76.640625,170,,,,,,
base,,,,,,,36.76953125,71.5390625,277,,,
base,,,,,,,,,,57.875,95.56640625,230
base,36.73046875,71.9375,145,,,,,,,,,
base,,,,36.7421875,74.25,184,,,,,,
base,,,,,,,36.76953125,69.8984375,201,,,
base,,,,,,,,,,57.8671875,90.58203125,293
base,36.73046875,68.70703125,163,,,,,,,,,
base,,,,36.7421875,69.93359375,134,,,,,,
base,,,,,,,36.76953125,73.97265625,255,,,
base,,,,,,,,,,57.8984375,90.453125,228
base,36.73046875,73.19921875,196,,,,,,,,,
base,,,,36.7421875,73.99609375,143,,,,,,
base,,,,,,,36.76953125,71.64453125,196,,,
base,,,,,,,,,,57.87890625,93.578125,223
base,36.73046875,70.41015625,147,,,,,,,,,
base,,,,36.71875,73.6640625,165,,,,,,
base,,,,,,,36.76953125,70.0234375,265,,,
base,,,,,,,,,,57.8828125,95.5625,241
base,36.73046875,70.90625,249,,,,,,,,,
base,,,,36.7421875,73.35546875,144,,,,,,
base,,,,,,,36.76953125,69.7265625,173,,,
base,,,,,,,,,,57.9296875,93.23828125,374
base,36.73046875,71.671875,209,,,,,,,,,
base,,,,36.71875,75.28515625,118,,,,,,
base,,,,,,,36.76953125,71.13671875,216,,,
base,,,,,,,,,,57.88671875,94.5078125,201
base,36.73046875,70.6328125,193,,,,,,,,,
base,,,,36.71875,75.7578125,192,,,,,,
base,,,,,,,36.76953125,75.453125,306,,,
base,,,,,,,,,,57.890625,91.15625,254
base,36.73046875,71.0,145,,,,,,,,,
base,,,,36.71875,68.203125,135,,,,,,
base,,,,,,,36.76953125,72.43359375,187,,,
base,,,,,,,,,,57.8828125,90.52734375,253
base,36.73046875,75.79296875,164,,,,,,,,,
base,,,,36.7421875,72.36328125,196,,,,,,
base,,,,,,,36.76953125,75.66796875,240,,,
base,,,,,,,,,,57.8984375,93.70703125,211
base,36.73046875,73.1796875,228,,,,,,,,,
base,,,,36.7421875,75.41796875,155,,,,,,
base,,,,,,,36.76953125,68.2578125,188,,,
base,,,,,,,,,,57.90625,96.36328125,275
base,36.73046875,71.4296875,198,,,,,,,,,
base,,,,36.71875,74.72265625,152,,,,,,
base,,,,,,,36.76953125,72.515625,194,,,
base,,,,,,,,,,57.87109375,96.375,236
base,36.73046875,70.1640625,182,,,,,,,,,
base,,,,36.7421875,73.52734375,178,,,,,,
base,,,,,,,36.76953125,71.1328125,246,,,
base,,,,,,,,,,57.87890625,90.6171875,272
base,36.73046875,71.1484375,295,,,,,,,,,
base,,,,36.7421875,74.578125,188,,,,,,
base,,,,,,,36.76953125,69.44140625,195,,,
base,,,,,,,,,,57.890625,90.70703125,180
base,36.73046875,75.578125,160,,,,,,,,,
base,,,,36.71875,73.16796875,172,,,,,,
base,,,,,,,36.76953125,74.62109375,192,,,
base,,,,,,,,,,57.8984375,94.98046875,217
base,36.73046875,70.3671875,326,,,,,,,,,
base,,,,36.7421875,71.0234375,159,,,,,,
base,,,,,,,36.76953125,68.84375,201,,,
base,,,,,,,,,,57.890625,96.8203125,286
base,36.73046875,75.53125,173,,,,,,,,,
base,,,,36.7421875,71.99609375,158,,,,,,
base,,,,,,,36.76953125,73.05078125,256,,,
base,,,,,,,,,,57.91015625,91.94921875,212
base,36.73046875,73.33984375,162,,,,,,,,,
base,,,,36.7421875,68.66015625,192,,,,,,
