case/step,DAC-MACS min,DAC-MACS max,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE amount,TAAC min,TAAC max,TAAC amount
base,36.7734375,36.7734375,57,,,,,,,,,
base,,,,36.7421875,36.7421875,87,,,,,,
base,,,,,,,36.76953125,36.7734375,173,,,
base,,,,,,,,,,37.6484375,37.6796875,424
base,16.72265625,16.72265625,57,,,,,,,,,
base,,,,36.7421875,36.7421875,87,,,,,,
base,,,,,,,36.76953125,36.7734375,175,,,
base,,,,,,,,,,37.828125,37.86328125,426
base,16.72265625,16.7265625,58,,,,,,,,,
base,,,,36.7421875,36.7421875,86,,,,,,
base,,,,,,,36.76953125,36.7734375,174,,,
base,,,,,,,,,,37.5859375,37.6171875,416
base,36.73046875,36.73046875,56,,,,,,,,,
base,,,,36.7421875,36.7421875,87,,,,,,
base,,,,,,,36.76953125,36.76953125,177,,,
base,,,,,,,,,,57.859375,57.87109375,413
base,36.73046875,36.734375,56,,,,,,,,,
base,,,,36.74609375,36.74609375,87,,,,,,
base,,,,,,,36.76953125,36.76953125,177,,,
base,,,,,,,,,,57.8828125,57.8984375,415
base,36.73046875,36.734375,57,,,,,,,,,
base,,,,36.7421875,36.7421875,87,,,,,,
base,,,,,,,36.76953125,36.7734375,176,,,
base,,,,,,,,,,57.8828125,57.89453125,421
base,36.73046875,36.73046875,57,,,,,,,,,
base,,,,36.7421875,36.7421875,87,,,,,,
base,,,,,,,36.76953125,36.7734375,176,,,
base,,,,,,,,,,57.87109375,57.8828125,424
base,36.73046875,36.73046875,56,,,,,,,,,
base,,,,36.7421875,36.7421875,88,,,,,,
base,,,,,,,36.76953125,36.7734375,177,,,
base,,,,,,,,,,57.87109375,57.8828125,425
base,36.73046875,36.73046875,58,,,,,,,,,
base,,,,36.71875,36.71875,87,,,,,,
base,,,,,,,36.76953125,36.76953125,176,,,
base,,,,,,,,,,57.89453125,57.90625,419
base,36.73046875,36.73046875,59,,,,,,,,,
base,,,,36.74609375,36.74609375,87,,,,,,
base,,,,,,,36.76953125,36.7734375,177,,,
base,,,,,,,,,,57.88671875,57.90234375,419
base,36.73046875,36.73046875,57,,,,,,,,,
base,,,,36.71875,36.71875,88,,,,,,
base,,,,,,,36.76953125,36.7734375,179,,,
base,,,,,,,,,,57.859375,57.87109375,421
base,36.73046875,36.73046875,55,,,,,,,,,
base,,,,36.7421875,36.7421875,86,,,,,,
base,,,,,,,36.76953125,36.7734375,173,,,
base,,,,,,,,,,57.859375,57.87109375,412
base,36.73046875,36.73046875,56,,,,,,,,,
base,,,,36.74609375,36.74609375,86,,,,,,
base,,,,,,,36.76953125,36.76953125,173,,,
base,,,,,,,,,,57.88671875,57.8984375,414
base,36.73046875,36.73046875,56,,,,,,,,,
base,,,,36.71875,36.71875,86,,,,,,
base,,,,,,,36.76953125,36.7734375,173,,,
base,,,,,,,,,,57.87109375,57.8828125,413
base,36.73046875,36.73046875,56,,,,,,,,,
base,,,,36.74609375,36.74609375,86,,,,,,
base,,,,,,,36.76953125,36.7734375,174,,,
base,,,,,,,,,,57.87890625,57.890625,414
base,36.73046875,36.73046875,56,,,,,,,,,
base,,,,36.71875,36.71875,86,,,,,,
base,,,,,,,36.76953125,36.7734375,171,,,
base,,,,,,,,,,57.87109375,57.8828125,413
base,36.73046875,36.73046875,55,,,,,,,,,
base,,,,36.7421875,36.7421875,86,,,,,,
base,,,,,,,36.76953125,36.7734375,172,,,
base,,,,,,,,,,57.87109375,57.8828125,411
base,36.73046875,36.73046875,55,,,,,,,,,
base,,,,36.7421875,36.7421875,86,,,,,,
base,,,,,,,36.76953125,36.76953125,169,,,
base,,,,,,,,,,57.859375,57.87109375,419
base,36.73046875,36.73046875,54,,,,,,,,,
base,,,,36.7421875,36.7421875,87,,,,,,
base,,,,,,,36.76953125,36.7734375,173,,,
base,,,,,,,,,,57.85546875,57.8671875,419
base,36.73046875,36.73046875,56,,,,,,,,,
base,,,,36.71875,36.71875,85,,,,,,
base,,,,,,,36.76953125,36.7734375,171,,,
base,,,,,,,,,,57.8828125,57.89453125,412
base,36.73046875,36.73046875,55,,,,,,,,,
base,,,,36.71875,36.71875,86,,,,,,
base,,,,,,,36.76953125,36.7734375,171,,,
base,,,,,,,,,,57.88671875,57.8984375,413
base,36.73046875,36.73046875,56,,,,,,,,,
base,,,,36.74609375,36.74609375,85,,,,,,
base,,,,,,,36.76953125,36.7734375,171,,,
base,,,,,,,,,,57.890625,57.90625,415
base,36.73046875,36.73046875,56,,,,,,,,,
base,,,,36.7421875,36.7421875,86,,,,,,
base,,,,,,,36.76953125,36.7734375,171,,,
base,,,,,,,,,,57.8828125,57.89453125,419
base,36.73046875,36.73046875,55,,,,,,,,,
base,,,,36.71875,36.71875,87,,,,,,
base,,,,,,,36.76953125,36.76953125,173,,,
base,,,,,,,,,,57.87890625,57.890625,421
base,36.73046875,36.73046875,56,,,,,,,,,
base,,,,36.7421875,36.7421875,86,,,,,,
base,,,,,,,36.76953125,36.76953125,173,,,
base,,,,,,,,,,57.875,57.88671875,415
base,36.73046875,36.73046875,55,,,,,,,,,
base,,,,36.71875,36.71875,87,,,,,,
base,,,,,,,36.76953125,36.7734375,172,,,
base,,,,,,,,,,57.875,57.88671875,421
base,36.73046875,36.73046875,56,,,,,,,,,
base,,,,36.7421875,36.7421875,85,,,,,,
base,,,,,,,36.76953125,36.7734375,172,,,
base,,,,,,,,,,57.87109375,57.8828125,419
base,36.73046875,36.73046875,55,,,,,,,,,
base,,,,36.7421875,36.7421875,87,,,,,,
base,,,,,,,36.76953125,36.7734375,171,,,
base,,,,,,,,,,57.87890625,57.890625,414
base,36.73046875,36.73046875,57,,,,,,,,,
base,,,,36.7421875,36.7421875,86,,,,,,
base,,,,,,,36.76953125,36.7734375,170,,,
base,,,,,,,,,,57.90625,57.91796875,415
base,36.73046875,36.734375,56,,,,,,,,,
base,,,,36.71875,36.71875,86,,,,,,
base,,,,,,,36.76953125,36.7734375,171,,,
base,,,,,,,,,,57.859375,57.87109375,417
base,36.73046875,36.73046875,55,,,,,,,,,
base,,,,36.7421875,36.7421875,86,,,,,,
base,,,,,,,36.76953125,36.7734375,171,,,
base,,,,,,,,,,57.87890625,57.890625,414
base,36.73046875,36.73046875,57,,,,,,,,,
base,,,,36.71875,36.71875,85,,,,,,
base,,,,,,,36.76953125,36.7734375,171,,,
base,,,,,,,,,,57.87109375,57.8828125,416
base,36.73046875,36.73046875,56,,,,,,,,,
base,,,,36.71875,36.71875,86,,,,,,
base,,,,,,,36.76953125,36.7734375,170,,,
base,,,,,,,,,,57.91015625,57.921875,420
base,36.73046875,36.734375,56,,,,,,,,,
base,,,,36.7421875,36.7421875,86,,,,,,
base,,,,,,,36.76953125,36.7734375,172,,,
base,,,,,,,,,,57.89453125,57.91015625,416
base,36.73046875,36.73046875,56,,,,,,,,,
base,,,,36.7421875,36.7421875,85,,,,,,
base,,,,,,,36.76953125,36.76953125,172,,,
base,,,,,,,,,,57.875,57.88671875,414
base,36.73046875,36.73046875,55,,,,,,,,,
base,,,,36.7421875,36.7421875,87,,,,,,
base,,,,,,,36.76953125,36.76953125,171,,,
base,,,,,,,,,,57.8671875,57.875,413
base,36.73046875,36.734375,56,,,,,,,,,
base,,,,36.71875,36.71875,85,,,,,,
base,,,,,,,36.76953125,36.7734375,171,,,
base,,,,,,,,,,57.8671875,57.87890625,413
base,36.73046875,36.73046875,56,,,,,,,,,
base,,,,36.7421875,36.7421875,85,,,,,,
base,,,,,,,36.76953125,36.7734375,171,,,
base,,,,,,,,,,57.86328125,57.87109375,411
base,36.73046875,36.73046875,56,,,,,,,,,
base,,,,36.7421875,36.7421875,85,,,,,,
base,,,,,,,36.76953125,36.7734375,172,,,
base,,,,,,,,,,57.8671875,57.875,410
base,36.73046875,36.73046875,56,,,,,,,,,
base,,,,36.71875,36.71875,85,,,,,,
base,,,,,,,36.76953125,36.7734375,171,,,
base,,,,,,,,,,57.8671875,57.875,417
base,36.73046875,36.73046875,56,,,,,,,,,
base,,,,36.7421875,36.7421875,86,,,,,,
base,,,,,,,36.76953125,36.7734375,172,,,
base,,,,,,,,,,57.87890625,57.88671875,412
base,36.73046875,36.73046875,56,,,,,,,,,
base,,,,36.71875,36.71875,85,,,,,,
base,,,,,,,36.76953125,36.7734375,171,,,
base,,,,,,,,,,57.8828125,57.890625,412
base,36.73046875,36.73046875,55,,,,,,,,,
base,,,,36.7421875,36.7421875,86,,,,,,
base,,,,,,,36.76953125,36.7734375,173,,,
base,,,,,,,,,,57.87890625,57.88671875,414
base,36.73046875,36.734375,57,,,,,,,,,
base,,,,36.7421875,36.7421875,86,,,,,,
base,,,,,,,36.76953125,36.7734375,172,,,
base,,,,,,,,,,57.875,57.88671875,422
base,36.73046875,36.73046875,57,,,,,,,,,
base,,,,36.71875,36.71875,86,,,,,,
base,,,,,,,36.76953125,36.76953125,170,,,
base,,,,,,,,,,57.8828125,57.8984375,415
base,36.73046875,36.73046875,56,,,,,,,,,
base,,,,36.7421875,36.7421875,85,,,,,,
