case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
base,40,,,
base,,40,,
base,,,40,
base,,,,40
