case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
base,,,,2363
