case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
base,,316,,
base,,,316,
base,,,,316
base,697,,,
