case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
base,385,,,
