case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,5.372917999999999,,,
base,,8.282278,,
base,,,16.905119999999997,
base,,,,41.699262
base,5.217657,,,
base,,8.258401,,
base,,,16.81233,
base,,,,41.576764
base,5.260936,,,
base,,8.277298,,
base,,,16.836919,
base,,,,41.276973
base,5.1898919999999995,,,
base,,8.510786,,
base,,,16.780363,
base,,,,41.810286
base,5.203734,,,
base,,8.255032,,
base,,,16.830236999999997,
base,,,,42.06199099999999
base,5.211984999999999,,,
base,,8.389807,,
base,,,16.850231,
base,,,,41.16715
base,5.166415,,,
base,,8.230011999999999,,
base,,,16.909425,
base,,,,41.500429
base,5.303272,,,
base,,8.265084,,
base,,,17.692929,
base,,,,41.820288
base,5.282992,,,
base,,8.312555,,
base,,,17.240459,
base,,,,42.28309899999999
base,5.343508,,,
base,,8.278144000000001,,
base,,,16.959291,
base,,,,41.304367
base,5.218023,,,
base,,8.629940999999999,,
base,,,16.998314999999998,
base,,,,40.672489999999996
base,5.1596720000000005,,,
base,,8.180489999999999,,
base,,,16.727618,
base,,,,41.778148
base,5.107934,,,
base,,8.168228,,
base,,,16.72577,
base,,,,40.686676999999996
base,5.1659999999999995,,,
base,,8.179711999999999,,
base,,,16.710708,
base,,,,40.72096
base,5.175037,,,
base,,8.15334,,
base,,,16.725057,
base,,,,41.681148
base,5.141366,,,
base,,8.182412,,
base,,,16.738861999999997,
base,,,,40.849952
base,5.197495,,,
base,,8.151039999999998,,
base,,,16.728654,
base,,,,40.931743
base,5.17033,,,
base,,8.162613,,
base,,,16.754558,
base,,,,41.602092
base,5.175904,,,
base,,8.144300000000001,,
base,,,16.724667999999998,
base,,,,40.81878
base,5.162352,,,
base,,8.148451,,
base,,,16.702308,
base,,,,40.772346
base,5.167669999999999,,,
base,,8.207479,,
base,,,16.781489999999998,
base,,,,41.172129999999996
base,5.196357,,,
base,,8.200126,,
base,,,16.851529999999997,
base,,,,40.87661799999999
base,5.191167999999999,,,
base,,8.179463,,
base,,,16.6871,
base,,,,40.823796
base,5.1239539999999995,,,
base,,8.150775,,
base,,,16.708146999999997,
base,,,,40.744040999999996
base,5.202425,,,
base,,8.134292,,
base,,,16.670803999999997,
base,,,,40.826532
base,5.20068,,,
base,,8.162959,,
base,,,16.70864,
base,,,,40.783013
base,5.123309,,,
base,,8.202435,,
base,,,16.796307,
base,,,,40.893487
base,5.161230999999999,,,
base,,8.175373,,
base,,,16.744416,
base,,,,40.834086
base,5.168012,,,
base,,8.177852,,
base,,,16.688902,
base,,,,40.988479999999996
base,5.147182,,,
base,,8.152961999999999,,
base,,,16.679308,
base,,,,40.614644999999996
base,5.135699,,,
base,,8.160433999999999,,
base,,,16.744771,
base,,,,40.805257
base,5.161798999999999,,,
base,,8.158994999999999,,
base,,,16.767879,
base,,,,40.880977
base,5.174334999999999,,,
base,,8.155248,,
base,,,16.785781,
base,,,,41.530417
base,5.158239999999999,,,
base,,8.151071,,
base,,,16.601067,
