case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,0.29939,,,
base,,0.00015299999999999998,,
base,,,0.000254,
base,,,,0.00015099999999999998
base,0.303992,,,
base,,0.000204,,
base,,,0.000208,
base,,,,0.00015699999999999997
base,0.304203,,,
base,,0.000211,,
base,,,0.000213,
base,,,,0.000158
base,0.30739299999999997,,,
base,,0.00020399999999999997,,
base,,,0.000204,
base,,,,0.00015
base,0.298937,,,
base,,0.000207,,
base,,,0.000205,
base,,,,0.00015499999999999997
base,0.30343,,,
base,,0.000211,,
base,,,0.00020199999999999998,
base,,,,0.00015699999999999997
base,0.297021,,,
base,,0.000199,,
base,,,0.000207,
base,,,,0.00015
base,0.29989599999999994,,,
base,,0.000203,,
base,,,0.000209,
base,,,,0.000147
base,0.31518399999999996,,,
base,,0.000204,,
base,,,0.000207,
base,,,,0.00015499999999999997
base,0.31625499999999995,,,
base,,0.00020399999999999997,,
base,,,0.000204,
base,,,,0.000149
base,0.307459,,,
base,,0.00021099999999999998,,
base,,,0.000206,
base,,,,0.000192
base,0.29887699999999995,,,
base,,0.000211,,
base,,,0.000216,
base,,,,0.00015999999999999999
base,0.2899,,,
base,,0.000207,,
base,,,0.000316,
base,,,,0.000146
base,0.289709,,,
base,,0.00020599999999999997,,
base,,,0.000203,
base,,,,0.00015299999999999998
base,0.299973,,,
base,,0.00019899999999999999,,
base,,,0.00019899999999999999,
base,,,,0.000147
base,0.29828699999999997,,,
base,,0.000196,,
base,,,0.00021,
base,,,,0.00015099999999999998
base,0.29933,,,
base,,0.00019699999999999996,,
base,,,0.000199,
base,,,,0.00015299999999999998
base,0.297195,,,
base,,0.000197,,
base,,,0.00020599999999999997,
base,,,,0.000156
base,0.291307,,,
base,,0.000212,,
base,,,0.000207,
base,,,,0.00014299999999999998
base,0.29068499999999997,,,
base,,0.000312,,
base,,,0.000203,
base,,,,0.000176
base,0.297961,,,
base,,0.000201,,
base,,,0.00019999999999999998,
base,,,,0.000157
base,0.305111,,,
base,,0.00020599999999999997,,
base,,,0.00019499999999999997,
base,,,,0.000149
base,0.304897,,,
base,,0.00020299999999999997,,
base,,,0.0015239999999999997,
base,,,,0.00015
base,0.303169,,,
base,,0.00020499999999999997,,
base,,,0.00020199999999999998,
base,,,,0.000161
base,0.30308199999999996,,,
base,,0.000203,,
base,,,0.000198,
base,,,,0.000277
base,0.29896199999999995,,,
base,,0.00020199999999999998,,
base,,,0.000198,
base,,,,0.000158
base,0.29544099999999995,,,
base,,0.000319,,
base,,,0.000201,
base,,,,0.00015399999999999998
base,0.298431,,,
base,,0.000211,,
base,,,0.000205,
base,,,,0.00015099999999999998
base,0.304166,,,
base,,0.000213,,
base,,,0.000206,
base,,,,0.00015299999999999998
base,0.29291599999999995,,,
base,,0.00019999999999999998,,
base,,,0.00020899999999999998,
base,,,,0.00014
base,0.30350499999999997,,,
base,,0.000214,,
base,,,0.000203,
base,,,,0.00015299999999999998
base,0.299685,,,
base,,0.000212,,
base,,,0.000203,
base,,,,0.000153
base,0.293844,,,
base,,0.00020599999999999997,,
base,,,0.000197,
base,,,,0.000148
base,0.299606,,,
base,,0.000211,,
base,,,0.00020199999999999998,
base,,,,0.000147
base,0.298064,,,
base,,0.000212,,
base,,,0.00019999999999999998,
base,,,,0.00015599999999999997
base,0.304048,,,
base,,0.000212,,
base,,,0.000201,
base,,,,0.00015
base,0.300203,,,
base,,0.00020800000000000001,,
base,,,0.000207,
base,,,,0.000158
base,0.297405,,,
base,,0.000196,,
base,,,0.000207,
base,,,,0.00014499999999999997
base,0.298941,,,
base,,0.000213,,
base,,,0.000204,
base,,,,0.000157
base,0.305475,,,
base,,0.000211,,
base,,,0.00019099999999999998,
base,,,,0.000148
base,0.299022,,,
base,,0.000211,,
base,,,0.000203,
base,,,,0.00015
base,0.300945,,,
base,,0.000211,,
base,,,0.00020399999999999997,
base,,,,0.00014399999999999998
base,0.29917,,,
base,,0.000216,,
base,,,0.00019999999999999998,
base,,,,0.00014800000000000002
base,0.296335,,,
base,,0.00019899999999999999,,
base,,,0.000199,
base,,,,0.000147
base,0.30261399999999994,,,
base,,0.00021,,
base,,,0.00020099999999999998,
base,,,,0.000149
base,0.303689,,,
base,,0.00020399999999999997,,
base,,,0.000203,
base,,,,0.00016
base,0.289827,,,
base,,0.000198,,
base,,,0.00020399999999999997,
base,,,,0.00015499999999999997
base,0.291133,,,
base,,0.000209,,
base,,,0.00019599999999999997,
base,,,,0.00015299999999999998
base,0.29230599999999995,,,
base,,0.00019999999999999998,,
base,,,0.000207,
base,,,,0.000147
base,0.288611,,,
base,,0.00032199999999999997,,
base,,,0.000201,
base,,,,0.00015299999999999998
base,0.29742999999999997,,,
base,,0.000219,,
base,,,0.000199,
base,,,,0.00014499999999999997
base,0.29668799999999995,,,
base,,0.00020099999999999998,,
base,,,0.000209,
base,,,,0.000147
base,0.297914,,,
base,,0.000207,,
base,,,0.00019099999999999998,
base,,,,0.000162
base,0.30234799999999995,,,
base,,0.00021999999999999998,,
base,,,0.00043599999999999997,
base,,,,0.00015099999999999998
base,0.302713,,,
base,,0.00020800000000000001,,
base,,,0.00019899999999999999,
base,,,,0.00014800000000000002
base,0.301235,,,
base,,0.00020399999999999997,,
base,,,0.00020199999999999998,
base,,,,0.00015
base,0.292636,,,
base,,0.000213,,
base,,,0.000201,
base,,,,0.00014599999999999997
base,0.300932,,,
base,,0.00020499999999999997,,
base,,,0.00020399999999999997,
base,,,,0.00026399999999999997
base,0.302921,,,
base,,0.000207,,
base,,,0.00020499999999999997,
base,,,,0.00016199999999999998
base,0.29837400000000003,,,
base,,0.00020199999999999998,,
base,,,0.00033099999999999997,
base,,,,0.000151
base,0.297867,,,
base,,0.000212,,
base,,,0.000201,
base,,,,0.000158
base,0.302386,,,
base,,0.000203,,
base,,,0.000203,
base,,,,0.000156
base,0.298651,,,
base,,0.000212,,
base,,,0.00019899999999999999,
base,,,,0.000152
base,0.29933699999999996,,,
base,,0.00019599999999999997,,
base,,,0.000204,
base,,,,0.000149
base,0.303977,,,
base,,0.00019899999999999999,,
base,,,0.00020399999999999997,
base,,,,0.00015299999999999998
base,0.300434,,,
