case/step,DAC-MACS min,DAC-MACS max,DAC-MACS diff,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE diff,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE diff,RW-ABE amount,TAAC min,TAAC max,TAAC diff,TAAC amount
update_keys,37.41015625,37.41015625,0.0,3,,,,,,,,,,,,
decrypt,37.41015625,72.58984375,35.1796875,49,,,,,,,,,,,,
encrypt,27.3984375,52.7421875,25.34375,177,,,,,,,,,,,,
update_keys,97.6875,97.6875,0.0,3,,,,,,,,,,,,
decrypt,97.6875,136.6015625,38.9140625,40,,,,,,,,,,,,
encrypt,77.671875,114.65234375,36.98046875,82,,,,,,,,,,,,
update_keys,57.9453125,57.9453125,0.0,3,,,,,,,,,,,,
decrypt,57.9453125,87.94921875,30.00390625,38,,,,,,,,,,,,
encrypt,47.93359375,87.94140625,40.0078125,176,,,,,,,,,,,,
update_keys,38.01171875,38.01171875,0.0,3,,,,,,,,,,,,
decrypt,28.0078125,48.015625,20.0078125,35,,,,,,,,,,,,
encrypt,28.0078125,68.0234375,40.015625,102,,,,,,,,,,,,
update_keys,98.06640625,98.06640625,0.0,3,,,,,,,,,,,,
decrypt,48.046875,108.0703125,60.0234375,51,,,,,,,,,,,,
encrypt,78.05078125,112.42578125,34.375,122,,,,,,,,,,,,
update_keys,118.26953125,118.26953125,0.0,3,,,,,,,,,,,,
decrypt,118.26953125,158.171875,39.90234375,47,,,,,,,,,,,,
encrypt,98.25,136.171875,37.921875,95,,,,,,,,,,,,
update_keys,78.5234375,78.5234375,0.0,3,,,,,,,,,,,,
decrypt,78.5234375,109.140625,30.6171875,43,,,,,,,,,,,,
encrypt,68.51953125,108.53515625,40.015625,109,,,,,,,,,,,,
update_keys,98.6484375,98.6484375,0.0,3,,,,,,,,,,,,
decrypt,68.63671875,108.65234375,40.015625,40,,,,,,,,,,,,
encrypt,78.640625,108.53515625,29.89453125,160,,,,,,,,,,,,
update_keys,118.734375,118.734375,0.0,3,,,,,,,,,,,,
decrypt,118.734375,155.7578125,37.0234375,33,,,,,,,,,,,,
encrypt,98.72265625,133.4609375,34.73828125,120,,,,,,,,,,,,
update_keys,38.95703125,38.95703125,0.0,3,,,,,,,,,,,,
decrypt,28.953125,58.79296875,29.83984375,36,,,,,,,,,,,,
encrypt,28.953125,128.9921875,100.0390625,125,,,,,,,,,,,,
update_keys,58.96875,58.96875,0.0,3,,,,,,,,,,,,
decrypt,58.96875,96.875,37.90625,39,,,,,,,,,,,,
encrypt,48.96484375,88.98046875,40.015625,148,,,,,,,,,,,,
update_keys,98.984375,98.984375,0.0,3,,,,,,,,,,,,
decrypt,98.984375,133.96875,34.984375,35,,,,,,,,,,,,
encrypt,78.9765625,115.41796875,36.44140625,124,,,,,,,,,,,,
update_keys,99.15625,99.15625,0.0,3,,,,,,,,,,,,
decrypt,99.15625,133.81640625,34.66015625,33,,,,,,,,,,,,
encrypt,79.1484375,109.06640625,29.91796875,121,,,,,,,,,,,,
update_keys,119.40625,119.40625,0.0,3,,,,,,,,,,,,
decrypt,119.40625,149.1875,29.78125,33,,,,,,,,,,,,
encrypt,109.40234375,149.41796875,40.015625,99,,,,,,,,,,,,
update_keys,159.57421875,159.57421875,0.0,3,,,,,,,,,,,,
decrypt,159.57421875,193.1875,33.61328125,45,,,,,,,,,,,,
encrypt,139.56640625,179.37890625,39.8125,126,,,,,,,,,,,,
update_keys,159.75390625,159.75390625,0.0,3,,,,,,,,,,,,
decrypt,159.75390625,195.1875,35.43359375,46,,,,,,,,,,,,
encrypt,139.74609375,170.5390625,30.79296875,228,,,,,,,,,,,,
update_keys,79.8828125,79.8828125,0.0,3,,,,,,,,,,,,
decrypt,79.8828125,109.81640625,29.93359375,37,,,,,,,,,,,,
encrypt,59.875,89.67578125,29.80078125,95,,,,,,,,,,,,
update_keys,59.875,59.875,0.0,3,,,,,,,,,,,,
decrypt,59.875,89.7265625,29.8515625,36,,,,,,,,,,,,
encrypt,49.87109375,109.8984375,60.02734375,107,,,,,,,,,,,,
update_keys,79.8828125,79.8828125,0.0,3,,,,,,,,,,,,
decrypt,79.8828125,119.53515625,39.65234375,35,,,,,,,,,,,,
encrypt,59.875,91.828125,31.953125,98,,,,,,,,,,,,
update_keys,99.90625,99.90625,0.0,3,,,,,,,,,,,,
decrypt,99.90625,132.1796875,32.2734375,36,,,,,,,,,,,,
encrypt,79.8984375,110.51953125,30.62109375,139,,,,,,,,,,,,
update_keys,100.20703125,100.20703125,0.0,3,,,,,,,,,,,,
decrypt,100.20703125,130.21875,30.01171875,40,,,,,,,,,,,,
encrypt,90.203125,110.21484375,20.01171875,182,,,,,,,,,,,,
update_keys,140.30078125,140.30078125,0.0,3,,,,,,,,,,,,
decrypt,140.30078125,179.95703125,39.65625,32,,,,,,,,,,,,
encrypt,120.29296875,157.6953125,37.40234375,119,,,,,,,,,,,,
update_keys,60.4921875,60.4921875,0.0,3,,,,,,,,,,,,
decrypt,50.48828125,70.49609375,20.0078125,34,,,,,,,,,,,,
encrypt,40.484375,79.12109375,38.63671875,153,,,,,,,,,,,,
update_keys,60.51171875,60.51171875,0.0,3,,,,,,,,,,,,
decrypt,60.51171875,100.37890625,39.8671875,32,,,,,,,,,,,,
encrypt,50.5078125,110.53125,60.0234375,155,,,,,,,,,,,,
update_keys,120.55859375,120.55859375,0.0,3,,,,,,,,,,,,
decrypt,90.546875,130.5625,40.015625,33,,,,,,,,,,,,
encrypt,100.55078125,130.52734375,29.9765625,150,,,,,,,,,,,,
update_keys,160.70703125,160.70703125,0.0,3,,,,,,,,,,,,
decrypt,160.70703125,190.640625,29.93359375,34,,,,,,,,,,,,
encrypt,140.69921875,173.22265625,32.5234375,106,,,,,,,,,,,,
update_keys,120.9921875,120.9921875,0.0,3,,,,,,,,,,,,
decrypt,120.9921875,151.68359375,30.69140625,49,,,,,,,,,,,,
encrypt,110.98828125,191.01953125,80.03125,127,,,,,,,,,,,,
update_keys,161.16015625,161.16015625,0.0,3,,,,,,,,,,,,
decrypt,131.1484375,171.1640625,40.015625,52,,,,,,,,,,,,
encrypt,151.15625,180.30078125,29.14453125,133,,,,,,,,,,,,
update_keys,201.30078125,201.30078125,0.0,3,,,,,,,,,,,,
decrypt,201.30078125,239.09375,37.79296875,41,,,,,,,,,,,,
encrypt,181.28125,213.21875,31.9375,78,,,,,,,,,,,,
update_keys,101.48046875,101.48046875,0.0,3,,,,,,,,,,,,
decrypt,101.48046875,131.375,29.89453125,32,,,,,,,,,,,,
encrypt,81.47265625,112.80078125,31.328125,118,,,,,,,,,,,,
update_keys,81.47265625,81.47265625,0.0,3,,,,,,,,,,,,
decrypt,81.47265625,111.3046875,29.83203125,34,,,,,,,,,,,,
encrypt,61.46484375,92.5,31.03515625,93,,,,,,,,,,,,
update_keys,101.48046875,101.48046875,0.0,3,,,,,,,,,,,,
decrypt,101.48046875,141.03125,39.55078125,36,,,,,,,,,,,,
encrypt,91.4765625,119.7265625,28.25,102,,,,,,,,,,,,
update_keys,141.5390625,141.5390625,0.0,3,,,,,,,,,,,,
decrypt,141.5390625,179.90625,38.3671875,39,,,,,,,,,,,,
encrypt,121.53125,152.9140625,31.3828125,136,,,,,,,,,,,,
update_keys,141.78515625,141.78515625,0.0,3,,,,,,,,,,,,
decrypt,141.78515625,171.59765625,29.8125,33,,,,,,,,,,,,
encrypt,121.77734375,151.74609375,29.96875,153,,,,,,,,,,,,
update_keys,142.0,142.0,0.0,3,,,,,,,,,,,,
decrypt,142.0,178.4296875,36.4296875,45,,,,,,,,,,,,
encrypt,131.99609375,172.015625,40.01953125,142,,,,,,,,,,,,
update_keys,62.05078125,62.05078125,0.0,3,,,,,,,,,,,,
decrypt,62.05078125,99.95703125,37.90625,40,,,,,,,,,,,,
encrypt,42.04296875,71.99609375,29.953125,128,,,,,,,,,,,,
update_keys,102.0703125,102.0703125,0.0,3,,,,,,,,,,,,
