case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,1731,,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,3143,,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,360,
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
base,,,,3198
