case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,10485792,,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
base,,10485792,,
