case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,7624,,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
base,,5137,,
