case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,2.968692,,,
base,3.536024,,,
base,2.6904049999999997,,,
base,2.736922,,,
base,2.6607089999999998,,,
base,4.220342,,,
base,3.795717,,,
base,2.865909,,,
base,5.088037,,,
base,3.499075,,,
base,4.307797,,,
base,2.881774,,,
base,3.588155,,,
base,2.639817,,,
base,2.751054,,,
base,2.9850809999999997,,,
base,4.476624,,,
base,2.890129,,,
base,3.768137,,,
base,3.938882,,,
base,3.8903719999999997,,,
base,3.164612,,,
base,3.082486,,,
base,3.108392,,,
base,2.754977,,,
base,2.561951,,,
base,2.6650329999999998,,,
base,3.790669,,,
base,4.044144999999999,,,
base,3.00629,,,
base,2.993511,,,
base,2.7109739999999998,,,
base,3.0953999999999997,,,
base,2.796915,,,
base,4.016175,,,
base,2.6031429999999998,,,
base,2.540013,,,
base,3.62565,,,
base,2.6628249999999998,,,
base,3.792928,,,
base,2.5631999999999997,,,
base,2.482716,,,
base,2.469802,,,
base,3.469325,,,
base,3.0289479999999998,,,
base,2.4954169999999998,,,
base,2.5047639999999998,,,
base,3.445388,,,
base,2.9201289999999998,,,
base,2.468356,,,
base,3.408492,,,
base,2.558264,,,
base,2.495298,,,
base,2.444559,,,
base,2.5152609999999997,,,
base,2.386149,,,
base,2.3650029999999997,,,
base,2.468626,,,
base,2.765262,,,
base,2.441182,,,
base,2.409396,,,
base,2.381305,,,
base,2.566814,,,
base,2.456474,,,
base,2.534195,,,
base,2.432431,,,
base,3.1502079999999997,,,
base,2.420106,,,
base,2.361137,,,
base,2.355213,,,
base,2.6436539999999997,,,
base,2.93254,,,
base,2.460028,,,
base,2.384829,,,
base,2.370675,,,
base,2.4314329999999997,,,
base,2.399254,,,
base,2.455961,,,
base,2.7606859999999998,,,
base,2.431801,,,
base,3.071776,,,
base,2.390635,,,
base,2.472924,,,
base,2.47127,,,
base,2.3922849999999998,,,
base,2.356862,,,
base,2.400532,,,
base,2.503128,,,
base,2.38887,,,
base,2.372141,,,
base,2.4567579999999998,,,
base,2.406012,,,
base,2.383898,,,
base,2.4104669999999997,,,
base,2.387491,,,
base,2.3468709999999997,,,
base,2.388654,,,
base,2.3720499999999998,,,
base,2.367063,,,
base,2.383552,,,
base,,1.762605,,
base,,1.766514,,
base,,1.753617,,
base,,2.3772349999999998,,
base,,1.7666009999999999,,
base,,1.793945,,
base,,2.2188149999999998,,
base,,1.775874,,
base,,1.7672919999999999,,
base,,1.8108389999999999,,
base,,1.8362749999999999,,
base,,1.8607399999999998,,
base,,1.758681,,
base,,1.883182,,
base,,1.7542039999999999,,
base,,1.957568,,
base,,1.757151,,
base,,1.7515029999999998,,
base,,1.769221,,
base,,1.7572029999999998,,
base,,1.752724,,
base,,1.7645309999999998,,
base,,2.360185,,
base,,1.7640749999999998,,
base,,1.859683,,
base,,1.756775,,
base,,2.386809,,
base,,1.765398,,
base,,1.763363,,
base,,1.784249,,
base,,1.7772299999999999,,
base,,1.763313,,
base,,1.761881,,
base,,1.753892,,
base,,1.768319,,
base,,1.7627599999999999,,
base,,1.759826,,
base,,1.791324,,
base,,1.776378,,
base,,1.7666279999999999,,
base,,1.945608,,
base,,1.753323,,
base,,2.335028,,
base,,1.7665089999999999,,
base,,1.7504089999999999,,
base,,2.365131,,
base,,1.7618209999999999,,
base,,2.341703,,
base,,1.7556239999999999,,
base,,1.759549,,
base,,1.836854,,
base,,1.8274279999999998,,
base,,1.760004,,
base,,1.753638,,
base,,1.769218,,
base,,1.754777,,
base,,1.759188,,
base,,1.7663179999999998,,
base,,1.764355,,
base,,1.777242,,
base,,1.771162,,
base,,1.770328,,
base,,1.759282,,
base,,1.780818,,
base,,1.7517479999999999,,
base,,1.754346,,
base,,1.766718,,
base,,1.7610979999999998,,
base,,1.7651299999999999,,
base,,2.101736,,
base,,1.766562,,
base,,2.3111859999999997,,
base,,1.7973899999999998,,
base,,1.761323,,
base,,1.767247,,
base,,1.7518939999999998,,
base,,1.758422,,
base,,1.760525,,
base,,1.75885,,
base,,1.784206,,
base,,1.758546,,
base,,1.7483849999999999,,
base,,1.7606419999999998,,
base,,1.8995419999999998,,
base,,1.763406,,
base,,1.779995,,
base,,1.754139,,
base,,1.959519,,
base,,1.7561339999999999,,
base,,1.7643579999999999,,
base,,1.7669389999999998,,
base,,1.764791,,
base,,1.754346,,
base,,1.759698,,
base,,1.776532,,
base,,1.7523989999999998,,
base,,1.762788,,
base,,1.797833,,
base,,2.3091749999999998,,
base,,1.756954,,
base,,,2.319071,
base,,,2.984361,
base,,,2.40989,
base,,,2.3116019999999997,
base,,,2.3068869999999997,
base,,,2.375744,
base,,,2.768893,
base,,,2.3130889999999997,
base,,,2.315706,
base,,,2.363794,
base,,,2.374161,
base,,,2.322658,
base,,,2.425858,
base,,,2.327555,
base,,,2.314682,
base,,,2.3251939999999998,
base,,,2.3172509999999997,
base,,,2.361933,
base,,,2.545565,
base,,,2.300913,
base,,,2.8493999999999997,
base,,,2.297414,
base,,,2.8654629999999996,
base,,,2.305924,
base,,,2.874885,
base,,,2.298267,
base,,,2.384411,
base,,,2.323731,
base,,,2.331768,
base,,,2.309867,
base,,,2.303149,
base,,,2.3293429999999997,
base,,,2.306051,
base,,,2.3790489999999997,
base,,,2.315877,
base,,,2.293044,
base,,,2.3681069999999997,
base,,,2.3137879999999997,
base,,,2.326568,
base,,,2.31915,
base,,,2.899912,
base,,,2.316306,
base,,,2.314024,
base,,,2.31909,
base,,,2.306689,
base,,,2.312559,
base,,,2.398317,
base,,,2.329816,
base,,,2.842867,
base,,,2.374754,
base,,,2.301579,
base,,,2.3319769999999997,
base,,,2.324201,
base,,,2.320624,
base,,,2.3117769999999997,
base,,,2.3095719999999997,
base,,,2.31604,
base,,,2.402708,
base,,,2.315597,
base,,,2.896419,
base,,,2.336575,
base,,,2.313419,
base,,,2.377914,
base,,,2.308883,
base,,,2.8634679999999997,
base,,,2.325676,
base,,,2.317275,
base,,,2.589943,
base,,,2.8874239999999998,
base,,,2.635019,
base,,,2.291522,
base,,,2.314444,
base,,,2.380245,
base,,,2.321606,
base,,,2.305979,
base,,,2.38726,
base,,,2.337027,
base,,,2.330607,
base,,,2.324586,
base,,,2.324284,
base,,,2.307175,
base,,,2.317606,
base,,,2.320121,
base,,,2.315324,
base,,,2.3073289999999997,
base,,,2.388033,
base,,,2.3161769999999997,
base,,,2.299509,
base,,,2.3763579999999997,
base,,,2.310289,
base,,,2.324125,
base,,,2.337379,
base,,,2.310686,
base,,,2.292998,
base,,,2.3119959999999997,
base,,,2.342627,
base,,,2.3094989999999997,
base,,,2.316523,
base,,,2.379676,
base,,,2.6633679999999997,
base,,,,2.2917419999999997
base,,,,2.380119
base,,,,2.314195
base,,,,2.312423
base,,,,2.3621719999999997
base,,,,2.31385
base,,,,2.3648469999999997
base,,,,2.303773
base,,,,2.3239259999999997
base,,,,2.3087269999999998
base,,,,2.319029
base,,,,2.871129
base,,,,2.332389
base,,,,2.336471
base,,,,2.553003
base,,,,2.387334
base,,,,2.3686059999999998
base,,,,2.319412
base,,,,2.3066619999999998
base,,,,2.31221
base,,,,2.326362
base,,,,2.309878
base,,,,2.31994
base,,,,2.3105729999999998
base,,,,2.3289079999999998
base,,,,2.3142069999999997
base,,,,2.306247
base,,,,2.308551
base,,,,2.3880689999999998
base,,,,2.328731
base,,,,2.3135019999999997
base,,,,2.327668
base,,,,2.803088
base,,,,2.884293
base,,,,2.869752
base,,,,2.321803
base,,,,2.313872
base,,,,2.333094
base,,,,2.86925
base,,,,2.306524
base,,,,2.320268
base,,,,2.398962
base,,,,2.321779
base,,,,2.321763
base,,,,2.331612
base,,,,2.327002
base,,,,2.317905
base,,,,2.334987
base,,,,2.3308709999999997
base,,,,2.319608
base,,,,2.31181
base,,,,2.319282
base,,,,2.331849
base,,,,2.3133049999999997
base,,,,2.318639
base,,,,2.911218
base,,,,2.302984
base,,,,2.321815
base,,,,2.8769
base,,,,2.3651359999999997
base,,,,2.306324
base,,,,2.375687
base,,,,2.814815
base,,,,2.317395
base,,,,2.305729
base,,,,2.3162469999999997
base,,,,2.358412
base,,,,2.2987569999999997
base,,,,2.328994
base,,,,2.3617559999999997
base,,,,2.315088
base,,,,2.310356
base,,,,2.913772
base,,,,2.312175
base,,,,2.343435
base,,,,2.312316
base,,,,2.855826
base,,,,2.304961
base,,,,2.322394
base,,,,2.323325
base,,,,2.846847
base,,,,2.340727
base,,,,2.3197959999999997
base,,,,2.3569679999999997
base,,,,2.323307
base,,,,2.416874
base,,,,2.316764
base,,,,2.833078
base,,,,2.3733709999999997
base,,,,2.8120819999999997
base,,,,2.300199
base,,,,2.305865
base,,,,2.319242
base,,,,2.3580039999999998
base,,,,2.863755
base,,,,2.311267
base,,,,2.376042
base,,,,2.3098259999999997
base,,,,2.309802
base,,,,2.875829
