case/step,DAC-MACS min,DAC-MACS max,DAC-MACS diff,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE diff,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE diff,RW-ABE amount,TAAC min,TAAC max,TAAC diff,TAAC amount
base,57.92578125,85.40234375,27.4765625,59,,,,,,,,,,,,
base,38.125,78.140625,40.015625,70,,,,,,,,,,,,
base,68.27734375,88.28515625,20.0078125,66,,,,,,,,,,,,
base,88.51171875,178.53125,90.01953125,66,,,,,,,,,,,,
base,138.75,178.8125,40.0625,60,,,,,,,,,,,,
base,38.93359375,78.94921875,40.015625,80,,,,,,,,,,,,
base,98.96875,142.765625,43.796875,67,,,,,,,,,,,,
base,99.26171875,139.27734375,40.015625,59,,,,,,,,,,,,
base,99.49609375,142.2265625,42.73046875,92,,,,,,,,,,,,
base,39.6875,87.3046875,47.6171875,61,,,,,,,,,,,,
base,69.703125,111.8125,42.109375,66,,,,,,,,,,,,
base,89.8984375,138.95703125,49.05859375,59,,,,,,,,,,,,
base,110.1328125,170.140625,60.0078125,71,,,,,,,,,,,,
base,40.27734375,85.33984375,45.0625,71,,,,,,,,,,,,
base,60.3203125,130.34765625,70.02734375,67,,,,,,,,,,,,
base,100.5703125,149.15234375,48.58203125,116,,,,,,,,,,,,
base,80.7734375,120.796875,40.0234375,57,,,,,,,,,,,,
base,100.94921875,150.80078125,49.8515625,60,,,,,,,,,,,,
base,121.11328125,167.875,46.76171875,65,,,,,,,,,,,,
base,141.37109375,181.390625,40.01953125,57,,,,,,,,,,,,
base,21.72265625,61.73828125,40.015625,60,,,,,,,,,,,,
base,61.77734375,101.79296875,40.015625,56,,,,,,,,,,,,
base,81.828125,102.76171875,20.93359375,59,,,,,,,,,,,,
base,81.9375,141.9609375,60.0234375,57,,,,,,,,,,,,
base,42.14453125,89.3046875,47.16015625,66,,,,,,,,,,,,
base,82.1640625,126.8984375,44.734375,64,,,,,,,,,,,,
base,102.34375,151.80859375,49.46484375,58,,,,,,,,,,,,
base,82.56640625,124.97265625,42.40625,63,,,,,,,,,,,,
base,42.796875,82.8125,40.015625,56,,,,,,,,,,,,
base,62.828125,102.84375,40.015625,57,,,,,,,,,,,,
base,63.01953125,103.03515625,40.015625,57,,,,,,,,,,,,
base,83.28125,153.30859375,70.02734375,69,,,,,,,,,,,,
base,43.37109375,63.37890625,20.0078125,62,,,,,,,,,,,,
base,43.3984375,89.59765625,46.19921875,63,,,,,,,,,,,,
base,63.65625,123.6796875,60.0234375,63,,,,,,,,,,,,
base,113.9296875,154.0078125,40.078125,62,,,,,,,,,,,,
base,103.97265625,146.3046875,42.33203125,56,,,,,,,,,,,,
base,84.19921875,126.67578125,42.4765625,65,,,,,,,,,,,,
base,104.4765625,150.4453125,45.96875,63,,,,,,,,,,,,
base,24.70703125,64.80859375,40.1015625,66,,,,,,,,,,,,
base,64.76953125,104.78515625,40.015625,57,,,,,,,,,,,,
base,64.94921875,104.96484375,40.015625,62,,,,,,,,,,,,
base,105.2109375,195.23828125,90.02734375,58,,,,,,,,,,,,
base,85.4140625,128.73046875,43.31640625,64,,,,,,,,,,,,
base,95.5,155.5078125,60.0078125,57,,,,,,,,,,,,
base,165.7734375,205.7890625,40.015625,56,,,,,,,,,,,,
base,186.0390625,230.765625,44.7265625,62,,,,,,,,,,,,
base,26.17578125,129.23828125,103.0625,62,,,,,,,,,,,,
base,66.1953125,108.65625,42.4609375,56,,,,,,,,,,,,
base,86.3984375,127.87109375,41.47265625,69,,,,,,,,,,,,
base,86.625,132.5703125,45.9453125,56,,,,,,,,,,,,
base,66.81640625,110.73828125,43.921875,56,,,,,,,,,,,,
base,86.95703125,126.97265625,40.015625,61,,,,,,,,,,,,
base,87.21484375,131.75,44.53515625,56,,,,,,,,,,,,
base,47.41015625,107.43359375,60.0234375,58,,,,,,,,,,,,
base,77.4609375,121.9296875,44.46875,56,,,,,,,,,,,,
base,117.71875,207.75390625,90.03515625,57,,,,,,,,,,,,
base,168.0,208.04296875,40.04296875,56,,,,,,,,,,,,
base,48.2265625,88.2421875,40.015625,56,,,,,,,,,,,,
base,108.25390625,149.109375,40.85546875,56,,,,,,,,,,,,
base,108.4765625,155.83984375,47.36328125,56,,,,,,,,,,,,
base,108.65625,148.69140625,40.03515625,56,,,,,,,,,,,,
