case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
policy_update,11.672092000000001,,,
update,14.063732,,,
decrypt,3.672316,,,
update_keys,1.2e-05,,,
encrypt,21.909408,,,
policy_update,14.818328,,,
update,4.7675149999999995,,,
decrypt,4.46199,,,
update_keys,1.3e-05,,,
encrypt,12.7663,,,
policy_update,13.663618999999999,,,
update,4.695125,,,
decrypt,2.8406599999999997,,,
update_keys,1.2e-05,,,
encrypt,16.201579,,,
policy_update,17.622767,,,
update,5.294948,,,
decrypt,3.6786239999999997,,,
update_keys,1.4e-05,,,
encrypt,10.919637,,,
policy_update,15.546634,,,
update,5.878978,,,
decrypt,2.786981,,,
update_keys,1.2e-05,,,
encrypt,9.298192,,,
policy_update,14.525075,,,
update,6.41489,,,
decrypt,5.032375,,,
update_keys,1.4e-05,,,
encrypt,11.562261999999999,,,
policy_update,16.133111,,,
update,4.763853999999999,,,
decrypt,2.7534479999999997,,,
update_keys,1.3e-05,,,
encrypt,9.665788,,,
policy_update,11.90471,,,
update,4.5406249999999995,,,
decrypt,3.182978,,,
update_keys,1.4999999999999999e-05,,,
encrypt,9.762613,,,
policy_update,10.160881999999999,,,
update,4.808469,,,
decrypt,3.1063319999999996,,,
update_keys,1.4e-05,,,
encrypt,10.710987,,,
policy_update,13.204805999999998,,,
update,4.5797479999999995,,,
decrypt,2.8082659999999997,,,
update_keys,1.3e-05,,,
encrypt,15.739609,,,
policy_update,14.535566,,,
update,5.530005999999999,,,
decrypt,2.882361,,,
update_keys,1.1e-05,,,
encrypt,12.627842,,,
policy_update,15.846055,,,
update,5.547086,,,
decrypt,2.76421,,,
update_keys,1.1e-05,,,
encrypt,17.5487,,,
policy_update,23.426902,,,
update,4.810173,,,
decrypt,2.868835,,,
update_keys,1.2e-05,,,
encrypt,11.867723,,,
policy_update,11.751957,,,
update,4.745741,,,
decrypt,2.794796,,,
update_keys,1.4999999999999999e-05,,,
encrypt,11.703697,,,
policy_update,19.928112999999996,,,
update,5.088204999999999,,,
decrypt,2.810543,,,
update_keys,1.3e-05,,,
encrypt,11.737573999999999,,,
policy_update,11.831492,,,
update,4.6061179999999995,,,
decrypt,3.641216,,,
update_keys,1.3e-05,,,
encrypt,14.019604,,,
policy_update,18.887438,,,
update,6.706436,,,
decrypt,3.1804609999999998,,,
update_keys,1.2e-05,,,
encrypt,14.751239,,,
policy_update,11.148814999999999,,,
update,5.260044,,,
decrypt,3.148596,,,
update_keys,1.3e-05,,,
encrypt,9.408989,,,
policy_update,15.506416,,,
update,6.438453,,,
decrypt,2.588869,,,
update_keys,1.3e-05,,,
encrypt,8.24445,,,
policy_update,13.277379999999999,,,
update,4.301575,,,
decrypt,2.6366799999999997,,,
update_keys,1.4999999999999999e-05,,,
encrypt,15.209061,,,
policy_update,11.134523,,,
update,4.5271729999999994,,,
decrypt,3.34111,,,
update_keys,1.4999999999999999e-05,,,
encrypt,10.145788999999999,,,
policy_update,11.147229000000001,,,
update,4.50647,,,
decrypt,2.622969,,,
update_keys,1.3e-05,,,
encrypt,12.863762,,,
policy_update,13.369174,,,
update,5.147054,,,
decrypt,2.716083,,,
update_keys,1.4999999999999999e-05,,,
encrypt,9.967437,,,
policy_update,12.946798999999999,,,
update,4.396571,,,
decrypt,2.583997,,,
update_keys,1.2e-05,,,
encrypt,9.401875,,,
policy_update,13.679872,,,
update,4.373136,,,
decrypt,2.8200629999999998,,,
update_keys,1.2e-05,,,
encrypt,12.499089999999999,,,
policy_update,10.379952999999999,,,
update,5.052163,,,
decrypt,3.3844269999999996,,,
update_keys,1.3e-05,,,
encrypt,8.815911,,,
policy_update,10.170813999999998,,,
update,4.3203689999999995,,,
decrypt,2.698577,,,
update_keys,1.4e-05,,,
encrypt,9.378599999999999,,,
policy_update,11.659085999999999,,,
update,4.285744,,,
decrypt,2.573312,,,
update_keys,1.4999999999999999e-05,,,
encrypt,9.815809,,,
policy_update,13.499505,,,
update,4.269928999999999,,,
decrypt,2.619404,,,
update_keys,1.2e-05,,,
encrypt,8.401269,,,
policy_update,13.257755,,,
update,4.330347,,,
decrypt,2.594781,,,
update_keys,1.4999999999999999e-05,,,
encrypt,8.635586,,,
policy_update,13.524189,,,
update,4.629226,,,
decrypt,2.5826119999999997,,,
update_keys,1.2e-05,,,
encrypt,11.170131,,,
policy_update,13.427819999999999,,,
update,4.3157689999999995,,,
decrypt,2.556086,,,
update_keys,1.3e-05,,,
encrypt,9.505412,,,
policy_update,13.282358,,,
update,4.283367999999999,,,
decrypt,2.5711589999999998,,,
update_keys,1.4e-05,,,
encrypt,12.574535,,,
policy_update,14.654831,,,
update,4.2537329999999995,,,
decrypt,3.378549,,,
update_keys,1.3e-05,,,
encrypt,9.004330999999999,,,
policy_update,14.601291999999999,,,
update,5.149361,,,
decrypt,2.6486579999999997,,,
update_keys,1.3e-05,,,
encrypt,10.878522,,,
policy_update,10.582412999999999,,,
update,4.222912,,,
decrypt,2.723243,,,
update_keys,1.4e-05,,,
encrypt,9.294683,,,
policy_update,10.513240999999999,,,
update,4.251355,,,
decrypt,2.583741,,,
update_keys,1.3e-05,,,
encrypt,16.317636,,,
policy_update,15.190026,,,
update,4.2487319999999995,,,
decrypt,3.2351449999999997,,,
update_keys,1.3e-05,,,
encrypt,10.344244,,,
policy_update,14.456133,,,
update,4.5061279999999995,,,
decrypt,3.428206,,,
update_keys,1.3e-05,,,
encrypt,8.716738,,,
policy_update,12.63355,,,
update,4.749083,,,
decrypt,2.565935,,,
update_keys,1.4999999999999999e-05,,,
encrypt,9.163262999999999,,,
policy_update,13.231157,,,
update,4.787724,,,
