INFO:root:Current version: 1.4.2

INFO:root:Device 'raspberrypi-dennis' starting experiment 'BaseExperiment' with timestamp '2016-10-13 13-53-39', running 100 times
INFO:root:Run configurations: {'policy_update': 'always', 'data_update': 'always', 'update_keys': 'always', 'encrypt': 'always', 'decrypt': 'always', 'register_keygen': 'once', 'setup_authsetup': 'once'}
INFO:root:Measure interval: 0.1
INFO:root:Authority descriptions: [{'name': 'AUTHORITY0', 'attributes': ['ONE@AUTHORITY0', 'TWO@AUTHORITY0', 'THREE@AUTHORITY0', 'FOUR@AUTHORITY0', 'FIVE@AUTHORITY0', 'SIX@AUTHORITY0', 'SEVEN@AUTHORITY0', 'EIGHT@AUTHORITY0', 'NINE@AUTHORITY0', 'TEN@AUTHORITY0']}, {'name': 'AUTHORITY1', 'attributes': ['ONE@AUTHORITY1', 'TWO@AUTHORITY1', 'THREE@AUTHORITY1', 'FOUR@AUTHORITY1', 'FIVE@AUTHORITY1', 'SIX@AUTHORITY1', 'SEVEN@AUTHORITY1', 'EIGHT@AUTHORITY1', 'NINE@AUTHORITY1', 'TEN@AUTHORITY1']}]
INFO:root:User descriptions: [{'attributes': {'AUTHORITY0': ['ONE@AUTHORITY0', 'TWO@AUTHORITY0', 'THREE@AUTHORITY0', 'FOUR@AUTHORITY0', 'FIVE@AUTHORITY0', 'SIX@AUTHORITY0', 'SEVEN@AUTHORITY0', 'EIGHT@AUTHORITY0', 'NINE@AUTHORITY0', 'TEN@AUTHORITY0'], 'AUTHORITY1': ['ONE@AUTHORITY1', 'TWO@AUTHORITY1', 'THREE@AUTHORITY1', 'FOUR@AUTHORITY1', 'FIVE@AUTHORITY1', 'SIX@AUTHORITY1', 'SEVEN@AUTHORITY1', 'EIGHT@AUTHORITY1', 'NINE@AUTHORITY1', 'TEN@AUTHORITY1']}, 'gid': 'BOB'}, {'attributes': {'AUTHORITY0': ['ONE@AUTHORITY0', 'TWO@AUTHORITY0', 'THREE@AUTHORITY0', 'FOUR@AUTHORITY0', 'FIVE@AUTHORITY0', 'SIX@AUTHORITY0', 'SEVEN@AUTHORITY0', 'EIGHT@AUTHORITY0', 'NINE@AUTHORITY0', 'TEN@AUTHORITY0'], 'AUTHORITY1': ['ONE@AUTHORITY1', 'TWO@AUTHORITY1', 'THREE@AUTHORITY1', 'FOUR@AUTHORITY1', 'FIVE@AUTHORITY1', 'SIX@AUTHORITY1', 'SEVEN@AUTHORITY1', 'EIGHT@AUTHORITY1', 'NINE@AUTHORITY1', 'TEN@AUTHORITY1']}, 'gid': 'DOCTOR'}]
INFO:root:File size: 10485760
INFO:root:Read policy: (ONE@AUTHORITY0 OR SIX@AUTHORITY1) AND (TWO@AUTHORITY0 OR SEVEN@AUTHORITY1) AND (THREE@AUTHORITY0 OR EIGHT@AUTHORITY1)
INFO:root:Write policy: (ONE@AUTHORITY0 OR SIX@AUTHORITY1) AND (TWO@AUTHORITY0 OR SEVEN@AUTHORITY1) AND (THREE@AUTHORITY0 OR EIGHT@AUTHORITY1)
INFO:root:Cases: [ExperimentCase[name=base, arguments=None]]
INFO:root:Measurements: [<MeasurementType.timings: 1>, <MeasurementType.cpu: 4>, <MeasurementType.memory: 3>]
INFO:root:=> Running BaseExperiment with implementation DAC-MACS (1/4), iteration 1/100, case base, measurement MeasurementType.timings
INFO:root:=> Running BaseExperiment with implementation DAC-MACS (1/4), iteration 1/100, case base, measurement MeasurementType.cpu
INFO:root:=> Running BaseExperiment with implementation DAC-MACS (1/4), iteration 1/100, case base, measurement MeasurementType.memory
INFO:root:=> Running BaseExperiment with implementation DAC-MACS (1/4), iteration 2/100, case base, measurement MeasurementType.timings
INFO:root:=> Running BaseExperiment with implementation DAC-MACS (1/4), iteration 2/100, case base, measurement MeasurementType.cpu
INFO:root:=> Running BaseExperiment with implementation DAC-MACS (1/4), iteration 2/100, case base, measurement MeasurementType.memory
INFO:root:=> Running BaseExperiment with implementation DAC-MACS (1/4), iteration 3/100, case base, measurement MeasurementType.timings
INFO:root:=> Running BaseExperiment with implementation DAC-MACS (1/4), iteration 3/100, case base, measurement MeasurementType.cpu
INFO:root:=> Running BaseExperiment with implementation DAC-MACS (1/4), iteration 3/100, case base, measurement MeasurementType.memory
INFO:root:=> Running BaseExperiment with implementation DAC-MACS (1/4), iteration 4/100, case base, measurement MeasurementType.timings
INFO:root:=> Running BaseExperiment with implementation DAC-MACS (1/4), iteration 4/100, case base, measurement MeasurementType.cpu
INFO:root:=> Running BaseExperiment with implementation DAC-MACS (1/4), iteration 4/100, case base, measurement MeasurementType.memory
INFO:root:=> Running BaseExperiment with implementation DAC-MACS (1/4), iteration 5/100, case base, measurement MeasurementType.timings
INFO:root:=> Running BaseExperiment with implementation DAC-MACS (1/4), iteration 5/100, case base, measurement MeasurementType.cpu
INFO:root:=> Running BaseExperiment with implementation DAC-MACS (1/4), iteration 5/100, case base, measurement MeasurementType.memory
INFO:root:=> Running BaseExperiment with implementation DAC-MACS (1/4), iteration 6/100, case base, measurement MeasurementType.timings
INFO:root:=> Running BaseExperiment with implementation DAC-MACS (1/4), iteration 6/100, case base, measurement MeasurementType.cpu
INFO:root:=> Running BaseExperiment with implementation DAC-MACS (1/4), iteration 6/100, case base, measurement MeasurementType.memory
INFO:root:=> Running BaseExperiment with implementation DAC-MACS (1/4), iteration 7/100, case base, measurement MeasurementType.timings
INFO:root:=> Running BaseExperiment with implementation DAC-MACS (1/4), iteration 7/100, case base, measurement MeasurementType.cpu
INFO:root:=> Running BaseExperiment with implementation DAC-MACS (1/4), iteration 7/100, case base, measurement MeasurementType.memory
INFO:root:=> Running BaseExperiment with implementation DAC-MACS (1/4), iteration 8/100, case base, measurement MeasurementType.timings
INFO:root:=> Running BaseExperiment with implementation DAC-MACS (1/4), iteration 8/100, case base, measurement MeasurementType.cpu
INFO:root:=> Running BaseExperiment with implementation DAC-MACS (1/4), iteration 8/100, case base, measurement MeasurementType.memory
INFO:root:=> Running BaseExperiment with implementation DAC-MACS (1/4), iteration 9/100, case base, measurement MeasurementType.timings
INFO:root:=> Running BaseExperiment with implementation DAC-MACS (1/4), iteration 9/100, case base, measurement MeasurementType.cpu
INFO:root:=> Running BaseExperiment with implementation DAC-MACS (1/4), iteration 9/100, case base, measurement MeasurementType.memory
INFO:root:=> Running BaseExperiment with implementation DAC-MACS (1/4), iteration 10/100, case base, measurement MeasurementType.timings
