case/step,DAC-MACS min,DAC-MACS max,DAC-MACS diff,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE diff,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE diff,RW-ABE amount,TAAC min,TAAC max,TAAC diff,TAAC amount
base,57.8984375,93.30078125,35.40234375,38,,,,,,,,,,,,
base,48.1328125,78.22265625,30.08984375,46,,,,,,,,,,,,
base,58.28515625,90.54296875,32.2578125,49,,,,,,,,,,,,
base,78.5234375,101.74609375,23.22265625,53,,,,,,,,,,,,
base,88.91015625,119.83203125,30.921875,39,,,,,,,,,,,,
base,28.9375,48.9453125,20.0078125,35,,,,,,,,,,,,
base,39.05859375,76.4453125,37.38671875,40,,,,,,,,,,,,
base,69.27734375,139.3046875,70.02734375,55,,,,,,,,,,,,
base,119.52734375,139.53515625,20.0078125,37,,,,,,,,,,,,
base,89.71484375,127.17578125,37.4609375,47,,,,,,,,,,,,
base,129.87109375,159.31640625,29.4453125,61,,,,,,,,,,,,
base,139.98828125,177.21484375,37.2265625,48,,,,,,,,,,,,
base,110.14453125,139.86328125,29.71875,41,,,,,,,,,,,,
base,90.2421875,122.30078125,32.05859375,45,,,,,,,,,,,,
base,80.30078125,115.44140625,35.140625,56,,,,,,,,,,,,
base,80.5703125,110.47265625,29.90234375,47,,,,,,,,,,,,
base,40.7578125,79.85546875,39.09765625,45,,,,,,,,,,,,
base,80.88671875,118.6875,37.80078125,38,,,,,,,,,,,,
base,101.12890625,133.84375,32.71484375,36,,,,,,,,,,,,
base,181.3828125,204.68359375,23.30078125,34,,,,,,,,,,,,
base,31.609375,53.94140625,22.33203125,41,,,,,,,,,,,,
base,91.65234375,131.5546875,39.90234375,39,,,,,,,,,,,,
base,101.69921875,121.703125,20.00390625,36,,,,,,,,,,,,
base,81.9296875,119.86328125,37.93359375,38,,,,,,,,,,,,
base,32.0703125,54.234375,22.1640625,35,,,,,,,,,,,,
base,42.1171875,72.1171875,30.0,37,,,,,,,,,,,,
base,62.38671875,94.703125,32.31640625,35,,,,,,,,,,,,
base,142.6875,166.703125,24.015625,37,,,,,,,,,,,,
base,92.91796875,132.00390625,39.0859375,43,,,,,,,,,,,,
base,122.9609375,145.93359375,22.97265625,34,,,,,,,,,,,,
base,133.15625,172.99609375,39.83984375,39,,,,,,,,,,,,
base,123.4453125,153.2578125,29.8125,34,,,,,,,,,,,,
base,73.48046875,106.2734375,32.79296875,34,,,,,,,,,,,,
base,93.625,123.5859375,29.9609375,33,,,,,,,,,,,,
base,63.8046875,93.78515625,29.98046875,35,,,,,,,,,,,,
base,44.06640625,78.28515625,34.21875,36,,,,,,,,,,,,
base,84.23828125,115.8359375,31.59765625,34,,,,,,,,,,,,
base,84.421875,114.39453125,29.97265625,34,,,,,,,,,,,,
base,114.75,204.765625,90.015625,39,,,,,,,,,,,,
base,34.91015625,54.91796875,20.0078125,36,,,,,,,,,,,,
base,84.94921875,114.83984375,29.890625,41,,,,,,,,,,,,
base,105.0234375,132.921875,27.8984375,33,,,,,,,,,,,,
base,105.28515625,142.39453125,37.109375,35,,,,,,,,,,,,
base,45.41015625,82.2578125,36.84765625,34,,,,,,,,,,,,
base,95.5234375,127.4453125,31.921875,34,,,,,,,,,,,,
base,95.71875,126.265625,30.546875,34,,,,,,,,,,,,
base,96.015625,125.95703125,29.94140625,34,,,,,,,,,,,,
base,46.109375,77.515625,31.40625,34,,,,,,,,,,,,
base,46.15234375,85.328125,39.17578125,33,,,,,,,,,,,,
base,76.45703125,166.48046875,90.0234375,34,,,,,,,,,,,,
base,126.64453125,146.65234375,20.0078125,33,,,,,,,,,,,,
base,46.7109375,76.53515625,29.82421875,33,,,,,,,,,,,,
base,126.90234375,146.91015625,20.0078125,33,,,,,,,,,,,,
base,157.20703125,189.50390625,32.296875,34,,,,,,,,,,,,
base,77.4140625,107.37890625,29.96484375,33,,,,,,,,,,,,
base,97.453125,132.5078125,35.0546875,42,,,,,,,,,,,,
base,117.6171875,137.625,20.0078125,33,,,,,,,,,,,,
base,127.92578125,161.5625,33.63671875,37,,,,,,,,,,,,
base,38.0,66.6328125,28.6328125,33,,,,,,,,,,,,
base,48.04296875,78.05078125,30.0078125,40,,,,,,,,,,,,
base,78.22265625,148.25,70.02734375,33,,,,,,,,,,,,
base,128.46875,152.1796875,23.7109375,41,,,,,,,,,,,,
base,98.671875,128.44921875,29.77734375,33,,,,,,,,,,,,
base,138.80078125,166.46875,27.66796875,37,,,,,,,,,,,,
base,148.99609375,184.21484375,35.21875,33,,,,,,,,,,,,
base,119.16796875,150.98828125,31.8203125,33,,,,,,,,,,,,
base,99.28125,129.078125,29.796875,33,,,,,,,,,,,,
