case/step,DAC-MACS min,DAC-MACS max,DAC-MACS diff,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE diff,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE diff,RW-ABE amount,TAAC min,TAAC max,TAAC diff,TAAC amount
base,27.83984375,97.8515625,70.01171875,187,,,,,,,,,,,,
base,48.11328125,138.1171875,90.00390625,94,,,,,,,,,,,,
base,28.20703125,88.1875,59.98046875,113,,,,,,,,,,,,
base,98.42578125,118.43359375,20.0078125,216,,,,,,,,,,,,
base,108.73046875,139.4921875,30.76171875,161,,,,,,,,,,,,
base,38.94140625,77.734375,38.79296875,186,,,,,,,,,,,,
base,58.97265625,97.15625,38.18359375,95,,,,,,,,,,,,
base,69.203125,89.66796875,20.46484375,137,,,,,,,,,,,,
base,69.4921875,159.52734375,90.03515625,112,,,,,,,,,,,,
base,29.69140625,119.73046875,90.0390625,99,,,,,,,,,,,,
base,79.78515625,169.8203125,90.03515625,201,,,,,,,,,,,,
base,80.0,170.03515625,90.03515625,153,,,,,,,,,,,,
base,130.0546875,160.49609375,30.44140625,147,,,,,,,,,,,,
base,30.21875,120.2578125,90.0390625,103,,,,,,,,,,,,
base,130.28515625,166.12109375,35.8359375,121,,,,,,,,,,,,
base,100.4609375,130.375,29.9140625,128,,,,,,,,,,,,
base,100.71875,139.04296875,38.32421875,139,,,,,,,,,,,,
base,90.8671875,112.80859375,21.94140625,84,,,,,,,,,,,,
base,111.02734375,139.26953125,28.2421875,103,,,,,,,,,,,,
base,121.32421875,161.1875,39.86328125,116,,,,,,,,,,,,
base,31.5859375,241.66015625,210.07421875,137,,,,,,,,,,,,
base,51.63671875,141.671875,90.03515625,139,,,,,,,,,,,,
base,51.6640625,121.6953125,70.03125,119,,,,,,,,,,,,
base,101.8828125,131.953125,30.0703125,81,,,,,,,,,,,,
base,42.07421875,74.16796875,32.09375,123,,,,,,,,,,,,
base,62.0859375,96.25390625,34.16796875,98,,,,,,,,,,,,
base,82.25390625,112.046875,29.79296875,163,,,,,,,,,,,,
base,82.59765625,118.1640625,35.56640625,222,,,,,,,,,,,,
base,32.89453125,122.9296875,90.03515625,117,,,,,,,,,,,,
