case/step,DAC-MACS min,DAC-MACS max,DAC-MACS diff,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE diff,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE diff,RW-ABE amount,TAAC min,TAAC max,TAAC diff,TAAC amount
base,47.8828125,85.171875,37.2890625,134,,,,,,,,,,,,
base,48.1328125,97.69921875,49.56640625,213,,,,,,,,,,,,
base,48.2734375,78.28515625,30.01171875,110,,,,,,,,,,,,
base,68.46484375,108.40625,39.94140625,154,,,,,,,,,,,,
base,78.87109375,168.90625,90.03515625,218,,,,,,,,,,,,
base,28.9375,68.953125,40.015625,138,,,,,,,,,,,,
base,29.0546875,119.07421875,90.01953125,179,,,,,,,,,,,,
base,109.21875,149.16796875,39.94921875,145,,,,,,,,,,,,
base,109.5078125,149.44921875,39.94140625,304,,,,,,,,,,,,
base,69.70703125,113.79296875,44.0859375,194,,,,,,,,,,,,
base,119.8125,159.7890625,39.9765625,195,,,,,,,,,,,,
base,119.92578125,168.48046875,48.5546875,154,,,,,,,,,,,,
base,100.12890625,130.140625,30.01171875,182,,,,,,,,,,,,
base,70.234375,118.4921875,48.2578125,118,,,,,,,,,,,,
base,70.29296875,100.37890625,30.0859375,145,,,,,,,,,,,,
base,70.5625,160.59375,90.03125,122,,,,,,,,,,,,
base,30.75390625,160.8046875,130.05078125,118,,,,,,,,,,,,
base,70.87890625,140.90625,70.02734375,143,,,,,,,,,,,,
base,91.11328125,161.09375,69.98046875,140,,,,,,,,,,,,
base,171.34375,214.27734375,42.93359375,194,,,,,,,,,,,,
base,21.58203125,61.59375,40.01171875,139,,,,,,,,,,,,
base,71.64453125,112.609375,40.96484375,165,,,,,,,,,,,,
base,91.6796875,131.55859375,39.87890625,378,,,,,,,,,,,,
base,71.92578125,101.9375,30.01171875,166,,,,,,,,,,,,
base,32.0703125,72.08984375,40.01953125,185,,,,,,,,,,,,
base,32.11328125,122.1484375,90.03515625,119,,,,,,,,,,,,
base,52.3671875,142.3671875,90.0,179,,,,,,,,,,,,
base,132.625,172.55078125,39.92578125,139,,,,,,,,,,,,
base,72.91015625,115.29296875,42.3828125,148,,,,,,,,,,,,
base,112.9296875,152.921875,39.9921875,139,,,,,,,,,,,,
base,113.12890625,158.890625,45.76171875,156,,,,,,,,,,,,
base,113.44140625,152.71484375,39.2734375,143,,,,,,,,,,,,
base,53.47265625,103.03125,49.55859375,170,,,,,,,,,,,,
base,73.56640625,118.2578125,44.69140625,127,,,,,,,,,,,,
base,53.79296875,92.10546875,38.3125,157,,,,,,,,,,,,
base,34.0625,144.10546875,110.04296875,126,,,,,,,,,,,,
base,64.23046875,113.23046875,49.0,109,,,,,,,,,,,,
base,74.40625,144.41796875,70.01171875,227,,,,,,,,,,,,
base,174.65625,218.046875,43.390625,126,,,,,,,,,,,,
base,24.890625,64.79296875,39.90234375,117,,,,,,,,,,,,
base,74.9453125,104.95703125,30.01171875,130,,,,,,,,,,,,
base,95.00390625,134.890625,39.88671875,143,,,,,,,,,,,,
base,95.28125,133.05859375,37.77734375,148,,,,,,,,,,,,
