case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,22.952284,,,
base,14.770615,,,
base,22.243633,,,
base,17.275323999999998,,,
base,25.179025,,,
base,18.761288,,,
base,19.495492,,,
base,18.370654,,,
base,20.829382,,,
base,18.196192,,,
base,18.799499,,,
base,26.146027999999998,,,
base,14.855172,,,
base,23.427901,,,
base,13.715945999999999,,,
base,21.818980999999997,,,
base,23.80989,,,
base,18.139984,,,
base,16.122687,,,
base,15.592153,,,
base,16.080614999999998,,,
base,12.869663,,,
base,22.884684999999998,,,
base,15.975501999999999,,,
base,14.021059,,,
base,15.920677999999999,,,
base,13.877761,,,
base,16.631361,,,
base,14.090024999999999,,,
base,12.778119,,,
base,14.109796999999999,,,
base,11.043277,,,
base,12.587216999999999,,,
base,24.696374,,,
base,13.772231,,,
base,11.364435,,,
base,12.694417,,,
base,14.490017,,,
base,13.833406,,,
base,14.624053,,,
base,10.924429,,,
base,12.502804,,,
base,14.269656999999999,,,
base,12.25173,,,
base,13.512753,,,
base,15.922462999999999,,,
base,16.801344,,,
base,11.239464,,,
base,18.838874,,,
base,12.375248,,,
base,15.425822,,,
base,17.525195999999998,,,
base,11.433828,,,
base,11.212501999999999,,,
base,17.742497999999998,,,
base,13.340171,,,
base,12.491546,,,
base,14.03094,,,
base,12.123185999999999,,,
base,10.731857,,,
base,11.81604,,,
base,14.32428,,,
base,12.28402,,,
base,14.056951999999999,,,
base,11.394276999999999,,,
base,11.540039,,,
base,12.352530999999999,,,
base,10.986275,,,
base,11.761044,,,
base,10.798943999999999,,,
base,19.69092,,,
base,12.156915999999999,,,
base,13.687337999999999,,,
base,11.731489,,,
base,11.279926999999999,,,
base,11.484817999999999,,,
base,15.303968,,,
base,10.624805,,,
base,13.431713,,,
base,13.852694999999999,,,
base,10.246393,,,
base,12.102024,,,
base,11.008305,,,
base,20.004966,,,
base,11.822289,,,
base,13.170987,,,
base,10.133284999999999,,,
base,11.228484,,,
base,13.79276,,,
base,12.805731,,,
base,16.968002,,,
base,11.343736,,,
base,14.061110999999999,,,
base,17.328682999999998,,,
base,13.486269,,,
base,12.750819,,,
base,13.140213,,,
base,11.045115,,,
base,14.759530999999999,,,
base,13.408418999999999,,,
base,,11.761515,,
base,,15.72833,,
base,,10.273784,,
base,,10.78712,,
base,,11.552042,,
base,,10.759663999999999,,
base,,11.358583999999999,,
base,,11.408491,,
base,,11.817249,,
base,,11.096796,,
base,,12.830698,,
base,,13.748738,,
base,,12.634034999999999,,
base,,12.268177999999999,,
base,,13.324313,,
base,,15.207187999999999,,
base,,13.062363,,
base,,12.427999,,
base,,15.587117999999998,,
base,,11.629481,,
base,,15.122361999999999,,
base,,14.781894999999999,,
base,,11.790363,,
base,,10.064283,,
base,,13.201566999999999,,
base,,9.962425,,
base,,12.678438,,
base,,10.624516,,
base,,10.588414,,
base,,12.071069999999999,,
base,,12.702433,,
base,,11.414119,,
base,,11.986507999999999,,
base,,10.865172999999999,,
base,,11.088498999999999,,
base,,10.437165,,
base,,10.071545,,
base,,10.863683,,
base,,24.730155999999997,,
base,,13.568335,,
base,,17.500949,,
base,,9.48294,,
base,,12.666024,,
base,,14.317998,,
base,,15.076773,,
base,,11.098803,,
base,,12.478695,,
base,,10.295081999999999,,
base,,9.654434,,
base,,12.083497,,
base,,12.348303,,
base,,10.163281,,
base,,16.322599999999998,,
base,,14.506404,,
base,,14.682751,,
base,,10.932995,,
base,,9.938834,,
base,,10.021626999999999,,
base,,13.276515999999999,,
base,,11.082080999999999,,
base,,14.161164999999999,,
base,,13.176891,,
base,,12.464186,,
base,,19.224273,,
base,,10.599158,,
base,,12.490276999999999,,
base,,12.829528999999999,,
base,,11.824826999999999,,
base,,9.946906,,
base,,12.155258,,
base,,10.306813,,
base,,10.68629,,
base,,14.856409999999999,,
base,,11.447688999999999,,
base,,15.583791,,
base,,11.808133,,
base,,10.095725999999999,,
base,,11.995147,,
base,,12.547573,,
base,,11.080612,,
base,,12.474732999999999,,
base,,14.539822,,
base,,17.197001,,
base,,12.63707,,
base,,11.288796,,
base,,15.579797999999998,,
base,,10.305121,,
base,,12.10708,,
base,,11.591237999999999,,
base,,10.144435999999999,,
base,,9.246162,,
base,,11.936039,,
base,,10.905331,,
base,,15.282164,,
base,,14.153103,,
base,,11.932789999999999,,
base,,10.077677999999999,,
base,,12.145349,,
base,,11.225562,,
base,,11.157701,,
base,,,15.243243999999999,
base,,,20.87861,
base,,,16.290805,
base,,,13.3872,
base,,,17.194395999999998,
base,,,12.048843,
base,,,12.57608,
base,,,14.181077,
base,,,15.114996999999999,
base,,,14.291469,
base,,,11.968986,
base,,,11.212739,
base,,,12.953373,
base,,,19.926866999999998,
base,,,14.528965999999999,
base,,,13.713054,
base,,,13.377298,
base,,,13.090646999999999,
base,,,11.966206,
base,,,20.177861999999998,
base,,,14.498742,
base,,,16.391068999999998,
base,,,17.508342,
base,,,15.090084,
base,,,12.533923999999999,
base,,,14.356456999999999,
base,,,10.721136999999999,
base,,,13.91315,
base,,,14.278232,
base,,,13.063737,
base,,,15.843668,
base,,,12.065394,
base,,,15.443154,
base,,,12.764343,
base,,,17.680872,
base,,,14.501368,
base,,,16.748015,
base,,,16.917787,
base,,,13.917421,
base,,,12.80285,
base,,,17.601799,
base,,,15.214466999999999,
base,,,12.013789,
base,,,13.786140999999999,
base,,,12.281032,
base,,,14.039900999999999,
base,,,14.219743,
base,,,11.631765999999999,
base,,,15.390153,
base,,,15.710044,
base,,,17.92644,
base,,,13.416241,
base,,,14.199304,
base,,,13.145793,
base,,,15.269084999999999,
base,,,11.114442,
base,,,16.408264,
base,,,16.138793,
base,,,12.261978,
base,,,17.594376999999998,
base,,,12.113709,
base,,,15.286356,
base,,,15.483659,
base,,,14.651014,
base,,,19.876825,
base,,,13.702539,
base,,,13.980979,
base,,,12.508163999999999,
base,,,15.085339,
base,,,17.233179,
base,,,11.945215,
base,,,14.718164999999999,
base,,,14.042043999999999,
base,,,12.495179,
base,,,18.070186,
base,,,16.328181999999998,
base,,,17.30897,
base,,,13.298745,
base,,,18.968888,
base,,,12.738584999999999,
